index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://www.arcadia.edu/	0	0.06306306306306306	0.0	0.23333333333333334	0.09859154929577464	0.0	0.4375	0.9431960672556283	0	0	35	0.8099157885026665	0.6363636363636364	0.1891891891891892	0.3888888888888889
2	https://en.wikipedia.org/wiki/Arcadia	0	0.5058064516129033	1.0	0.0	0.0	0	0	0	0	0	78	1.3236237787011087	0.25925925925925924	2.6470588235294112	0.16666666666666666
3	http://arcadiacontract.com/	0.05	0.19444444444444445	0	0	0	0	0	0	0	0.0	6	0	0.3684210526315789	0.0	0.07608695652173914
4	http://www.arcadia.noacsc.org/	0	0.0	0	0	0	0	0	0	0	0	7	0.0	0.3888888888888889	0.7404599169594379	0.22580645161290322
5	http://arcadia.org/companies/arcadia/	0.0660377358490566	0.0	0.25	0	0	0	0	0	0	0	116	0.14947716015410017	0.5185185185185185	0.25	0.25
6	http://www.arcadiaca.gov/	0	0.12173913043478261	0.6363636363636364	0.0	0	0	0	0	0	0	4	0.140078183172003	0.5384615384615384	0.0	0.22580645161290322
7	https://en.wikipedia.org/wiki/Arcadia,_California	0	0.0	0.3684210526315789	0.0	0.0	0	0	0	0	0	119	1.438090097876722	0.1794871794871795	0.9742404792468977	0.12962962962962962
8	http://www.merriam-webster.com/dictionary/arcadia	0.125	0.0	1.0	1.0	0	0.0	0	0	0	0.09395973154362416	26	0.03853211009174312	0.19444444444444445	0.0	0.28
10	http://www.arcadia.k12.wi.us/	0	0.0	0	0.1794871794871795	0	0.0	0	0.0	0	0	34	0.11290322580645161	0.4117647058823529	0	0.30434782608695654
11	http://www.arcadiainc.com/	0	0.0	0.2916666666666667	0.21212121212121213	0	0	0	0	0	0	2	0.2413793103448276	0.5	0.0	0.3684210526315789
12	https://www.amazon.com/Arcadia-Lauren-Groff/dp/140134190X	0.04430379746835443	0.10911861228316924	0.0	0.0	0.0	0	0.0	0	0	0.08641975308641975	153	0.0	0.16666666666666666	2.0424242424242425	0.12727272727272726
13	http://www.michaelmina.net/restaurants/san-francisco-bay-area/arcadia/	0.06363636363636363	0.0	0	1.0	0.0	0	0	0	0	0	61	0.0584614848136137	0.12727272727272726	1.0	0.14285714285714285
14	http://arcadia.org/	0.08045977011494253	0.0	0.0	0	0	0	0	0	0	0	1	0.029288702928870293	0.6363636363636364	0.25925925925925924	0.25925925925925924
15	http://www.arcadiacontract.com/products/	0.043478260869565216	0.19444444444444445	0	0	0	0	0	0	0	0.0	7	0	0.25925925925925924	0.0	0.06930693069306931
16	http://studyabroad.arcadia.edu/?id=6773	0.04964539007092199	0.20588235294117646	0.0	0.0	0.35	0.0	0	0	0	0	220	0.49305098389685104	0.22580645161290322	0.8181818181818181	0.1076923076923077
18	https://www.arcadiapublishing.com/Home	0	0.0	0	0	0	0.0	0	0	0	0	17	0.19444444444444445	0.28	0.7777777777777778	0.30434782608695654
19	http://www.gmc.com/acadia-crossover-vehicle.html	0.0	0.0	0	0.0	0.0	0	0	0	0	0	30	0.0	0.0	0.0	0.0
20	http://www.arcadiaaustralia.com/	0.051470588235294115	0.0	0	0	0	0	0	0	0	0	8	0.8076923076923077	0.35	0.1539702222566673	0.2692307692307692
21	http://www.visitflorida.com/en-us/cities/arcadia.html	0	0.0	1.0	0.0	0.0	0.0	0	0	0	1.0	44	0.3590549274721573	0.1794871794871795	0.6614532420984034	0.28
23	http://www.arcadiawi.org/	0	0.20588235294117646	0	0.0	0	0	0	0	0	0	2	0	0.5384615384615384	0.04666666666666667	0.0
24	http://www.imdb.com/title/tt2056520/	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0.0	15	1.0	0.0	0.0	0.3333333333333333
25	http://arcadiaales.com/	0	0.0	0	0	0.0	0.0	0	0	0	0	12	0.3888888888888889	0.4666666666666667	0.0	0.3684210526315789
26	http://www.revistaarcadia.com/	0.04666666666666667	0.0	0.0	0	0.0	0.0	0	0	0	0.0	24	0.0	0.3888888888888889	0.5392156862745098	0.1111111111111111
27	https://www.nps.gov/acad/index.htm	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	6	0.0	0.0	0.0	0.0
28	http://townofarcadia.com/	0.04976303317535545	0.4666666666666667	0.0	0	0	0.0	0	0	0	0	1	0.13781334764076425	0.4117647058823529	0.0	0.21875
29	http://passport.arcadia.edu/	0	0.0	0	0	0	0.0	0	0	0	0	1	0.0	0.35	0.0	0.2222222222222222
30	http://www.arcadiafood.org/	0	0.0	0.0	0.3333333333333333	0	0	0	0	0	0	14	0.666405045164133	0.4666666666666667	0.0	1.0
31	http://www.zillow.com/arcadia-ca/	0.04516129032258064	0.020379536555184513	0.3181818181818182	0	0	1.113519091847265	0.0	0.0	0	0	102	0.0	0.35	44.89862067972403	0.24561403508771928
32	http://www.city-data.com/city/Arcadia-California.html	0.19444444444444445	0.0	0	0	5.760549910257063	0	0	0	0	0	34	0.6889597851025323	0.175	0.3684210526315789	0.038461538461538464
33	http://www.arcadia.pt/en/	0.08235294117647059	0.0	0	0.0	0.0	0	0	0	0	0.0	7	0.0	0.5833333333333334	0.0	1.0
34	http://www.thefreedictionary.com/arcadia	0.13409961685823754	0.175	1.0	4.0	0	0	0	0	0	0.11731843575418995	102	0.0	0.25	13.0	0.25925925925925924
35	http://studyabroad.arcadia.edu/find-a-program/	0.06086956521739131	0.20588235294117646	0.0	0.0	0.0	5.206805243397316	0	0	0	0	274	0.17869918699186993	0.1891891891891892	0.0	0.08536585365853659
36	https://www.tripadvisor.com/Tourism-g29105-Arcadia_California-Vacations.html	0.1590909090909091	0.7223518262010644	0.805921052631579	0	0.6541998231653404	0	0	0	0	0.17073170731707318	1	0	0.1111111111111111	1.8425925925925928	0.2545454545454545
37	http://arcadialouisiana.org/arcadialouisiana/Arcadia_Louisiana.html	0	0.0	0	0	0	0	0	0	0	0	12	1.224164874020226	0.3620689655172414	0.0	0.4117647058823529
38	http://www.michigan.org/city/arcadia/	0	0.0	1.0	0	0	1.0	0	0.0	0	0	21	0.0995260663507109	0.30434782608695654	0.0	0.16279069767441862
39	http://www.city-data.com/city/Arcadia-Indiana.html	0.21212121212121213	0.0	0	0	3.661438705146074	0	0	0	0	0	33	1.2492364649444294	0.1891891891891892	0.4375	0.03783783783783784
40	http://www.writerstheatre.org/arcadia	0.0	0.16582562377347912	1.0	0.0	0.4079391891891892	0	0.0	0	0	0	215	0.0	0.28	0.0	0.17073170731707318
41	http://www.zillow.com/arcadia-fl/	0.04516129032258064	0.022118283649142423	0.3181818181818182	0	0	1.113519091847265	0.0	0.0	0	0	101	0.0	0.35	23.673730972086815	0.24561403508771928
42	http://www.realtor.com/realestateandhomes-search/Arcadia_CA	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.15217391304347827	0.0	0.0
43	http://cityofarcadiawi.com/	0.4666666666666667	0.08536585365853659	0.0	0.0	0.28	0	0	0	0	0.08677685950413223	5	0.0875	0.3684210526315789	1.4972851428635634	0.2692307692307692
44	http://www.realtor.com/realestateandhomes-search/Arcadia_FL	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.15217391304347827	0.0	0.0
45	http://www.arcadiainc.com/products/windows	0	0.0	0	0	0	0	0	0	0	0	6	0.2413793103448276	0.2413793103448276	0.0	0.3181818181818182
46	http://arcadiaontheriver.com/	0.0	0.0	0.0	0.0	0	0	0	0	0	0	18	0.40307309661455665	0.3333333333333333	0.0	0.1206896551724138
47	https://concrete.susd.org/schools/arcadia/	0.3684210526315789	0.0	1.0	0	0.0	0.0	0.0	0	0	0.7368421052631579	324	0.0	0.22580645161290322	0.0	0.3684210526315789
48	http://www.opentable.com/arcadia	0.029411764705882353	0.0	1.0	0	1.381054131054131	1.1136363636363635	0	0.0	0	0	66	0.41793857090944125	0.35	0.0521780303030303	0.15555555555555556
49	http://www.goodreads.com/book/show/384597.Arcadia	0.04487179487179487	1.1555555555555554	0.4666666666666667	0.0	0	0	0	0	0	0	72	0.15217391304347827	0.2	1.145939824820582	0.1076923076923077
50	http://www.pocruises.com/cruise-ships/arcadia/overview/	0.09395973154362416	0.0	0	0.8668435013262599	0.0	0.0	0	0	0	0.3620689655172414	20	1.3517614726627603	0.175	0.3181818181818182	0.5192307692307692
