index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.bell.ca/	0.026490066225165563	0.04040404040404041	0.0	0.0	0.7055107645067457	0.05970149253731343	0	0	0	0	11	0.5767530955608094	0.5714285714285714	0.19047619047619047	0.0625
3	http://www.bellhelicopter.com/	0	1.1935225431609857	4.349157973986349	0.0	1.393097367925743	0.0	0	0	0	0	4	2.644538023176392	0.2222222222222222	0.36363636363636365	0.26666666666666666
4	http://www.experiencebell.org/	0	0.0	0.0	0.0	0	0	0	0	0	0	6	0.0975609756097561	0.2222222222222222	0.0	1.0
5	http://www.bellhelmets.com/powersports/helmets/street/	0.027972027972027972	0.0	0.0	0.5833333333333333	0.13793103448275862	0.0	0	0	0	0.05194805194805195	223	0.2451063829787234	0.10256410256410256	0.08888888888888889	0.07017543859649122
6	https://en.wikipedia.org/wiki/Bell_%28instrument%29	0	0.08163265306122448	1.0	0.0	0.0	0	0	0	0	0	114	3.456944118342057	0.0975609756097561	5.899474438604874	0.10256410256410256
7	http://www.bellandbell.com/	0.0449438202247191	0.5571589200444195	0	0	0	0.0	0	0	0	0.1523809523809524	13	0.09581179825343075	0.5333333333333333	4.2120082815735	0.11940298507462686
8	http://www.bell.com/index2.htm	0	0	0	0	0	0	0	0	0	0	0	0	0.2222222222222222	0	0.0
9	https://mybell.bell.ca/	0.05161290322580645	0.0	0.10526315789473684	0.0	0.2128421428058659	0.07142857142857142	0	0	0	0	91	0.21859020310633215	0.5714285714285714	0.19047619047619047	0.25
10	http://www.bell.ca/mobility	0.024096385542168676	0.07142857142857142	0.0	0.15555555555555556	0.3477627777265008	0.05970149253731343	0.0	0	0	0	74	0.223564651238675	0.26666666666666666	1.9093650793650794	0.17777777777777778
11	http://support.bell.ca/contact-us	0.16216216216216217	0.05194805194805195	0.0	0.07547169811320754	0.2128421428058659	0.07142857142857142	0	0	0	0	92	0.8253771396908927	0.16	0.47619047619047616	0.06349206349206349
12	http://www.dictionary.com/browse/bell	0.021164021164021163	0.5449632285843585	0	0	1.1904761904761905	0	0	0	0	0.1951219512195122	82	0.15918680475642502	0.16666666666666666	38.45006679923946	0.2222222222222222
13	https://www.bellbanks.com/	0.03669724770642202	0.0	0.07017543859649122	0.14814814814814814	0.0	0.18181818181818182	0	0	0	0	15	0.06309356720231292	0.3076923076923077	1.0222222222222221	0.08
14	http://www.bce.ca/	0.030534351145038167	0.0	0	0.07692307692307693	0	0	0	0	0	0	10	0.0	0.0	0.0	0.06349206349206349
16	http://support.bell.ca/	0.08275862068965517	0.5501661129568106	0.3333333333333333	0.07142857142857142	0.2128421428058659	0.07142857142857142	0	0	0	0	83	0.6022265667426958	0.26666666666666666	0.47619047619047616	0.14285714285714285
17	https://en.wikipedia.org/wiki/Bell,_California	0	0.11320754716981132	0.25	0.0	0.0	0	0	0	0	0	116	0.8696703022119253	0.1111111111111111	0.7857142857142857	0.0784313725490196
18	http://www.revzilla.com/bell-helmets	0.057971014492753624	0.0	0.3333333333333333	0	0.0	0.0	0	0	0	0	57	0.25267536341361846	0.16666666666666666	3.6821785493289068	0.14545454545454545
19	https://www.amazon.com/s?ie=UTF8	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	56	0.0	0.0	0.0	0.0
20	http://www.merriam-webster.com/dictionary/bell	0.07476635514018691	0.0	1.0	6.6977225672877845	0	0.0	0	0.0	0	0.07643312101910828	28	0.0	0.12121212121212122	0.0	0.18181818181818182
21	http://www.thefreedictionary.com/bell	0.07633587786259542	0.6064372282951201	1.0	21.0	0	0	0	0	0	0.07058823529411765	313	0.0	0.16	16.133461939216417	0.16666666666666666
22	https://www.bellenglish.com/	0.02564102564102564	1.1557909186211046	0.0	0.4	0	0	0	0	0	0	11	0.25263157894736843	0.26666666666666666	0.3333333333333333	0.08
23	http://www.belk.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	14	0.0	0.0	0.0	0.0
24	http://www.bellhelmets.eu/	0	0.14814814814814814	0	0.024242424242424242	0	0.02072538860103627	0	0	0	0	2	0.13403570253013153	0.2857142857142857	0.11764705882352941	0.2
25	http://www.biography.com/people/alexander-graham-bell-9205497	0	0.0	0	0	0	0	0	0	0	0	0	0	0.08333333333333333	0	0
27	http://www.bellcad.org/	0.0	0.0	0	0	0.0	0	0	0	0	0.1111111111111111	31	0.0	0.36363636363636365	0.44599844599844596	0.26666666666666666
29	http://www.motorcycle-superstore.com/10981647/d/bell-motorcycle-helmets	0.034782608695652174	25.71160714118822	0.17391304347826086	0.0	0.19047619047619047	0.0	0	0	0	0	25	0.08849025491309168	0.07017543859649122	1.0	0.0851063829787234
