index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://visitcalistoga.com/	0.057692307692307696	0.0	0	0.63	0	0	0	0	0	0	14	2.404166472490632	0.5	3.2518067226890754	0.23076923076923078
2	http://www.calistogaspa.com/	0.05806451612903226	0.42857142857142855	0.0	0	0	0	0	0	0	0	14	0	0.5625	2.769090909090909	0.28125
3	https://www.tripadvisor.com/Tourism-g32143-Calistoga_Napa_Valley_California-Vacations.html	0.19424460431654678	5.5383200292943195	0.9285714285714286	0	0.5715725806451613	0	0	0	0	0.20930232558139536	10	0.6214285714285714	0.11688311688311688	1.64367816091954	0.27692307692307694
4	http://www.ci.calistoga.ca.us/	0	0.0	0.5294117647058824	0.0	0	0	0	0	0	0	5	0.9000967383645244	0.5	0.0	0.24324324324324326
5	https://en.wikipedia.org/wiki/Calistoga,_California	0	0.0	0.42857142857142855	0.0	0.0	0	0	0	0	0	63	1.3504181246769633	0.21951219512195122	0.42857142857142855	0.16071428571428573
7	http://www.napavalley.com/explore/calistoga/	0	0.0	1.0	0	0	1.0858232964857284	0	0.0	0	0	93	0.3633668329320503	0.3	1.5	0.17647058823529413
8	http://visitcalistoga.com/directory/directory-category/calistoga-places-to-eat/	0	0.0	0	0.34615384615384615	0	0	0	0	0	0	207	0.8234056059473261	0.2647058823529412	2.722394957983193	0.2903225806451613
9	http://gocalifornia.about.com/cs/napasonoma/a/calistoga.htm	0	0.5071428571428571	0.42857142857142855	0	1.5294777641778865	0	0.0	0	0	0	78	2.2863217324160123	0.1875	0.7285714285714285	0.2571428571428571
10	http://www.goldenhaven.com/	0.11392405063291139	0.206656346749226	0.0	0	0	0	0	0	0	0	3	0.10975609756097561	0.0	0.616304347826087	0.23076923076923078
11	https://www.tripadvisor.com/Hotels-g32143-Calistoga_Napa_Valley_California-Hotels.html	0.1111111111111111	5.15968801313629	0.8103448275862069	0.0	0	0	0	0	0	0.10843373493975904	2	0.0	0.1232876712328767	3.0646061912225706	0.1323529411764706
12	http://www.ci.calistoga.ca.us/?navid=6	0	0.0	0.5294117647058824	0.0	0	0	0	0	0	0	31	0.2903225806451613	0.34615384615384615	0.0	0.21951219512195122
13	http://wikitravel.org/en/Calistoga	0.04186046511627907	1.0	1.0	0.0	0.0	0	0	0	0	0.09473684210526316	66	0.26035606587798654	0.36	4.017293786676341	0.2571428571428571
14	https://calistogaranch.aubergeresorts.com/	0.05660377358490566	0.0	0.5625	0.0	0.391304347826087	0	0.0	0	0	0	41	0.10633339306239648	0.2727272727272727	0.9968730794104539	0.125
15	http://www.zillow.com/calistoga-ca/	0.057692307692307696	0.027482517482517482	0.375	0	0	0.9022556390977443	0.0	0.0	0	0	102	0.0	0.4090909090909091	34.2353620514899	0.29508196721311475
16	http://indianspringscalistoga.com/	0.06870229007633588	0.0	0	0	0.0	0.0	0.0	0	0	0	4	0.0	0.34615384615384615	0.0	0.0
17	https://www.hotels.com/de1409892/hotels-calistoga-california/	0.058823529411764705	0.4090909090909091	0	1.095	1.5588867654085046	0	0.0	0	0	0.0	91	0.09646799116997792	0.1956521739130435	5.094846860712919	0.17647058823529413
18	http://www.city-data.com/city/Calistoga-California.html	0.23684210526315788	0.0	0	0	5.031487560953649	0.34615384615384615	0	0	0	0	34	1.2152310841483283	0.21428571428571427	0.42857142857142855	0.04736842105263158
19	http://www.calistogaspa.com/suites	0.05844155844155844	0.5439560439560439	0.0	0.32142857142857145	0	0	0	0	0	0	52	0	0.4090909090909091	1.3599999999999999	0.13043478260869565
20	http://www.napavalley.com/businesses/?category=Wineries	0.0	0.0	0.0	0	0	0.0	0	1.3974873111211297	0	0	83	0.0	0.0	0.0	0.0
21	http://calistogainn.com/	0.057692307692307696	0.20454545454545456	0	0.6214285714285714	0	0.05625	0	0	0	0.07894736842105263	9	0.0	0.5625	0.0	0.13636363636363635
22	http://www.realtor.com/realestateandhomes-search/Calistoga_CA	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.1875	0.0	0.0
23	https://www.visitnapavalley.com/travel-tools/towns/calistoga/	0.13333333333333333	0.0	1.0	2.8508403361344534	0.0	3.832997347480106	0	0	0	0	49	0.0989010989010989	0.2	0.0	0.21428571428571427
24	http://www.calistogaspas.com/	0.11392405063291139	0.2964784263959391	0	0	0	0	0	0	0	0.09090909090909091	5	0	0.5294117647058824	0.375	0.2727272727272727
25	https://www.expedia.com/Calistoga-Hotels.d6668.Travel-Guide-Hotels	0.06338028169014084	0.0	0.5625	0	1.0868161094224924	0	0.0	0.0	0	0.5625	68	1.4198479277578542	0.16981132075471697	0.5269230769230769	0.15517241379310345
26	https://www.kayak.com/Calistoga-Hotels.34292.hotel.ksp	0.07086614173228346	2.3001551320714606	0.5625	2.0601002258610954	0.7552447552447552	0	0	0	0	0	14	0.05084745762711865	0.21951219512195122	1.6923076923076923	0.16981132075471697
27	https://www.wunderground.com/us/ca/calistoga	0.06164383561643835	0.0	0.47368421052631576	0.0	0.0	0.0	0	0	0	0.4044943820224719	5	0.0	0.3103448275862069	0.0	0.17307692307692307
28	http://www.oldfaithfulgeyser.com/	0	0.0	0	0	0.0	0	0	0	0	0	5	0.0	0.0	0.0	0.0
29	http://www.calistogainn.com/hotel.html	0.20930232558139536	0.20454545454545456	0	0.0	0	0.018329938900203666	0	0	0	0.07894736842105263	6	0.0	0.34615384615384615	0.0	0.42857142857142855
30	https://www.indianspringscalistoga.com/spa/	0.0	0.0	0	0	0.0	0	0.0	0	0	0	81	0.0	0.3103448275862069	0	0.1836734693877551
31	https://solage.aubergeresorts.com/	0.060810810810810814	0.0	0.0	0.0	0	0.0	0	0	0	0	11	0.08737864077669903	0.0	0.6428571428571429	0.17307692307692307
32	http://napavalleyregister.com/calistogan/	0.140625	0.0	0	0.0	0.0	0.0	0.0	0	0	0.4251968503937008	30	0.0	0.28125	0.0	0.1956521739130435
33	http://www.goldenhaven.com/lodgepr.html	0.072	0.206656346749226	0.1875	0	0	0	0	0	0	0.05027932960893855	3	0.12743782644113277	0.0	0.225	0.32142857142857145
34	https://napavintners.com/wineries/wineries_in_calistoga.asp	0.16071428571428573	0.0	0.28125	0	0	0.0	0.0	0	0	0	72	0.0	0.1836734693877551	0	0.2727272727272727
35	http://www.opentable.com/solbar-solage	0.0782608695652174	0.45	0.36	0	0.7550284629981026	0.20454545454545456	0.0	0.0	0	0	65	0.5579770311733291	0.0	1.0	0.28125
36	https://www.yelp.com/biz/calistoga-spa-hot-springs-calistoga	0.0379746835443038	0.8307692307692308	0.19148936170212766	0.0	0.5002264808362369	0.0	0	0	0	0.0	136	0.2213421906057119	0.391304347826087	3.008061497326203	0.33920296570898983
37	http://www.trulia.com/CA/Calistoga/	0.06976744186046512	22.12317813765182	0.3103448275862069	0.1956521739130435	0	0	0.0	0	0	0	4	0.0	0.42857142857142855	0.0	0.34615384615384615
38	https://solage.aubergeresorts.com/spa/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	26	0.03308823529411765	0.0	0.0	0.0
39	http://medical-dictionary.thefreedictionary.com/Calistoga	0.2542372881355932	0.15789473684210525	1.0	1.0	0	0	0	0	0	0.14594594594594595	101	0.0	0.1836734693877551	13.0	0.3157894736842105
40	http://www.drwilkinson.com/	0.19148936170212766	0.0	0	0	0	0	0	0	0	0.15	5	0.0	0.0	0.0	0.4576271186440678
41	http://thecalistoga.com/	0	0.0	0.0	0.0	0	0	0.0	0	0	0	2	0.10780612285969587	0.5625	0	0.6923076923076923
42	http://www.opentable.com/ca/calistoga-restaurants	0.055900621118012424	0.2727272727272727	0.42857142857142855	0.0	0.561115668580804	0.7098214285714286	0.11842105263157894	0.0	0	0.0	72	0	0.25	6.869106262860833	0.2727272727272727
43	http://www.resortsandlodges.com/lodging/usa/california/wine-country/city-calistoga.html	0.041474654377880185	1.4157303370786518	0.28125	0.0	0.0	0.0	0.0	0	0	0.0782608695652174	13	0.4223785932074997	0.1267605633802817	0.0	0.16363636363636364
44	http://calistogagrill.ca/	0.0	0.0	0	0	0	0	0	0	0	0.0	1	0	0.5294117647058824	0.0	0.0
45	http://galmeetsglam.com/2015/10/calistoga/	0	0.0	1.0	0.0	0.0	0	0	0.0	0	0	188	0.8038922155688623	0.2903225806451613	0.0	0.34615384615384615
46	http://www.romanspahotsprings.com/	0.05806451612903226	0.0	0	0	0	0	0	0	0	0	15	0.029900332225913623	0.0	0	0.14516129032258066
47	https://www.vrbo.com/vacation-rentals/usa/california/wine-country/napa-county/calistoga	0.058823529411764705	0.03802022799772497	0.9	0.375	0	0.0	0	0	0	0.11320754716981132	31	0.0	0.13043478260869565	0.8922814525305496	0.2727272727272727
48	http://www.comfortinncalistoga.com/	0.10650887573964497	0.5714285714285714	0	0	0	0	0	0	0	0.4	4	0	0.391304347826087	1.3333333333333333	0.17307692307692307
49	https://www.yelp.com/biz/solage-calistoga-calistoga	0.036290322580645164	0.32142857142857145	0.23684210526315788	0.0	0.777852998065764	0.0	0	0	0	0.0	138	0.011083743842364532	0.4864864864864865	2.205357142857143	0.41538461538461535
50	https://en.wikipedia.org/wiki/Calistoga	0	0.0	1.0	0.0	0.0	0	0	0	0	0	8	0	0.3103448275862069	0.0	0.20454545454545456
