index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.chulavistaca.gov/	0	0.0	0.5789473684210527	0.0	0	0	0	0	0	0	8	0.8079172886783064	0.625	0.0	0.28205128205128205
2	http://www.chulavistaresort.com/	0.1301775147928994	0.0	0.34375	0.0	0	0.0	0	0.0	0	0	26	0.4962511119583175	0.5	0.0	0.3384615384615385
3	https://en.wikipedia.org/wiki/Chula_Vista,_California	0	0.483737975263399	0.4782608695652174	0.0	0.0	0	0	0	0	0	152	4.161178873142557	0.23255813953488372	3.7065217391304346	0.1896551724137931
4	http://www.cvesd.org/pages/home.aspx	0	0.0	0.0	0	0	0	0	0	0	0	20	0.0	0.0	0.0	0.0
5	http://www.city-data.com/city/Chula-Vista-California.html	0.275	0.0	0	0	8.84175242045447	0.39285714285714285	0	0	0	0	437	4.333049717163221	0.22727272727272727	0.4782608695652174	0.05913978494623656
6	https://www.tripadvisor.com/Tourism-g32210-Chula_Vista_California-Vacations.html	0.22916666666666666	0.9904528096017458	1.0282608695652176	0	0.9126766985864113	0	0	0	0	0.24444444444444444	1	0	0.14925373134328357	2.140552995391705	0.3492063492063492
7	https://www.mapquest.com/us/ca/chula-vista-282039818	0.09734513274336283	0.0	0.4782608695652174	0	0.0	0	0	0	0	0	2	0.5	0.2702702702702703	0.0	0.4782608695652174
8	http://www.chulavistarv.com/	0.0	0.0	0.275	0.041353383458646614	0.0	0	0.0	0	0	0	10	0.10679611650485436	0.625	0.0	0.55
9	http://www.chulavistaresort.com/plan-explore/rooms-reservations/	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	485	0.10373674166777616	0.2	0.0	0.6611498257839721
10	http://www.chulavistaca.gov/residents/about-chula-vista	0	0.0	0.5789473684210527	0.0	0	0	0	0	0	0	32	0.36307523754756255	0.47619047619047616	0.6470588235294118	0.4230769230769231
11	http://www.chulavistacenter.com/	0.6111111111111112	0.24444444444444444	0	0	0	0	0	0	0	0	41	0	0.5	0	0.6111111111111112
12	http://www.chulavista.com/	0.1375	1.4347826086956523	0.5	0	0	0	0	0	0	0.0	5	0.0	0.7142857142857143	24.948625875216603	0.24444444444444444
13	http://www.zillow.com/chula-vista-ca/	0.06918238993710692	0.0	0.4230769230769231	0	0	1.4420703933747414	0.0	0.0	0	0	102	0.0	0.4166666666666667	39.8277083248644	0.3384615384615385
14	https://www.tripadvisor.com/Hotel_Review-g60403-d101119-Reviews-Chula_Vista_Resort-Wisconsin_Dells_Wisconsin.html	0.09954751131221719	2.3661781920488076	0.3142857142857143	0.0	1.040709219858156	0	0	0	0	0.11702127659574468	2	0.533725033940351	0.1	0.332977207977208	0.1506849315068493
15	https://en.wikipedia.org/wiki/Chula_Vista_Resort	0	0.0	0.6111111111111112	0.0	0.0	0	0	0	0	0	11	0.506385910838164	0.2631578947368421	0.0	0.20754716981132076
16	http://cvh.sweetwaterschools.org/	0	0.0	0.4074074074074074	0.0	0	0	0	0	0	0	32	0	0.0	0	0.4782608695652174
17	https://www.calvet.ca.gov/VetHomes/Pages/Chula-Vista.aspx	0	0.15864130176953367	0.0	0.0	0	0	0	0	0	0	14	0.43567289973206114	0.23809523809523808	0.06832298136645963	0.13414634146341464
19	http://www.californiagasprices.com/Chula%20Vista/index.aspx	0.16793893129770993	0.0	0.0	0.0	0	0	0	0	0	0	83	0.0	0.0	0.0	0.28205128205128205
20	http://www.sharp.com/hospitals/chula-vista/	0	0.0	0.6875	0.34375	0.3333333333333333	0.0	0.0	0.0	0	0	1	0.12790697674418605	0.3448275862068966	0.0	0.19298245614035087
21	http://chulavistarotary.org/	0	0.16176470588235295	0	0.0	0.0	0	0	0	0	0	37	0	0.5	0.6848659003831418	0.34375
22	http://www.apartments.com/local/chula-vista-ca/	0.07719298245614035	0.0	0.7333333333333333	0.3235294117647059	0	0	0	0	0	0.41509433962264153	47	2.8698779514181294	0.30303030303030304	0.0	0.39285714285714285
23	https://www.trulia.com/for_rent/Chula_Vista,CA/	0.14666666666666667	1.9032505175983436	0.3142857142857143	0.0	0.0	0.0	0.0	0	0	0	9	0.0	0.3125	74.00000000000003	0.1896551724137931
24	https://www.facebook.com/places/Things-to-do-in-Chula-Vista-California/105582349474315/	0.09734513274336283	4.062219887955182	1.0	0	0	0	0	0	0	0	147	0.23958065896448438	0.14084507042253522	0.0	0.22
25	http://www.sandiego.va.gov/locations/chulavista.asp	0.15492957746478872	0.0	0.0	0.6111111111111112	0.0	0.0	0	0	0	0.20121951219512196	149	0.0	0.2631578947368421	0.0	0.21568627450980393
26	http://koa.com/campgrounds/san-diego/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	101	0.5238095238095238	0.0	0.275	0.19642857142857142
27	https://www.groupon.com/local/chula-vista	0.03038674033149171	3.715607074601638	0.55	0.0	0.0	0.0	0.0	0.0	0	0.023965141612200435	79	4.495614035087719	0.37037037037037035	1.0	0.6521360069747166
29	http://www.apartments.com/chula-vista-ca/	0.06470588235294118	7.01814464059409	0.3548387096774194	0.275	0.0	0.0	0.0	0	0	0.16417910447761194	97	0.06521739130434782	0.35714285714285715	0.0	0.19642857142857142
30	http://pmi.edu/locations/california/chula-vista	0.07746478873239436	0.0	0.0	1.0	0.0	0	0	0	0	0	13	0	0.2702702702702703	2.635357624831309	0.16666666666666666
31	http://chula-vista.com/	0.2543352601156069	0.0	0	0	0	0	0	0	0	0.411214953271028	5	0	0.6666666666666666	0	0.1746031746031746
