index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.fontana.org/	0.0	0.47879173290937993	0.0	0	0	0	0	0	0	0	5	0	0.6363636363636364	0	0.2
2	https://en.wikipedia.org/wiki/Fontana,_California	0	0.3333333333333333	0.3684210526315789	0.0	0.0	0	0	0	0	0	151	1.7303995687015632	0.1794871794871795	3.830290366113795	0.12962962962962962
3	http://www.fontanagyros.com/	0	1.4029605263157894	0	0	0	0	0	0	0	0	9	0.35256410256410253	0.4375	0.0	0.175
4	http://www.fontanavillage.com/	0.09722222222222222	0.0	0.0	0.3181818181818182	0.0	0	0	0	0	0.4666666666666667	19	1.2333333333333334	0.3888888888888889	1.1363636363636362	0.15555555555555556
5	https://en.wikipedia.org/wiki/Lucio_Fontana	0	0.35	0.5384615384615384	0.0	0.0	0	0	0	0	0	69	0.7279495937465277	0.21212121212121213	0.5845141700404858	0.14583333333333334
6	http://www.city-data.com/city/Fontana-California.html	0.19444444444444445	0.0	0	0	4.7940500418418495	0	0	0	0	0	34	4.741312406432137	0.175	0.3684210526315789	0.038461538461538464
8	http://www.fusd.net/	0	0.0	0	0	0	0	0	0	0	0	22	0.10606060606060606	0.0	0.0	0.22580645161290322
9	http://www.zillow.com/fontana-ca/	0.04516129032258064	0.021506645020010574	0.3181818181818182	0	0	0.7801857585139318	0.0	0.0	0	0	102	0.0	0.35	32.36768467868719	0.24561403508771928
10	http://recreation.fontana.org/	0	0.4117647058823529	0.0	0	0	0	0	0	0	0	24	0	0.3181818181818182	0.4117647058823529	0.125
11	http://www.autoclubspeedway.com/?homepage=true	0.0	0.4117647058823529	0	0	0	0.0	0	0	0	0.0472972972972973	113	0.0	0.0	0.0	0.0
12	http://villageoffontana.com/	0	0.0	0.0	0	0	0	0	0	0	0	4	0.28441120324979763	0.35	0	0.25
13	http://www.fontanaarte.com/en	0.10144927536231885	0.0	0	0.0	0.0	0	0	0	0	0	69	0.04895104895104895	0.4117647058823529	0.7917933130699089	0.6363636363636364
14	http://www.biltmorehotel.com/dining/fontana.php	0.0	0.0	0.25925925925925924	0.0	0	0.8566433566433567	0.0	0	0	0	24	0.020802377414561663	0.20588235294117646	0.0	0.0945945945945946
15	http://www.fontanapharmacy.com/	0.06086956521739131	0.0	0	0.0	0.0	2.242938283766457	0	0	0	0.018617021276595744	13	0.31310541310541307	0.3684210526315789	0.4666666666666667	0.0
16	http://www.fontanaleisureparks.com/	0	0.0	0	0	0	0	0	0	0	0	16	0.0	0.30434782608695654	0.16666666666666666	0.3181818181818182
17	http://www.iaai.com/auctions/branchlistingview.aspx?branchcode=132	0	0.0	0.4375	0.0	0.0	0.0	0.0	0	0	0.0	20	0.0	0.0	0.0	0.1044776119402985
18	http://www.realtor.com/realestateandhomes-search/Fontana_CA	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.15217391304347827	0.0	0.0
19	http://www.defontana.com/	0.07692307692307693	0.0	0	0	0	0	0	0	0	0.0	0	0	0.5384615384615384	0	0.20588235294117646
20	https://tva.gov/Environment/Lake-Levels/Fontana	0	0.0	1.0	0.0	0.25925925925925924	0.0	0	0	0	0	24	0.0	0.19444444444444445	0.21875	0.5384615384615384
21	https://www.groupon.com/local/fontana	0.022653721682847898	3.031630570284234	0.4375	0.0	0.0	0.0	0.0	0.0	0	0.015384615384615385	79	10.208504098360656	0.30434782608695654	1.0	0.47138047138047134
22	http://fontana.co.za/product-range/	0	0.0	0	0.0	0	0.0	0	0	0	0	30	0.680467670711493	0.2692307692307692	0.3684210526315789	0.21875
23	http://www.fontana.si/en/	0	0.0	0.20588235294117646	0.3888888888888889	0	0.0	0	0	0	0	17	0.08333333333333333	0.5833333333333334	0.0	1.0
24	http://www.rentals.com/California/Fontana/	0.12173913043478261	0.0	0.1590909090909091	0.5730994152046783	0.5169934640522875	0	7.411764705882355	0	0	0	13	0.20135042508081835	0.25	0.0	0.23333333333333334
25	http://arts.fontana.org/	0.035175879396984924	0.9502262443438914	0.0	0	0	0	0	0	0	0	13	0	0.4375	0.6338748495788207	0.28
26	http://www.homes.com/for-sale/fontana-ca/	0.08366533864541832	0.5167092892861567	0.2413793103448276	0.0	0.4117647058823529	0	0	0	0	0.07777777777777778	7	0.0	0.25925925925925924	15.0	0.46475409836065573
27	https://www.tripadvisor.com/Tourism-g59885-Fontana_Wisconsin-Vacations.html	0.1590909090909091	0.7223518262010644	0.8263888888888888	0	0.6541998231653404	0	0	0	0	0.17192982456140352	1	0	0.11290322580645161	1.5833333333333335	0.2222222222222222
28	http://southridgeusa.com/	0	0.0	0	0.0	0	0	0.0	0	0	0	34	0.0	0.0	0.0	0.0
29	https://www.instagram.com/isabelifontana/	0.058823529411764705	0	0	0	0	0	0	0	0	0	0	0	0.25925925925925924	0	0.2153846153846154
30	http://www.fontana.ws/	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	3	0.0	0.7	0.0	0.0
31	http://www.burrtec.com/fontana	0	0.0	0	1.0	0.0	0	0	0	0	0	6	0.0	0.3888888888888889	0.0	0.4117647058823529
32	https://www.facebook.com/places/Things-to-do-in-Fontana-California/109553032405264/	0.06422018348623854	4.637418300653595	1.0	0	0	0	0	0	0	0	118	0.6690587120464326	0.1044776119402985	0.25	0.15217391304347827
33	http://www.zillow.com/fontana-wi/	0.04516129032258064	0.020439045183290705	0.3181818181818182	0	0	0.3684210526315789	0.0	0.0	0	0	102	0.0	0.35	37.53577204825896	0.24561403508771928
34	http://www.nascar.com/en_us/sprint-cup-series/schedule/tracks/auto-club-speedway.html	0	0.0	0.0	0	0.0	0	0	0	0	0	351	0.0	0.0	0.0	0.0
35	http://fontana.co.za/	0	0.0	0	0	0	0.0	0	0	0	0	5	0.0	0.5384615384615384	0.0	0.21875
36	http://cms.sbcounty.gov/sheriff/PatrolStations/Fontana.aspx	0	0.0	0.0	0.0	0.0	0	0	0	0	0	741	0.08139165892464602	0.14285714285714285	9.720849543083833	0.5833333333333334
37	http://www.fontanafreightliner.com/	0.09722222222222222	0.0	0	0	0	0	0	0	0	0.12962962962962962	18	0.19675401214978694	0.30434782608695654	0.234042857167635	0.1337579617834395
38	http://www.rockhonda.com/	0.0	0.09972135144548938	0.19444444444444445	0.0	0.0	0.08401355838406198	0	0	0	0.2198952879581152	20	0	0.0	1.1627906976744187	0.22580645161290322
39	http://www.hotelfontana-trevi.com/en/	0.04697986577181208	0.0	0.0	0.0	0.16666666666666666	0.0	0	0	0	0	2	0.0	0.2916666666666667	2.179738562091503	0.0958904109589041
40	http://www.fontanalib.org/	0.03398058252427184	0.1	0.2916666666666667	0.0	0.0	0	0	0	0	0.03804347826086957	29	0.0	0.5	0.027237354085603113	0.2916666666666667
41	http://fontanasnyc.com/	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0.4666666666666667	0.0	0.0
42	http://www.apartments.com/fontana-ca/	0.04216867469879518	7.090246198914931	0.25925925925925924	0.19444444444444445	0.0	0.0	0.0	0	0	0.1111111111111111	96	0.04251012145748988	0.2916666666666667	0.0	0.1346153846153846
43	https://www.tva.gov/Energy/Our-Power-System/Hydroelectric/Fontana-Reservoir	0	0.0	0.875	0.8141891891891893	0	0	0	0	0	0	24	0.22221028247744584	0.11864406779661017	0.0	0.5384615384615384
44	http://www.fontananissan.com/	0.028925619834710745	0.13725490196078433	0.4375	0.7777777777777778	0.0	1.0	0	0	0	0.1171003717472119	17	0.26770104895104896	0.4117647058823529	1.4117647058823528	0.1917808219178082
45	http://www.fontanasofbrooklyn.com/	0.0	0	0	0	0	0	0	0	0	0	0	0	0.3181818181818182	0	0.3333333333333333
46	http://www.topix.com/city/fontana-ca	0.0625	1.2719889213264466	0.5833333333333334	0	0	0.0	0.0	0	0	0	38	1.0746392033298324	0.30434782608695654	1.5833333333333335	0.3888888888888889
47	https://en.wiktionary.org/wiki/fontana	0	0.0	1.0	0.0	0.0	0	0	0	0	0	41	0.0	0.25	0.0	0.35
48	http://fontana.com.ph/fontanaweb/recreation/recreation.html	0	0.0	0	0	0	0	0	0	0	0	2	0.035	0.2857142857142857	0	0.21875
49	http://fontana.com.ph/fontanaweb/accomodation/accomodation.html	0	0.0	0	0	0	0	0	0	0	0	2	0.0	0.2641509433962264	0	0.21875
50	http://www.fandango.com/regencyfontana8_aabiw/theaterpage	0.050359712230215826	0.0	0.14583333333333334	0.0	0.0	0.0	0.0	0.0	0	0	230	0.0	0.1590909090909091	0.0	0.1891891891891892
