index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.imperialbeachca.gov/	0	6.754804085513805	0.0	0	0	0	0	0	0	0	36	0.0	0.6842105263157895	2.6640288271711423	0.5384615384615384
2	https://en.wikipedia.org/wiki/Imperial_Beach,_California	0	0.21212121212121213	0.5384615384615384	0.0	0.0	0	0	0	0	0	72	2.0156493226829437	0.2826086956521739	1.0769230769230769	0.22950819672131148
3	http://www.sandiego.org/what-to-do/beaches/imperial-beach.aspx	0.09271523178807947	0.0	1.0	1.0	0.0	0.23333333333333334	0	0	0	0.17834394904458598	219	0.17651914799690982	0.2708333333333333	0.2120617110799439	0.175
4	https://www.tripadvisor.com/Tourism-g32522-Imperial_Beach_California-Vacations.html	0.27450980392156865	1.1516475095785441	1.1471571906354514	0	1.3759629194411804	0.0	0	0	0	0.2916666666666667	2	0.0	0.18571428571428572	2.314990512333966	0.25925925925925924
5	https://www.yelp.com/biz/imperial-beach-imperial-beach	0.058091286307053944	0.5185185185185185	0.3888888888888889	0.0	0.0	0.0	0	0	0	0.0	121	0.28059940901382596	0.65	3.6553606237816765	0.9307692307692308
6	http://www.zillow.com/imperial-beach-ca/	0.08695652173913043	0.0	0.4827586206896552	0	0	1.1217948717948718	0.0	0.0	0	0	102	0.0	0.48148148148148145	39.614861468677525	0.39436619718309857
7	http://www.sandiego.com/beaches/imperial-beach	0.07	0.4117647058823529	1.0	0.0	2.9526029526029522	0	0	0.0	0	0	22	0.0	0.3939393939393939	0.0	0.208955223880597
8	https://www.tripadvisor.com/Attraction_Review-g32522-d3584612-Reviews-Imperial_Beach_Pier-Imperial_Beach_California.html	0.3333333333333333	3.500944669365722	0.2413793103448276	0.9068825910931173	0.5384615384615384	0	0	0	0	0.1686746987951807	1	0.07407407407407407	0.24299065420560748	5.131657179000632	0.22580645161290322
9	http://www.booking.com/hotel/it/imperial-beach.html	0.0	0.8158508158508159	0.0	0.6923076923076923	0.95	0.0	0.0	0	0	0.1728395061728395	103	0.5352981628843698	0.35135135135135137	0.6363636363636364	0.27450980392156865
10	https://www.yelp.com/biz/imperial-beach-pier-imperial-beach	0.11382113821138211	0.5	0.34146341463414637	0.0	0.0	0.0	0	0	0	0.0	132	0.3968383857169425	0.5777777777777777	3.636842105263158	0.7832167832167832
12	http://www.youtube.com/watch?v=Q3b37YM47uk	0.175	0.0	0.0	0	0.0	0.0	0	0	0	0.175	9	0.1590909090909091	0.0	4.008624186679931	0.2692307692307692
13	https://www.groupon.com/local/imperial-beach-ca	0.03932584269662921	1.3587187295794443	0.6086956521739131	0.0	0.0	0.0	0.0	0.0	0	0.030303030303030304	82	9.178451178451176	0.3939393939393939	1.0	0.7617647058823529
