index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.dictionary.com/browse/industry	0.11538461538461539	0.0	0	0	0.32	0	0	0	0	0.32653061224489793	75	0.0	0.2857142857142857	14.268192319360283	0.36363636363636365
2	https://en.wikipedia.org/wiki/Industry	0	0.1038961038961039	1.0	0.0	0.0	0	0	0	0	0	154	0.09056259271938834	0.2857142857142857	0.0	0.18604651162790697
3	http://www.thefreedictionary.com/industry	0.1702127659574468	0.26851644663235624	1.0	10.0	0	0	0	0	0	0.13186813186813187	273	0.0	0.27586206896551724	19.142862050130745	0.2857142857142857
4	http://www.industrypgh.com/	0	6.997298965889799	0	0.0	0.0	0	0	0	0	0	4	0.1718514681671735	0.5333333333333333	0	0.8
5	http://www.merriam-webster.com/dictionary/industry	0.1523809523809524	0.0	1.0	1.6162962962962963	0	0.0	0	0.0	0	0.05228758169934641	30	0.0	0.21621621621621623	0.0	0.3076923076923077
6	http://www.industrydenver.com/	0	0.0	0	0.47058823529411764	0.0	0.0	0	0	0	0	2	0.8598935655539429	0.4444444444444444	3.0	0.2222222222222222
7	https://www.vocabulary.com/dictionary/industry	0.09917355371900827	3.9350460053001823	1.0	0.0	0.0	0	0	0	0	0	5	0.0	0.25	2.0	0.16326530612244897
8	http://www.businessdictionary.com/definition/industry.html	0.07017543859649122	0.22913804771424348	1.0	0.2857142857142857	0.0	1.2470343850381407	0	0	0	0	17	0	0.17777777777777778	3.0	0.11764705882352941
9	http://www.investopedia.com/terms/i/industry.asp	0.03076923076923077	0.0	1.0	1.1738473167044594	0.0	0	0	0	0	0	9	0.18003621018730895	0.23529411764705882	0.0	0.23529411764705882
10	https://theindustryla.org/	0.06451612903225806	0.08888888888888889	0.0	0.0	0.18181818181818182	0.0	0	0	0	0	7	0.0	0.47058823529411764	0.464	0.14814814814814814
11	http://www.cityofindustry.org/	0	0.0	0.0	0	0	0	0	0	0	0	14	0	0.4444444444444444	0.0	0.5
12	https://en.wikipedia.org/wiki/Industry_classification	0	0.0	0.34782608695652173	0.0	0.0	0	0	0	0	0	19	0.0	0.18604651162790697	0.26666666666666666	0.13793103448275862
