index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://www.lafayette.edu/	0	0.0	0	1.4423076923076923	0.3951612903225806	0.0	0.0	0	0	0	26	0.5631478128310227	0.6923076923076923	0.0	0.5294117647058824
2	https://en.wikipedia.org/wiki/Gilbert_du_Motier,_Marquis_de_Lafayette	0	0.16071428571428573	0.23076923076923078	0.0	0.0	0	0	0	0	0	133	7.294771031769653	0.15254237288135594	0.44996146827573497	0.12162162162162163
3	http://www.lafayette.fcps.net/	0	0.0	0.42857142857142855	0	0	0	0	0	0	0	52	0.0	0.5	0.0	0.4
4	https://en.wikipedia.org/wiki/Lafayette,_Louisiana	0	0.32972350230414743	0.45	0.0	0.0	0	0	0	0	0	100	4.471392962924441	0.225	2.0936781609195405	0.16363636363636364
5	http://www.ci.lafayette.ca.us/	0	0.0	0	0.0	0	0	0	0	0	0	5	0.2854498333950389	0.5	0.0	0.21951219512195122
6	http://www.ci.lafayette.or.us/	0	0.6879935535858179	0	0	0	0	0	0	0	0.5294117647058824	1	0	0.5	0.140625	0.6923076923076923
7	http://lafayetteny.com/	0.0703125	0.0	0	0	0.0	0.4090909090909091	0	0	0	0.1125	47	2.1672955251801214	0.6	0.0	0.4090909090909091
8	http://lafayette.in.gov/	0	0.35087669743981675	0.0	0	0.0	0.0	0	0	0	0.0	10	0	0.5625	0.0	0.17647058823529413
9	http://cityoflafayette.com/	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	1	0	0.47368421052631576	0.0	0.17647058823529413
10	http://www.louisianatravel.com/areas/lafayette-area	0.04838709677419355	1.2	0.6428571428571429	0.0	0.28125	0	0	0	0	0.16981132075471697	58	0.0	0.23684210526315788	7.333333416938103	0.2727272727272727
11	https://about.lafayette.edu/	0	0.0	0.0	0.0	0.06766917293233082	0.0	0	0	0	0	51	0.26739491383202024	0.47368421052631576	0.0	0.5
12	http://www.lafayettela.gov/Pages/Index.aspx	0	0.6428571428571429	0	0	0	0	0	0	0	0	113	0.0	0.3	0.0	0.0
13	http://www.lafayette148ny.com/	0.0	0.375	0.0	0	0	0	0	0	0	0.08653846153846154	5	0.0	0.5	0.0	0.2857142857142857
14	https://admissions.lafayette.edu/	0	0.0	0.0	0.0	0.42857142857142855	0.0	0	0	0	0	17	0.3066169028340081	0.375	0.782608695652174	0.5
15	https://academics.lafayette.edu/	0	0.0	0.0	0.0	0.20454545454545456	0	0	0	0	0	25	1.1171170745308174	0.391304347826087	0.0	0.5
16	http://www.lafayettetravel.com/	0.11688311688311688	0.0	0.0	0	0	0	0	0	0	0	21	0.23684210526315788	0.47368421052631576	1.5631228360680416	0.7865546218487395
17	https://campuslife.lafayette.edu/	0	0.0	0.0	0.5294117647058824	0.5079491255961844	0.0	0	0	0	0	114	0.5791662435570206	0.375	0.0	0.5
18	http://www.lafayette.in.gov/Facilities	0.0	0.0	0.0	0	0.0	0	0	0	0	0	9	0.0	0.34615384615384615	5.0	0.28125
19	https://my.lafayette.edu/	0	0.0	0	0.75	0	0	0	0	0	0	6	0.07258064516129033	0.5625	0.0	0.0
20	http://lafayettes.com/	0.05660377358490566	0.0	0	0	0	0	0	0	0	0.0	1	0.17647058823529413	0.6428571428571429	0	1.0
21	http://www.lafayette.org/	0	6.923076923076924	0	0.0	0.0	0	0	0	0	0	2	0.08256880733944955	0.6923076923076923	0.0	0.16363636363636364
