index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.losaltoshills.ca.gov/	0	0.20362821035466774	0.0	0	0.0	0.0	0	0	0	0.0	5	0	0.65	0.0	0.39473684210526316
2	https://en.wikipedia.org/wiki/Los_Altos_Hills,_California	0	0.0	0.5555555555555556	0.0	0.0	0	0	0	0	0	58	3.2541543639867587	0.2765957446808511	1.3043478260869565	0.24193548387096775
3	http://www.losaltoshills.ca.gov/bids.aspx?bidID=2	0	0.0	0.0	0	0.0	0	0	0	0	0	3	0.06224066390041494	0.35135135135135137	0.0	0.7894736842105263
4	http://www.zillow.com/los-altos-hills-ca/	0.09259259259259259	0.0	0.5	0	0	0.5555555555555556	0.0	0.0	0	0	102	0.0	0.4642857142857143	41.05714658659133	0.410958904109589
5	https://www.redfin.com/city/11022/CA/Los-Altos-Hills	0.20408163265306123	36.8425678682688	0.5555555555555556	1.686037816472599	0.0	0	0	0	0	0	17	0	0.3611111111111111	10.806896630452979	0.46875
6	http://www.realtor.com/realestateandhomes-search/Los-Altos-Hills_CA/	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.24074074074074073	0.0	0.0
7	http://www.trulia.com/CA/Los_Altos_Hills/	0.1111111111111111	25.246710526315795	0.42857142857142855	0.28846153846153844	0	0	0.0	0	0	0	4	0.0	0.48148148148148145	0.0	0.46875
8	http://www.losaltoshills.com/	0.19736842105263158	0.0	0	0	0	0	0	0	0	0.5769230769230769	66	0.03968253968253968	0.7647058823529411	1.3970212062642324	0.23809523809523808
9	https://en.wikipedia.org/wiki/Los_Altos,_CA	0	0.0	0.0	0.0	0.0	0	0	0	0	0	100	0.0	0.0	0.0	0.0
10	http://www.losaltosca.gov/	0	0.0	0.0	0.0	0	0	0	0	0	0	13	0	0.0	0.0	0.0
11	http://www.losaltosonline.com/	0.20270270270270271	0.0	0	0.0	0.0	0.0	0	0	0	0.14018691588785046	11	0.26175273034853924	0.0	0.0	0.0
12	http://www.losaltos.k12.ca.us/	0	0.0	0.0	0.0	0	0	0	0	0	0	45	0.0	0.0	0.0	0.0
14	http://www.homes.com/for-sale/los-altos-hills-ca/	0.2054794520547945	0.625	0.40540540540540543	0.42857142857142855	0.6	0	0	0	0	0.15306122448979592	6	0.1624548736462094	0.37142857142857144	5.0	0.8035714285714286
15	http://www.realtor.com/realestateandhomes-detail/11030-Magdalena-Rd_Los-Altos-Hills_CA_94024_M20411-83446	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.14130434782608695	0.0	0.0
16	https://laumc.org/	0.0	0.0	0	0	0	0.0	0	0	0	0.0	16	0.0	0.0	0	0.0
17	http://foothill.edu/index.php	0.0	0.8333333333333334	0	0.0	0	0	0	0	0	0.0	68	0	0.0	0.0	0.0
18	http://www.zillow.com/los-altos-ca/	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	102	0.0	0.0	0.0	0.0
19	http://www.losaltoshills.com/realestate/	0.2459016393442623	0.2631578947368421	0.5357142857142857	0	0	0	0	0	0	0.0	4	0.078125	0.48148148148148145	0.0	0.36585365853658536
20	http://www.topix.com/city/los-altos-hills-ca	0.1724137931034483	1.3	0.75	0	0	0.0	0.0	0	0	0	30	1.584726567972727	0.41935483870967744	1.75	0.5769230769230769
21	https://www.coldwellbanker.com/real_estate/home_search/ca/Los%20Altos%20Hills	0.1388888888888889	4.8	0.3	0.0	1.6720747825398987	0.0	0.0	0.0	0	0	31	0.13043478260869565	0.0	0.7894736842105263	0.46875
22	http://www.movoto.com/los-altos-hills-ca/	0.33088235294117646	0.051194539249146756	0.36585365853658536	0.7115278543849972	0	0	0	0	0	0	121	0.0	0.4642857142857143	52.0	0.46875
23	http://www.accuweather.com/en/us/los-altos-hills-ca/94022/weather-forecast/342529	0.16483516483516483	0.0	0.7894736842105263	0.0	0.46875	0.0	0.0	0	0	0.20270270270270271	185	0.0	0.203125	0.6521739130434783	0.25
24	http://gardnerbullis.org/	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	47	0.0	0.0	1.2459016393442623	0.0
25	https://www.tripadvisor.com/Restaurants-g32654-Los_Altos_Hills_California.html	0.18867924528301888	0.0	0.7427536231884058	0	0.0	0	0	0	0	0.19480519480519481	1	0	0.2	2.0	0.3
26	https://www.tripadvisor.com/Hotels-g32653-Los_Altos_California-Hotels.html	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	2	0.0	0.0	0.0	0.0
27	https://www.yelp.com/biz/town-of-los-altos-hills-los-altos-hills	0.06198347107438017	0.0	0.3333333333333333	0.0	0.0	0	0	0	0	0.0	95	0.6281947807371536	0.52	1.9325833504440224	0.28846153846153844
28	http://www.mvla.net/LAHS/	0	0.0	0.0	0.0	0	0	0	0	0	0	44	0.0	0.0	0.0	0.0
29	http://www.homefinder.com/CA/Los-Altos-Hills/	0.0967741935483871	4.444444444444444	0.4166666666666667	0.0	0	0.0	0.0	0.7894736842105263	0	0.4658385093167702	85	0.0	0.41935483870967744	0.0	0.4166666666666667
30	http://www.foothill.fhda.edu/index.php	0.0	0.8333333333333334	0	0.0	0	0	0	0	0	0.0	68	0	0.0	0.0	0.0
31	http://www.rent.com/california/los-altos-hills-houses/74-1788	0.09036144578313253	0.0	0.39473684210526316	0.45454545454545453	0.0	0.0	0	0.0	0	0	9	0.0	0.2765957446808511	1.0	0.2542372881355932
32	http://www.foothill.edu/news/maps.php	0.0	0.8823529411764706	0	0.0	0	0	0	0	0	0	5	0.0	0.0	0.0	0.0
33	http://www.eteamz.com/losaltoslittleleague/	0.12605042016806722	0.0	0.3	0.0	0	0	0	0	0	0.06329113924050633	14	0.0	0.0	0.0	0.36585365853658536
34	http://www.greatschools.org/california/los-altos-hills/schools/	0.2	1.3813575345055775	0.22058823529411764	0	0	0	0	0	0	0	29	0.0	0.2708333333333333	1.0	0.46153846153846156
35	http://www.century21.com/real-estate/Los-Altos-Hills-CA/LCCALOSALTOSHILLS/	0.30405405405405406	2.8723404255319145	0.5	2.0172413793103448	0.0	0.0	0	0	0	0.3435114503816794	27	0.0	0.4406779661016949	4.7727272727272725	0.7518796992481203
37	http://www.apartments.com/los-altos-hills-ca/	0.0872093023255814	1.575	0.42857142857142855	0.3409090909090909	0.0	0.0	0.0	0	0	0.2112676056338028	93	0.0872093023255814	0.40625	0.0	0.25
