index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.cityofmartinez.org/	0	0.0	0	0	0	0	0	0	0	0	8	0.07954601529731065	0.4444444444444444	0	0.2962962962962963
2	https://en.wikipedia.org/wiki/Mart%C3%ADnez_(surname)	0	0.0	0.0	0.0	0.0	0	0	0	0	0	18	0.053691275167785234	0.0	0.0	0.0
3	https://en.wikipedia.org/wiki/Martinez,_California	0	0.34782608695652173	0.4	0.0	0.0	0	0	0	0	0	119	2.1486288632151185	0.2	2.0	0.14545454545454545
4	https://cannesmartinez.grand.hyatt.com/en/hotel/home.html	0.05673758865248227	0.34782608695652173	0.0	0	0	0	0.0	0	0	0	80	0.23539718536461238	0.17391304347826086	0.0	0.12307692307692308
5	http://www.ancestry.com/name-origin?surname=martinez	0	0.0	0.34782608695652173	0.0	0.0	0.8392864162667951	0.0	0	0	0	56	0.18781387286482237	0.2	1.0	0.5636363636363637
6	http://www.mdist.us/	0	0.0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0
7	http://www.martinezrestaurant.net/	0	0.0	0	0	0	0	0	0	0	0	1	0	0.36363636363636365	0.0975609756097561	0.42105263157894735
8	http://www.imdb.com/name/nm0553436/	0.0679886685552408	0.11428571428571428	0.0	0.0	0.0	0.38095238095238093	0.0	0	0	0.0	22	0.0	0.0	0.8	0.47058823529411764
9	http://martinez.mysdhc.org/	0	0	0	0	0	0	0	0	0	0	0	0	0.42105263157894735	0	0
10	http://www.zillow.com/martinez-ca/	0.05128205128205128	0.02339306287954411	0.34782608695652173	0	0	1.208080808080808	0.0	0.0	0	0	102	0.0	0.38095238095238093	46.43323658368024	0.2711864406779661
11	http://cocktails.about.com/od/atozcocktailrecipes/r/mtnz_cktl.htm	0	0.04790419161676647	0.1509433962264151	0	0.9459203564466722	0	0.0	0	0	0	82	1.4356709905134115	0.0	0.125	0.16
12	http://www.city-data.com/city/Martinez-California.html	0.21621621621621623	0.0	0	0	4.966984247620296	0	0	0	0	0	34	4.065371277398455	0.1951219512195122	0.4	0.042328042328042326
13	http://livestream.com/martinezserrano1/buenosdias	0.08695652173913043	0.0	0.0	0	0	0	0	0	0	0	3	0	0.2	0	0.0
14	http://m.mlb.com/player/593372/carlos-martinez	0.06666666666666667	0.5333333333333333	0.0	0.0	4.523124693633684	0.0	0	0	0	0.0784313725490196	281	0.09765174351531392	0.2222222222222222	1.543877801942318	0.25
15	http://www.mainstreetmartinez.org/	0.4	0.0	0	0	0	0	0	0	0	0.0	25	1.162798092209857	0.36363636363636365	0.0	0.4
16	http://www.facebook.com/martinez.official	0.10666666666666667	0.5606837606837607	0	0	0	0	0	0	0	0	138	0.0	0.27586206896551724	0.0	0.42105263157894735
17	http://www.espn.com/mlb/player/_/id/5007/victor-martinez	0.07142857142857142	0.029357798165137616	0.5333333333333333	0	0	0.32	0	0.0	0	0.3522012578616352	83	0.29570987140405275	0.20512820512820512	0.0	0.10810810810810811
18	http://www.espn.com/mlb/player/_/id/31340/carlos-martinez	0.06896551724137931	0.027939464493597205	0.5333333333333333	0	0	0.32	0	0.0	0	0.3522012578616352	72	0.05714285714285714	0.2	0.0	0.10126582278481013
19	http://www.martinezchamber.com/	0	0.0	0.12121212121212122	0	0.06451612903225806	0	0	0	0	0	17	0.43106798381324746	0.42105263157894735	0.5714285714285714	0.20512820512820512
20	http://www.cityofmartinez.org/default.asp	0	0.0	0	0	0	0	0	0	0	0	11	0.07954601529731065	0.27586206896551724	0	0.2962962962962963
21	http://www.martinezusd.net/	0	0.10526315789473684	0	0.24242424242424243	0	0	0	0	0	0	40	0.1095890410958904	0.5333333333333333	0.5668446403219204	0.18604651162790697
22	http://www.cafemartinez.com/	0	0.0	0	0.32	0.0	0	0	0	0	0	20	0.0	0.5	4.552266823631141	0.5
24	http://www.imdb.com/name/nm0553436/bio	0.10526315789473684	0.18714249124903953	0.0	0.0	0.0	0.0	0.0	0	0	0.0	15	0.10666666666666667	0.0	0.0	0.27586206896551724
25	http://www.topix.com/city/martinez-ca	0.18604651162790697	1.2510871620344108	0.6153846153846154	0	0	0.0	0.0	0	0	0	41	1.3196540154523348	0.3333333333333333	1.6153846153846154	0.42105263157894735
26	http://memory-alpha.wikia.com/wiki/Martinez	0.09195402298850575	0.0	1.0	0.0	0.0	0	0	0	0	0.042328042328042326	60	6.265266737403471	0.23529411764705882	0.0	0.16326530612244897
27	http://www.youtube.com/user/Melmartinezx3	0.10126582278481013	0.27034638130104194	0.0	0.2857142857142857	0.0	0.0	0	0	0	0.0	19	0.0	0.2857142857142857	0.0	0.27586206896551724
28	http://www.aleemartinez.com/	0.045714285714285714	0.0	0	0	0.0	0	0	0	0	0.0380952380952381	26	0.0	0.5	0.5333333333333333	0.14545454545454545
29	http://www.realtor.com/realestateandhomes-search/Martinez_CA	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.1702127659574468	0.0	0.0
30	http://m.mlb.com/player/400121/victor-martinez	0.06557377049180328	0.5333333333333333	0.0	0.0	4.606341774932607	0.1951219512195122	0	0	0	0.08080808080808081	250	0.12653163290822705	0.2222222222222222	1.6101874533318825	0.25
31	http://www.youtube.com/watch?v=eFU_wJes-xE	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.21052631578947367	17	0.0	0.0	7.815595283091842	0.24242424242424243
32	http://www.liquor.com/recipes/martinez/	0.0	0.0	1.0	0.7609427609427609	0.0	0.16	0	0	0	0	35	0.0	0.32	1.4705882352941178	0.3333333333333333
33	http://www.trulia.com/CA/Martinez/	0.06201550387596899	21.307511436022402	0.2857142857142857	0.17777777777777778	0	0	0.0	0	0	0	4	0.0	0.4	0.0	0.32
34	http://www.rentals.com/California/Martinez/	0.13675213675213677	0.0	0.17777777777777778	0.6432748538011696	0.0	0	6.222222222222224	0	0	0	17	0.10810810810810811	0.27586206896551724	0.0	0.25806451612903225
35	http://martinezgazette.com/	0	0.10666666666666667	0	0	0	0	0	0	0	0	8	0.8878377965026539	0.42105263157894735	0.25806451612903225	0.36363636363636365
36	http://boxrec.com/boxer/14429	0.3333333333333333	0.0	0.36363636363636365	0.0	0	0	0	0	0	0	642	0	0.0	0.0	0.3333333333333333
37	http://sports.yahoo.com/mlb/players/6853/	0	0.0	0.0	0	0.0	0	0.0	0	0	0	77	0.0	0.0	0.0	0.0
38	http://www.exploregeorgia.org/city/martinez	0.04040404040404041	0.023529411764705882	0.0	0.4	0.0	0	0	0.0	0	0	124	0.40754005655042413	0.26666666666666666	0.0	0.19047619047619047
39	http://www.northerncalifornia.va.gov/visitors/mtzopc.asp	0.015151515151515152	0.0	0.0	0.0	0.0	0	0	0	0	0.18604651162790697	21	0.33743208464398056	0.0	0	0.11428571428571428
40	http://www.co.contra-costa.ca.us/index.aspx?NID=1927	0	0.2962962962962963	0.26666666666666666	0	0.0	0	0	0	0	0.2962962962962963	13	0	0.0	0.0	0.11428571428571428
41	http://www.scpr.org/about/people/staff/a-martinez	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	59	0.03669724770642202	0.23529411764705882	0.0	0.0
