index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Orland,_California	0	0.0	0.3333333333333333	0.0	0.0	0	0	0	0	0	55	0.9098907445166005	0.15789473684210525	0.8571428571428571	0.11320754716981132
2	http://www.visitorlando.com/	0.08888888888888889	0.5044698346932736	0.2222222222222222	0	0.07792207792207792	0.0	0	0	0	0.37894736842105264	11	0.2537727383962803	0.375	0.10526315789473684	0.14285714285714285
4	http://www.orlandusd.net/	0	0.0	0	0	0	0	0	0	0	0	6	0	0.46153846153846156	0.6039027149321268	0.16216216216216217
5	http://www.orlandme.org/	0	0.0	0	0	0	0	0	0	0	0	2	0.0	0.5	1.639323911382735	0.25
6	http://www.orlandosentinel.com/	0	0.0	0.375	0.0	0.0	0.08955223880597014	0	0	0	0	17	0.14197758097312163	0.3157894736842105	0.8181818181818181	0.5034965034965035
7	http://orland-park.il.us/	0.0	0.5675199571223559	0.0	0	0.0	0	0	0	0	0	42	0.024193548387096774	0.35294117647058826	0.0	0.12
8	https://www.tripadvisor.com/Tourism-g34515-Orlando_Florida-Vacations.html	0.1323529411764706	1.9088774338910668	0.75	0	0.9545888594164457	0	0	0	0	0.1494661921708185	2	0.0	0.1	1.4323062558356676	0.21818181818181817
9	http://www.orlandusd.net/Staff-Room/index.html	0	0.0	0	0	0	0	0	0	0	0	16	0	0.18181818181818182	0.0	0.13953488372093023
10	https://en.wikipedia.org/wiki/Orlando,_Florida	0	0.3148196042932885	0.375	0.0	0.0	0	0	0	0	0	213	5.938028661345806	0.16666666666666666	7.612974987974987	0.11764705882352941
11	http://www.visitflorida.com/en-us/cities/orlando.html	0	0.6666666666666666	0.8571428571428571	0.0	0.0	0.0	0	0	0	0.8571428571428571	43	0.7056242484824778	0.15384615384615385	1.8363636363636362	0.24
12	http://www.city-data.com/city/Orland-California.html	0.17142857142857143	0.0	0	0	3.8124017051411667	0	0	0	0	0	33	3.2335743926153415	0.15384615384615385	0.3333333333333333	0.03208556149732621
13	http://www.trulia.com/CA/Orland/	0.047244094488188976	19.196911196911195	0.23076923076923078	0.13953488372093023	0	0	0.0	0	0	0	4	0.0	0.3333333333333333	0.0	0.2608695652173913
14	http://www.zillow.com/Orland-CA/	0.0392156862745098	0.01775245048156148	0.2857142857142857	0	0	0.7083333333333333	0.0	0.0	0	0	102	0.0	0.3157894736842105	33.303364935685515	0.21818181818181817
15	http://www.cityoforlando.net/	0	0.0	0	0	0.0	0	0	0	0	0	19	0.0	0.35294117647058826	0.0	0.1
16	http://www.city-data.com/city/Orland-Indiana.html	0.1875	0.0	0	0	2.505856276906516	0	0	0	0	0	31	0.5452102245580506	0.16666666666666666	0.4	0.03260869565217391
17	http://www.simon.com/mall/orland-square	0.026607538802660754	0.0	0	0.0	0	0	0	0	0	0.12060301507537688	79	0.0	0.23076923076923078	0.0	0.14457831325301204
18	http://www.orland135.org/	0	0.0	0.46153846153846156	0	0	0	0	0	0	0	20	0.2857142857142857	0.46153846153846156	0.0	0.1276595744680851
19	https://www.orland-park.il.us/	0.0	0.5675199571223559	0.0	0	0.0	0	0	0	0	0	42	0.024193548387096774	0.35294117647058826	0.0	0.12
20	https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89	0	0.0	0.0	0.0	0.0	0	0	0	0	0	158	0.0	0.0	0.0	0.0
21	http://www.realtor.com/realestateandhomes-search/Orland_CA	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.13333333333333333	0.0	0.0
22	http://orlandhigh.orlandusd.net/	0	0.0	0	0	0	0	0	0	0	0	13	0.0392156862745098	0.5	0.06417112299465241	0.24
23	http://www.kcra.com/news/chp-i5-closed-in-orland-after-bus-fedex-crash/25424704	0.0	0.375	0.13333333333333333	0.12	0.0	0	0	0	0	0	33	0.22434756872470366	0.09230769230769231	0.14634146341463414	0.09375
24	http://www.orlanddriving.com/	0.05504587155963303	0.0	0.0	0	0	0	0	0	0	0.015306122448979591	4	0.45121323695031595	0.35294117647058826	0.0	0.1935483870967742
26	http://www.homes.com/for-sale/orland-ca/	0.0743801652892562	0.4	0.21428571428571427	0.23076923076923078	0.375	0	0	0	0	0.06741573033707865	8	0.07214428857715431	0.23076923076923078	15.0	0.3245192307692308
27	https://www.trulia.com/CA/Orland/	0.047244094488188976	19.196911196911195	0.23076923076923078	0.13953488372093023	0	0	0.0	0	0	0	4	0.0	0.3333333333333333	0.0	0.2608695652173913
28	http://www.realtor.com/realestateandhomes-search/Orland_IN	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.13333333333333333	0.0	0.0
29	http://www.orlando.com/	0.020066889632107024	0.0	0.1935483870967742	0.15789473684210525	1.2407145486092854	0.0	0.0	0	0	0.15584415584415584	29	4.975564042473731	0.5454545454545454	0.4	0.13333333333333333
30	http://www.vworland.com/	0.07692307692307693	0.7257142857142858	0.16216216216216217	0.16216216216216217	0.0	0.0	0	0	0	0	6	0.2876462005830856	0.5	0.0	0.1875
31	http://orlandparkbakery.com/	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	3	0.4447708094766918	0.3	0.0	0.08450704225352113
32	http://www.simon.com/mall/orland-square/stores	0.05217391304347826	0.0	0	0	0	0.0	0	0	0	0.0	70	0.13174603174603175	0.1875	0.0	0.11764705882352941
33	http://www.nba.com/magic/	0.05825242718446602	0.2121234119782214	0.0	0.0	0.0	0.0	0	0	0	0	167	0.18959594763135706	0.0	30.607879924953107	0.2222222222222222
34	https://www.universalorlando.com/	0.08163265306122448	0.0	0.0	0.0	0.14285714285714285	0	0	0	0	0.15789473684210525	21	0	0.3	0.0	0.18181818181818182
35	http://cityoforland.com/govt/dept/police/	0	0.0	0	0.25	0.0	0	0	0	0	0	5	0.24111605607507247	0.2	0	0.17647058823529413
36	http://www.topix.com/city/orland-ca	0.06976744186046512	1.2511967175746523	0.5454545454545454	0	0	0.0	0.0	0	0	0	18	0.9844513187886682	0.2727272727272727	1.5454545454545454	0.35294117647058826
37	http://orlandoairports.net/	0.14754098360655737	0.0	0	0.1875	0	0	0.09523809523809523	0	0	0	14	0.14762165117550574	0.3157894736842105	0.644040404040404	0.14634146341463414
38	http://www.orlandpublicautoauction.com/	0.0	0.0	0	0	0	0	0	0	0	0.05084745762711865	2	0.0	0.2222222222222222	0.1875	0.18181818181818182
39	http://patch.com/illinois/orlandpark	0.05504587155963303	1.5635962007180957	0.0	0.10909090909090909	0.0	0	0	0	0	0	306	0.21818181818181817	0.2222222222222222	1.9711229946524065	0.0625
40	http://orlandtownship.org/	0	0.07861450908472141	0	1.99159689183836	0.4524489795918367	0	0	0	0	0	24	0.3611388611388612	0.3333333333333333	1.411764705882353	0.18181818181818182
41	http://www.appeal-democrat.com/glenn_county_transcript/	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	20	0.10475352112676056	0.0	0.0	0.0
42	http://orlando.craigslist.org/	0.0	0.0	0	0.5454545454545454	0	0.0	0.0	0	0	0	147	0.0	0.2727272727272727	0.0	0.06382978723404255
43	http://www.intellicast.com/Local/Weather.aspx?location=USCA0814	0.06779661016949153	0.3333333333333333	0	0.0	0	0	0	0	0	0.1437125748502994	7	0	0.0	0.0	0.0967741935483871
44	http://orlandinn.com/	0.07100591715976332	0.0	0	0	0	0	0	0	0	0.1651376146788991	1	0.6672727272727272	0.46153846153846156	0	0.3333333333333333
45	http://www.farmsanctuary.org/the-sanctuaries/orland-ca/	0	0.0	0.6	0.0	0.0	0	0	0	0	0	249	0.09668402302000548	0.14634146341463414	0	0.2222222222222222
46	http://www.opentable.com/il/orland-park-restaurants	0.034482758620689655	0.17142857142857143	0.2608695652173913	0.0	0.34909090909090906	0.4373401534526854	0.07692307692307693	0.0	0	0.0	70	0	0.15789473684210525	4.087696514012302	0.17142857142857143
47	http://www.visitorlando.com/things-to-do/attractions/	0.0784313725490196	0.46576015727391873	0.3157894736842105	0.0	0	0.0	0	0	0	0	43	0.08653846153846154	0.15384615384615385	7.111110620263938	0.125
48	https://www.yeswecanauto.com/	0.04285714285714286	1.0	0.0	0	0.0	0	0	0.0	0	0.038461538461538464	9	0.030927835051546393	0.0	1.0	0.13333333333333333
49	http://www.zillow.com/orland-park-il/	0.03773584905660377	0.01754479715965808	0.23076923076923078	0	0	0.5465838509316769	0.0	0.0	0	0	102	0.0	0.25	18.887028720002093	0.18461538461538463
50	http://www.orlandfire.org/	0	0.0	0	0	0	0	0	0.0	0	0	7	0.10736297965405261	0.42857142857142855	0	0.1875
