index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.cityoforoville.org/	0	0.0	0.4	0.0	0	0	0	0	0	0	1	0.5946488089241995	0.4444444444444444	0.0	0.2
2	https://en.wikipedia.org/wiki/Oroville,_California	0	0.0	0.4	0.0	0.0	0	0	0	0	0	98	1.6297015761099019	0.2	2.7142857142857144	0.14545454545454545
3	http://oroville-wa.com/	0	0.0	0	0	0.0	0	0.013651877133105802	0	0	0	4	0.4531590413943355	0.5333333333333333	0.0	0.2962962962962963
4	http://www.zillow.com/oroville-ca/	0.05128205128205128	0.02342731700624271	0.34782608695652173	0	0	1.208080808080808	0.0	0.0	0	0	102	0.0	0.38095238095238093	34.95036506582088	0.2711864406779661
7	https://en.wikipedia.org/wiki/Oroville,_Washington	0	0.0	0.4	0.0	0.0	0	0	0	0	0	45	0.7103408915360717	0.2	3.0	0.14545454545454545
8	https://www.orovillechamber.com/	0.0582053354890865	0.1568627450980392	0.0	0.8936507936507936	0.0	0.0	0.10266375192292122	0	0	0	2	0.38575986516313426	0.42105263157894735	0.0	0.18823529411764706
9	http://www.city-data.com/city/Oroville-Washington.html	0.21621621621621623	0.0	0	0	3.3190859312586087	0	0	0	0	0	32	5.2689638910504835	0.1951219512195122	0.4	0.042328042328042326
10	http://oroville.com/	0	0.0	0.0	0.0	0.0	0	0	0	0	0	6	0.0	0.6666666666666666	0.0	0.22857142857142856
11	http://orovillewashington.com/	0	0.17777777777777778	0.0	0.5714285714285714	0.0	0.2857142857142857	0	0	0	0	5	0.0	0.36363636363636365	0.5714285714285714	0.38095238095238093
12	http://lakeoroville.net/	0.09020436927413672	1.9047393251554088	0	0	0	0	0	0	0	0.3650190114068441	5	0	0.5	0.5680332325988211	0.32432432432432434
13	https://www.orovillehospital.com/	0.17391304347826086	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	7	1.7214593154334905	0.4	0.0	0.4
14	http://www.lakeoroville.water.ca.gov/	0	0.0	0	0.3333333333333333	0.0	0	0	0	0	0.0	17	0.09823567115339205	0.32	0.0	0.0
15	http://www.realtor.com/realestateandhomes-search/Oroville_CA	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.1702127659574468	0.0	0.0
16	http://www.topix.com/city/oroville-ca	0.09876543209876543	1.240841032175852	0.6153846153846154	0	0	0.0	0.0	0	0	0	32	1.1563887093298857	0.3333333333333333	1.6153846153846154	0.42105263157894735
