index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
2	http://www.pattersonmedical.com/	0	0.0	0	0	0	0	0	0	0	0	3	0	0.45	0.23684210526315788	0.4090909090909091
3	https://www.pattersonvet.com/	0	0.4220689655172414	0	0.0	0.6	0	0	0	0	0	19	0.20930232558139536	0.5625	0.15	0.45
4	http://www.jamespatterson.com/	0	0.0	0	0.0	0	0	0	0	0	0	46	0.0	0.5	0.0	0.225
5	http://www.pattersonauto.com/	0.05172413793103448	0.36	0	0	0	0	0	0	0	0	25	0	0.5294117647058824	0.0	0.15384615384615385
6	http://www.pattersoncars.com/	0.02616279069767442	0.0	0.34615384615384615	0.0	0	0.0	0	0	0	0.024657534246575342	84	0	0.5294117647058824	0.0	0.12162162162162163
7	http://ci.patterson.ca.us/	0	0.17307692307692307	0.0	0	0.5294117647058824	0.0	0	0	0	0.0	5	0	0.5	0.0	0.17647058823529413
8	https://en.wikipedia.org/wiki/Patterson	0	0.0	1.0	0.0	0.0	0	0	0	0	0	25	0.0	0.3103448275862069	0.0	0.20454545454545456
9	http://www.jamespatterson.com/all-books	0	0.0	0.0	0	0.0	0	0	0	0	0	85	0.0	0.3333333333333333	0.0	0.0
10	http://pattersonpumps.com/	0.03614457831325301	0.0	0.2727272727272727	0	0.04054054054054054	0.0	0	0	0	0.02112676056338028	6	0	0.5	0.0	0.3333333333333333
11	http://www.pattersoncompanies.com/Locations	0	4.403473028595385	0	0	0.0	0	0	0	0	0	11	0	0.2903225806451613	0.0	0.3
12	https://en.wikipedia.org/wiki/Patterson,_California	0	0.0	0.42857142857142855	0.0	0.0	0	0	0	0	0	55	1.548104262100701	0.21951219512195122	1.0588235294117647	0.16071428571428573
13	http://www.pattersonny.org/	0	0.2903225806451613	0	0	0	0.20930232558139536	0	0	0	0	18	1.0469718817591924	0.6	0.21951219512195122	0.375
14	http://www.pattersoncompanies.com/	0	5.2685699087451505	0	0	0.0	0	0	0	0	0	11	0	0.4090909090909091	0.0	0.3
15	http://www.pattersonmedical.com/app.aspx?cmd=contentview	0	0.0	0	0	0	0	0	0	0	0	3	0	0.20454545454545456	0.23684210526315788	0.4090909090909091
16	https://www.patterson-online.com/	0.05806451612903226	0.15254237288135594	0.0	0	0	0	0	0	0	0	1	0	0.45	0.0	0.1267605633802817
17	http://www.patterson.com/	0.041666666666666664	0.5294117647058824	0	0	0	0	0	0	0	0.0	1	0.0	0.6923076923076923	0	0.2903225806451613
