index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://www.cityofrc.us/	0	0.42778711484593834	0	0.0	0	0	0	0	0	0	2	0	0.0	0.5714285714285714	0.6956521739130435
2	https://en.wikipedia.org/wiki/Rancho_Cucamonga,_California	0	1.0	0.5714285714285714	0.0	0.0	0	0	0	0	0	111	3.8677217473119945	0.3125	1.1428571428571428	0.25396825396825395
3	http://www.zillow.com/rancho-cucamonga-ca/	0.0975609756097561	0.0	0.5161290322580645	0	0	1.1868131868131868	0.0	0.0	0	0	102	0.0	0.5172413793103449	35.178349179051516	0.4266666666666667
4	https://www.mapquest.com/us/ca/rancho-cucamonga-282040212	0.13559322033898305	0.0	0.5714285714285714	0	0.0	0	0	0	0	0	2	0.03686635944700461	0.35714285714285715	0.0	0.5714285714285714
5	https://en.wikipedia.org/wiki/Rancho_Cucamonga	0	0.0	1.0	0.0	0.0	0	0	0	0	0	18	0.6454545454545455	0.4166666666666667	0.0	0.3137254901960784
6	https://www.tripadvisor.com/Tourism-g32940-Rancho_Cucamonga_California-Vacations.html	0.3018867924528302	1.2448739715293196	1.2114285714285713	0	1.164642375168691	0	0	0	0	0.32	2	0.0	0.20833333333333334	2.4141414141414144	0.4383561643835616
8	http://rchs-cjuhsd-ca.schoolloop.com/	0.43243243243243246	0.3018867924528302	0	0.0	0	0	0	0	0	0.6274509803921569	39	0.0	0.0	2.347542722159076	0.41025641025641024
9	http://www.citivu.com/index.html	0	0.0	0	0	0	0	0	0	0	0	4	0.29591718999818684	0.0	0	0.4444444444444444
10	http://www.milb.com/index.jsp?sid=t526	0.2	0.0	0	0.5	0.0	0	0	0	0	0	83	0.0	0.0	1.075098814229249	0.2222222222222222
11	https://www.facebook.com/places/Things-to-do-in-Rancho-Cucamonga-California/112087128808020/	0.13559322033898305	4.7090086384204035	1.0	0	0	0	0	0	0	0	140	1.8129694149365578	0.19736842105263158	0.0	0.2909090909090909
12	http://www.urbandictionary.com/define.php?term=RANCHO%20CUCAMONGA	0	1.9601031380235487	0	0	0.0	0.0	0	0	0	0	102	0.0	0.0	0.0	0.47058823529411764
