index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.rialtotheatre.com/	0.037037037037037035	0.1875	0	1.649122807017544	0.0	0	0	0	0	0	44	0.0	0.35294117647058826	1.1428571428571428	0.6859326229684641
2	http://yourrialto.com/	0.0	0.15823474308711794	0.14285714285714285	0	0.42857142857142855	0	0	0	0	0	9	0	0.42857142857142855	0.74	0.11764705882352941
3	http://www.rialtocinemas.com/index.php?location=sebastopol	0	0.0	0	0	0	0	0	0	0	0	15	0.0	0.13043478260869565	0	0.7815126050420168
4	http://rialtosquare.com/	0	0.0	0	0.0	0.0	0	0	0	0	0	16	0.08308746549919102	0.375	0.2857142857142857	0.1111111111111111
5	http://rialtocapital.com/	0.027649769585253458	0.015957446808510637	0.04225352112676056	0	0	0	0	0	0	0.07142857142857142	2	0.0	0.35294117647058826	0.0	0.20689655172413793
6	http://www.thevillagestheatres.com/rialto.html	0	0.0	0	0	0	0	0	0	0	0	55	0	0.17647058823529413	1.0687306501547988	1.0
7	http://rialto.gsu.edu/	0	0.0	0	0.0	0.0	0.0	0	0	0	0	237	0.9986505864437178	0.42857142857142855	0.0	0.18181818181818182
8	http://www.therialto.com/	0.07317073170731707	0.0379746835443038	0.0	0	0	0	0.0	0	0	0.05806451612903226	47	0.07692307692307693	0.46153846153846156	0.0	0.10344827586206896
9	https://en.wikipedia.org/wiki/Rialto	0	0.0	1.0	0.0	0.0	0	0	0	0	0	25	0.20352443609022555	0.23076923076923078	0.0	0.14634146341463414
10	http://www.rialtosquare.com/box_office.asp	0	0.0	0.35294117647058826	0.0	0.35294117647058826	0.0	0	0	0	0	18	0.06891361256544502	0.2	0.2857142857142857	0.1111111111111111
11	http://rialto.gsu.edu/calendar/	0	0.3233838540055676	0	0	0.0	0.0	0	0	0	0	410	0.9563970653169572	0.2727272727272727	4.871428571428572	0.16216216216216217
12	https://en.wikipedia.org/wiki/Rialto,_California	0	0.0	0.3333333333333333	0.0	0.0	0	0	0	0	0	99	1.670966473527947	0.15789473684210525	1.3333333333333333	0.11320754716981132
13	http://kec.rialto.k12.ca.us/	0	0.08108108108108109	0	0.0	0	0	0	0	0	0.1875	47	0	0.3	0.3246581196581197	0.14634146341463414
14	http://www.charleshotel.com/dining-and-entertainment/	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	53	0.0	0.0	0.0	0.0
15	https://www.rialto.co.nz/Sessions	0	0.0	0	0.0	0.0	0	0	0	0	0.0	6	0	0.3	0.2727272727272727	0.0
16	http://www.rialtocinemas.com/	0	0.0	0	0	0	0	0	0	0	0	0	0	0.35294117647058826	0	0.3333333333333333
17	http://www.rialto.com/	0.0	0	0	0	0	0	0	0	0	0.0	2	0	0.6	0	0.46153846153846156
19	http://www.thefreedictionary.com/Rialto	0.1348314606741573	0.15384615384615385	1.0	2.0	0	0	0	0	0	0.10227272727272728	103	0.0	0.2222222222222222	15.0	0.23076923076923078
20	https://www.rialto.co.nz/Cinema/Dunedin	0	0.0	0.42857142857142855	0.0	0.0	0	0	0	0	0.0	6	0.05584415584415584	0.24	1.1439903725618012	0.0
21	http://www.fandango.com/digiplexrialto_aabmg/theaterpage	0.043795620437956206	0.0	0.13043478260869565	0.0	0.0	0.0	0.0	0.0	0	0	281	0.0	0.13953488372093023	0.0	0.08108108108108109
