index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Saint_Helena	0	0.0	0.0	0.0	0.0	0	0	0	0	0	238	0.21986271986271985	0.0	0.6666666666666666	0.0
2	http://www.sthelena.com/	0.06896551724137931	0.0	0	0.0	0.0	1.1793611793611793	0	0	0	0	20	0.18295033358042995	0.0	0.0	0.37037037037037035
4	http://www.sthelenaedison.org/	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.5555555555555556
5	http://sthelenatourism.com/	0.0	0.0	0	0	0	0	0	0	0	0	12	0	0.0	0.0	0.0
6	http://www.sthpk-12.net/	0	0.35797535797535796	4.163863452946704	0	0.0	0	0	0	0	0	35	0.03508771929824561	0.0	1.3374492430975102	0.18518518518518517
8	https://en.wikipedia.org/wiki/Helena_of_Constantinople	0	0.0	0.0	0.0	0.0	0	0	0	0	0	93	0.0	0.0	0.0	0.0
9	http://www.sthelena.vic.edu.au/?page_id=127	0	0.0	0.0	0	0	0	0	0	0	0	45	0.0	0.0	0.0	0.0
10	http://www.sainthelenaschool.org/	0	0.0	0	0	0	0	0	0	0	0	9	0.0	0.0	0.0	0.0
11	https://www.visitnapavalley.com/travel-tools/towns/st-helena/	0.0641025641025641	0.0	1.0	2.0236419926822404	0.0	0.0	0	0	0	0	47	0.09009009009009009	0.0	0.0	0.18518518518518517
12	http://sthelenacatholicschool.org/	0	0.3178893178893179	0	0.3225806451612903	0	0.0	0	0	0	0	6	0.837713410333986	0.0	0.38461538461538464	0.0
13	http://sthelenaparish.la.gov/	0.19230769230769232	0.0	0	0	0	0	0	0	0	0.11627906976744186	1	0.28814262023217246	0.0	0.0	0.3448275862068966
14	http://www.sthelena.com/directory/wine/	0.09803921568627451	5.592039955158396	0	0.17543859649122806	0	0.9090909090909091	0	0	0	0	139	0.12345679012345678	0.0	2.8405906797960774	0.23255813953488372
15	http://www.sthelenalocal.com/	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	11	0.0	0.0	0.0	0.0
16	http://www.sthelena.org/	0.38461538461538464	0.0	0	0	0	0	0	0	0	0	11	0.0	0.0	0.861985236985237	0.22727272727272727
17	https://www.adventisthealth.org/napa-valley/pages/default.aspx	0.07936507936507936	0.0	0	0	0	0	0	0	0	0	34	0.0	0.0	0.0	0.2777777777777778
18	http://www.sthelena.se/	0	0.0	0	0	0	0	0	0	0	0.0	12	0.0	0.0	0	0.0
19	http://www.sainthelena.us/school/	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.38461538461538464
20	http://sthelenaschurch.org/	0	0.0	0	0.0	0	0	0	0	0	0	3	0.13381355486618646	0.0	0.0	0.5263157894736842
21	http://www.sthelenaedison.org/school/	0	0.0	0.0	0.0	0.0	0	0	0	0	0	79	0	0.0	0.0	0.5882352941176471
