index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Pluton	0	0.0	1.0	0.0	0.0	0	0	0	0	0	40	0.14634146341463414	0.21428571428571427	0.0	0.3333333333333333
2	http://geology.about.com/od/glossaryofgeology/g/Pluton.htm	0	0.075	0.35294117647058826	0	0	0	0.0	0	0	0	45	2.3658834218204765	0.11764705882352941	0.35294117647058826	0.2
3	http://plutons.science.oregonstate.edu/	0	0	0.0	0	0.0	0	0	0	0	0	8	0	0.1875	0.011904761904761904	0.35294117647058826
4	http://www.thefreedictionary.com/pluton	0.11235955056179775	0.355125471543382	1.0	1.0	0	0	0	0	0	0.10227272727272728	113	0.0	0.21428571428571427	14.6	0.23076923076923078
5	http://www.pitt.edu/~cejones/GeoImages/3IntrusiveBodies/1Plutons.html	0	0	0	0	0	0	0	0	0	0	3	0	0.10344827586206896	0	0.6818181818181819
7	https://en.wikipedia.org/wiki/Pluto#History	0	0.0	0.0	0.0	0.0	0	0	0	0	0	376	0.0	0.0	0.0158311345646438	0.0
8	https://en.wikipedia.org/wiki/Pluto#Orbit	0	0.0	0.0	0.0	0.0	0	0	0	0	0	376	0.0	0.0	0.0158311345646438	0.0
9	https://en.wikipedia.org/wiki/Pluto#Rotation	0	0.0	0.0	0.0	0.0	0	0	0	0	0	376	0.0	0.0	0.0158311345646438	0.0
10	https://en.wikipedia.org/wiki/Pluto#Geology	0	0.0	0.0	0.0	0.0	0	0	0	0	0	376	0.0	0.0	0.0158311345646438	0.0
11	https://en.wikipedia.org/wiki/Pluto#Mass_and_size	0	0.0	0.0	0.0	0.0	0	0	0	0	0	376	0.0	0.0	0.0158311345646438	0.0
12	https://en.wikipedia.org/wiki/Pluto#Atmosphere	0	0.0	0.0	0.0	0.0	0	0	0	0	0	376	0.0	0.0	0.0158311345646438	0.0
13	https://medium.com/@PlutusIT/pluton-ethereum-powered-reward-system-for-every-day-purchases-with-bitcoin-bba9bae0aadf	0.0	0.0	0.06976744186046512	0	0	0.0	0	0	0	0	11	0.3377680677324547	0.05555555555555555	0.0	0.06976744186046512
14	https://www.merriam-webster.com/dictionary/pluton	0.09523809523809523	0.0	1.0	0.0	0	0.0	0.0	0	0	0.04316546762589928	25	0.0	0.16216216216216217	0.0	0.25
15	http://raider.mountunion.edu/~graylm/gy110f/plutons.html	0	0	0	0	0	0	0	0	0	0	0	0.582298743459017	0.12244897959183673	0	0.8571428571428571
16	http://onepiece.wikia.com/wiki/Pluton	0.1276595744680851	0.0	1.0	1.0	0.0	0	0	0	0	0.07643312101910828	48	0.4407916279514076	0.2	0.0	0.12244897959183673
17	https://www.bg-wiki.com/bg/Pluton	0	0.0	0	0.0	0.0	0	0	0	0	0	4	0	0.2857142857142857	1.0	0.2857142857142857
18	http://www.plutonstrio.com/about#!	0	0	0	0	0	0	0	0	0	0	0	0	0.2608695652173913	0	0.8571428571428571
19	http://www.dictionary.com/browse/pluton	0.06	0.0	0	0	0.2608695652173913	0	0	0	0	0.26666666666666666	15	0.0	0.21428571428571427	10.207142857142857	0.3
20	http://facweb.bhc.edu/academics/science/harwoodr/Geol101/study/Plutons.htm	0	0	0.0	0	3.8892857142857142	0	0	0	0	0	26	0.16344827586206895	0.08955223880597014	0	0.30158730158730157
21	https://quizlet.com/subject/plutons/	0.0	0.0	0	0	0	1.7142857142857142	0	0	0	0	2	0.0	0.21428571428571427	89.44645442198544	0.23076923076923078
22	http://encyclopedia2.thefreedictionary.com/Plutons	0.1016949152542373	0.15703703703703703	1.0	2.0	0	0	0	0	0	0.1005586592178771	172	0.15787936322476998	0.13953488372093023	11.285714285714286	0.2222222222222222
23	https://plutus.it/	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.15384615384615385	14	0.0676420760819344	0.0	0	0.0
24	https://medium.com/@PlutusIT/pluton-crowdsale-how-it-will-work-df3983bbde00	0.030927835051546393	0.0	0.12244897959183673	0	0	0	0	0	0	0	19	0.6853226514189389	0.08955223880597014	0.0	0.08571428571428572
25	http://plutons.science.oregonstate.edu/publications	0	0.016666666666666666	0.0	0	0.0	0	0	0	0	0	37	0.03604005640741865	0.13636363636363635	0.12561012136533	0.2727272727272727
26	https://quizlet.com/subject/term%3Aplutons%20%3D%20large%2C%20irregular%20shaped%20intrusive%20bodies./	0.0	0.0	0	0	0	0.21428571428571427	0	0	0	0	2	0.0	0.06315789473684211	90.94544826714974	0.08
27	https://www.facebook.com/Plutons-890592514289017/	0.07741935483870968	0.31143695014662753	0	0	0	0	0	0	0	0	0	0.8239064856711915	0.16216216216216217	0.0	0.3333333333333333
28	https://en.wikipedia.org/wiki/Pluton	0	0.0	1.0	0.0	0.0	0	0	0	0	0	40	0.14634146341463414	0.21428571428571427	0.0	0.3333333333333333
29	http://www.plutonstrio.com/#!	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0	0.8571428571428571
30	http://plutons.science.oregonstate.edu/	0	0	0.0	0	0.0	0	0	0	0	0	8	0	0.1875	0.011904761904761904	0.35294117647058826
31	https://www.bg-wiki.com/bg/Pluton_Box	0	0.0	0	0.0	0.0	0	0	0	0	0	4	0	0.24	0.6	0.24
32	https://www.uwgb.edu/dutchs/Sudbury/ThesisPluton.htm	0	0	0.20689655172413793	0.3	0	0	0	0	0	0	7	0.5096663660898163	0.15	0	0.20689655172413793
33	http://ffxiclopedia.wikia.com/wiki/Pluton	0.1276595744680851	0.0	1.0	0.0	0.0	0	0	0	0	0.1651376146788991	46	0	0.17647058823529413	0.0	0.1276595744680851
34	https://www.facebook.com/Plutons-890592514289017/	0.07741935483870968	0.31143695014662753	0	0	0	0	0	0	0	0	0	0.8239064856711915	0.16216216216216217	0.0	0.3333333333333333
