index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.oxforddictionaries.com/us/	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
2	http://www.thefreedictionary.com/Reinflame	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0
3	http://www.dictionary.com/browse/inflame	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
4	https://www.howmanysyllables.com/words/reinflaming	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
5	http://www.yourdictionary.com/reinflaming	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
6	https://en.wiktionary.org/wiki/reinflaming	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
7	http://www.anagrammer.com/scrabble/reinflaming	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
8	http://www.yourdictionary.com/reinflame	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
9	https://en.wiktionary.org/wiki/reinflame	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
10	http://www.riassuntini.com/English-Italian-dictionary/Reinflaming-translation-in-italian.html	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
11	http://www.wordfind.com/ends-with/ming/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
12	http://englishdictionary.education/en/reinflame	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
13	http://www.wordnik.com/words/reinflaming	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
14	https://www.verywell.com/spider-bite-pictures-4028011	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
15	https://pasttenses.com/reinflame-past-tense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	https://quizlet.com/1958769/murder-flash-cards/	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
17	http://www.wordfind.com/ends-with/reinflaming/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
18	http://www.wordfind.com/starts-with/reinflaming/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
19	https://www.theguardian.com/us-news/2016/apr/25/cleveland-tamir-rice-family-lawsuit-settlement	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
20	https://www.theguardian.com/us-news/tamir-rice	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
21	https://www.theguardian.com/commentisfree/2010/jan/24/iraq-war-chilcot-gordon-brown	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
22	https://www.theguardian.com/us/commentisfree	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
23	https://www.theguardian.com/world/iraq	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
25	http://www.nytimes.com/2007/03/21/opinion/21iht-edevans.4978736.html	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
26	https://www.reference.com/health/insect-bites-cause-blisters-a15c232755533702	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
27	https://www.reference.com/health/explore/insect-animal-bites	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
28	http://www.drgreene.com/qa-articles/mosquito-bites/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
29	http://www.scienceforums.net/topic/33930-returning-insect-bite/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
30	http://www.scienceforums.net/forum/21-microbiology-and-immunology/	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
31	http://www.healthcare-online.org/Insect-Bite-That-Won't-Heal.html	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
32	http://www.nytimes.com/1997/04/12/nyregion/li-man-who-runs-home-for-boys-in-guatemala-is-on-trial-in-absentia.html	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
33	http://radioopensource.org/americas-war-of-ideas/	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
