index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.m.wikipedia.org/wiki/Typebar	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0
2	https://en.wikipedia.org/wiki/Typebar	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0
3	https://www.merriam-webster.com/dictionary/typebar	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
4	http://www.thefreedictionary.com/Typebar	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0
5	http://www.thetypebar.com/	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
6	http://www.dictionary.com/browse/typebar	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
7	http://www.collinsdictionary.com/dictionary/english/typebar	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
8	https://en.m.wiktionary.org/wiki/typebar	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
9	http://www.bharatbiotech.com/products/vaccines/typbar/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
10	http://www.definitions.net/definition/typebar	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
11	http://typebar.eu/	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
12	http://www.gettyimages.com/detail/video/working-labtop-and-tablet-stock-footage/628621138	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
13	http://www.gettyimages.com/detail/video/woman-typing-a-tablet-stock-footage/619106348	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
14	http://www.gettyimages.com/detail/video/close-up-of-woman-using-smartphone-at-coffee-outdoor-stock-footage/588652050	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
15	http://typebar.eu/	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
16	https://en.wikipedia.org/wiki/QWERTY	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0
17	http://www.yourdictionary.com/typebar	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
18	http://www.dictionary.com/browse/typebar?qsrc=2446&o=100074	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
19	http://site.xavier.edu/polt/typewriters/tw-history.html	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
