index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.oxforddictionaries.com/us/	0.0	0	0.0	0.0	0	0.0	0	0	0	0.0	14	0.0	0.0	0.0	0.0
2	http://www.dictionary.com/browse/powder	0.0	0.0	0	0	0.0	0	0	0	0	0.0	26	0.0	0.0	1.7777777777777777	0.0
3	https://www.merriam-webster.com/dictionary/powder	0.0	0.0	0.0	1.0	0	0.0	0.0	0.0	0	0.039603960396039604	37	0.0	0.0	0.0	0.0
4	http://www.thefreedictionary.com/powdered	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	111	0.0	0.0	0.0	0.0
5	http://www.tablespoon.com/recipes/powdered-sugar-icing/7b63e81d-a088-473a-8bca-74bb1641fc8d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	6	0.0	0.0	0.0	0.0
6	http://www.thefreedictionary.com/powderize	0.0	0.0	0.0	0	0	0	0	0	0	0.0	102	0.0	0.0	0.0	0.0
7	https://www.atf.gov/explosives/qa/may-i-sell-black-powder-without-license	0	0.0	0.0	0.0	0	0	0	0	0	0	11	0.0	0.0	0.0	0.0
8	http://www.evergladesammo.com/reloading/powder-primers/powder.html	0.0	0.0	0.0	0	0	0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
9	http://www.evergladesammo.com/reloading.html	0.0	0.0	0.0	0	0	0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
10	http://www.evergladesammo.com/reloading/powder-primers.html	0.0	0.0	0.0	0	0	0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
11	http://www.usatoday.com/story/news/nation-now/2015/03/12/palcohol-powdered-alcohol/70198862/	0	0.0	0.0	0	0	0.0	0	0.0	0	0	12	0.0	0.0	0.0	0.0
12	https://en.wikipedia.org/wiki/Powdered_milk	0	0.0	0.0	0.0	0.0	0	0	0	0	0	54	0.0	0.0	0.0	0.0
13	http://www.youtube.com/watch?v=p6xNft9MutQ	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	3	0.0	0.0	0.0	0.0
14	http://shop.honeyville.com/powdered-peanut-butter.html	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	22	0.0	0.0	0.0	0.0
15	http://www.definitions.net/definition/powderer	0.14953271028037382	0	0.0	0.0	0.0	0.0	0.0	0	0	0.37209302325581395	83	2.269078575466365	0.22857142857142856	0.32	0.3333333333333333
16	http://www.evergladesammo.com/reloading/powder-primers/powder.html	0.0	0.0	0.0	0	0	0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
17	http://www.evergladesammo.com/reloading.html	0.0	0.0	0.0	0	0	0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
18	http://www.evergladesammo.com/reloading/powder-primers.html	0.0	0.0	0.0	0	0	0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
20	http://www.usatoday.com/story/news/nation-now/2015/03/12/palcohol-powdered-alcohol/70198862/	0	0.0	0.0	0	0	0.0	0	0.0	0	0	12	0.0	0.0	0.0	0.0
21	https://www.etsy.com/market/powderer	0.0625	0.0	0.3076923076923077	0.0	0	0	0	0	0	1.0	4	0.0	0.3333333333333333	0.0	0.5333333333333333
22	http://www.ebay.com/bhp/antique-powder-horn	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	2	0	0.0	0.0	0.0
23	http://cookieandkate.com/2014/how-to-make-powdered-sugar/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	31	0.0	0.0	0.0	0.0
24	https://en.wiktionary.org/wiki/powderer	0	0.0	1.0	0.0	0.0	0	0	0	0	0	4	0	0.25806451612903225	0.0	0.38095238095238093
25	http://www.alliantpowder.com/products/powder/unique.aspx	0	0	0.0	0.0	0.0	0.0	0	0	0	0	10	0.0	0.0	0.0	0.0
26	http://www.cabelas.com/category/Powder-Caps/104511780.uts	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	16	0.0	0.0	0.0	0.0
27	http://www.cabelas.com/browse.cmd?categoryId=104792580	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	18	0.0	0.0	0.0	0.0
28	http://www.cabelas.com/catalog/browse.cmd?N=1100199	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	16	0.0	0.0	0.0	0.0
29	http://kbhgames.com/powder/	0.0	0.0	0.0	0	0.0	0	0	0	0	0	2	0.0	0.0	0.0	0.0
30	http://encyclopedia2.thefreedictionary.com/powderer	0.0995850622406639	0.1568627450980392	0.0	0.0	0.0	0	0	0	0	0.13186813186813187	165	0.0	0.18181818181818182	1.0	0.2857142857142857
31	https://www.amazon.com/powdered-cream-Grocery-Gourmet-Food/s?ie=UTF8&page=1&rh=n%3A16310101%2Ck%3Apowdered%20cream	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	36	0.0	0.0	0.0	0.0
32	http://www.ebay.com/sch/i.html?_nkw=black+powder+barrels	0.0	0.0	0	0.0	0.0	0	0	0	0	0	3	0.0	0.0	0.0	0.0
33	http://www.znaturalfoods.com/Fruit-Powders	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
35	http://kbhgames.com/powder/	0.0	0.0	0.0	0	0.0	0	0	0	0	0	2	0.0	0.0	0.0	0.0
36	http://encyclopedia2.thefreedictionary.com/powderer	0.0995850622406639	0.1568627450980392	0.0	0.0	0.0	0	0	0	0	0.13186813186813187	165	0.0	0.18181818181818182	1.0	0.2857142857142857
37	http://www.imdb.com/title/tt0114168/fullcredits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	2	0.0	0.0	0.0	0.0
38	http://culinaryarts.about.com/od/glossary/g/Confectioners-Sugar.htm	0	0.0	0.0	0	0.0	0	0.0	0	0	0	41	0.0	0.0	0.0	0.0
39	http://culinaryarts.about.com/od/culinaryreference/	0	0.0	0.0	0	0	0	0.0	0	0	0	44	0	0.0	0.0	0.0
40	http://idioms.thefreedictionary.com/powderer	0.1643835616438356	0.18181818181818182	0.0	0.0	0	0	0	0	0	0.13186813186813187	226	0.0	0.21621621621621623	1.0	0.2
41	http://cookieandkate.com/2014/how-to-make-powdered-sugar/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	31	0.0	0.0	0.0	0.0
42	http://www.ulta.com/hd-finishing-powder?productId=xlsImpprod12011173	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	5	0.0	0.0	0.0	0.0
43	http://www.ulta.com/makeup?N=26y1	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	4	0.0	0.0	0.0	0.0
44	http://www.ulta.com/makeup-face?N=26y3	0.0	0.0	0	0	0.0	0	0.0	0	0	0.0	4	0.0	0.0	0.0	0.0
45	http://www.ulta.com/makeup-face-powder?N=26y8	0.0	0.0	0	0	0.0	0	0.0	0	0	0.0	4	0.0	0.0	0.0	0.0
46	http://www.growingajeweledrose.com/2013/08/homemade-powder-paint-recipe.html	0	0.0	0	0	0.0	0.0	0	0	0	0.0	24	0.0	0.0	0.0	0.0
47	http://www.grandecig.com/products/primo	0.0	0	0.0	0	0.0	0	0	0	0	0	2	0.0	0.0	0.0	0.0
