index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.mathsisfun.com/reciprocal-fraction.html	0	0.0	1.25	2.7177419354838714	0.8108108108108109	0	0	0	0	0.0	9	4.602913172149993	0.7692307692307692	0	1.25
2	http://www.mathsisfun.com/reciprocal.html	0	0.0	3.0	0.6666666666666666	0.967741935483871	0	0	0	0	0.0	7	14.22003296135684	1.0	0.0	3.0
3	http://www.mathsisfun.com/algebra/reciprocal.html	0	0.0	1.4285714285714284	2.6136363636363633	0.7692307692307692	0	0	0	0	0.0	5	7.649629067118404	0.7894736842105263	0.0	1.4285714285714284
4	http://www.mathsisfun.com/definitions/reciprocal.html	0.0	0.0	0	0	0	0	0	0	0	0.0	35	0	0.7142857142857142	3.5555555555555554	1.25
5	https://en.wikipedia.org/wiki/Reciprocal	0	0.0	3.0	0.0	0.0	0	0	0	0	0	10	0	0.9375	2.222222222222222	1.3636363636363635
6	https://www.merriam-webster.com/dictionary/reciprocal	0.3973509933774835	0.0	3.0	21.736111111111107	0	0.0	0.0	0.0	0	0.3821656050955414	32	0.0	0.7317073170731707	0.0	1.0714285714285714
7	http://www.icoachmath.com/math_dictionary/reciprocal.html	0.6593406593406593	0.0	3.0	1.25	3.204295704295704	0.0	0.0	0	0	1.3636363636363635	30	0.9727891156462585	0.6521739130434783	0	0.6451612903225806
9	http://www.themathpage.com/Alg/reciprocals.htm	0.234375	0	2.727272727272727	0.0	0	0	0	0	0	1.1111111111111112	16	0.0	0.8571428571428571	3.727272727272727	0.625
10	http://www.dictionary.com/browse/reciprocal	0.6000000000000001	1.4285714285714286	0	0	1.1111111111111112	0	0	0	0	1.1320754716981134	26	0.23809523809523808	0.9375	74.23157106051846	1.25
11	http://www.thefreedictionary.com/reciprocal	0.7291666666666666	1.016823354774864	3.0	24.0	0	0	0	0	0	0.4787234042553192	138	0.0	0.9375	51.536970029649794	1.0
12	http://mathworld.wolfram.com/Reciprocal.html	0	0.0	3.0	0	0	0	0	0	0	0	23	4.274698015530629	0.8108108108108109	0.0	0.8333333333333334
13	http://mathworld.wolfram.com/topics/Arithmetic.html	0	0.0	0.0	0	0	0	0	0	0	0	13	0.0	0.0	0	0.0
14	http://mathworld.wolfram.com/topics/MultiplicationandDivision.html	0	0.0	0.0	0	0	0	0	0	0	0	13	0.0	0.0	0	0.0
