index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://westvalleymall.com/finder.php?m=name&c=30404&sc=&oid=17594_0	0.0	0.0	0	0	0	0	0	0	0	0	49	0	0.0	0	0.0
2	https://www.yelp.com/biz/shiekh-shoes-tracy?adjust_creative=bing&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=bing	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	59	0.0	0.0	0.0	0.0
3	http://westvalleymall.com/finder.php?m=name&c=30403&sc=&oid=17612_0	0.0	0.0	0	0	0	0	0	0	0	0	49	0	0.0	0	0.0
4	https://www.yelp.com/biz/vans-tracy?adjust_creative=bing&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=bing	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	58	0.0	0.0	0.0	0.0
5	http://www.famousfootwear.com/Stores/2790-WEST-VALLEY-MALL	0	0.0	0	0	0	0	0	0	0	0	9	0.0	0.0	0.0	0.0
6	https://www.yelp.com/biz/famous-footwear-tracy?adjust_creative=bing&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=bing	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	59	0.0	0.0	0.0	0.0
7	http://www.payless.com/	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	11	0.0	0.0	0.0	0.0
8	https://www.yelp.com/biz/payless-shoesource-tracy?adjust_creative=bing&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=bing	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	58	0.0	0.0	0.0	0.0
10	https://www.yelp.com/biz/footlocker-tracy?adjust_creative=bing&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=bing	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	58	0.0	0.0	0.0	0.0
11	http://www.shoes.com/	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	5	0.0	0.0	0.0	0.0
12	http://www.dictionary.com/browse/shies	0.0	0.0	0	0	6.0	0	0	0	0	0.0	26	0.0	0.0	63.82407142554781	0.0
13	http://www.zappos.com/shoes	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	9	0.0	0.0	0.0	0.0
14	http://www.zappos.com/mens-shoes	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	9	0.0	0.0	0.0	0.0
15	http://www.zappos.com/womens-shoes~1i5	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	9	0.0	0.0	0.0	0.0
16	http://www.zappos.com/womens-sandals~x2	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	10	0.0	0.0	0.0	0.0
17	http://www.zappos.com/sneakers-athletic-shoes~B	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	10	0.0	0.0	0.0	0.0
18	http://www.6pm.com/shoes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	15	0.0	0.0	0.0	0.0
21	http://www.kohls.com/sale-event/shoes.jsp	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	12	0.0	0.0	0.0	0.0
23	https://www.onlineshoes.com/	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0	0	5	0.0	0.0	0.0	0.0
24	http://www.famousfootwear.com/	0.0	0	0	0	0	0	0	0	0	0.0	9	0.0	0.0	0.0	0.0
25	http://www.zappos.com/womens-shoes	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	10	0.0	0.0	0.0	0.0
26	http://www.kohls.com/sale-event/shoes.jsp	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	12	0.0	0.0	0.0	0.0
27	http://www.dsw.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	9	0	0.0	0.0	0.0
29	http://www.shoecarnival.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	12	0.0	0.0	0.0	0.0
30	http://www.payless.com/	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	11	0.0	0.0	0.0	0.0
31	https://www.shoedazzle.com/	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
32	http://www.shiekhshoes.com/	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	265	0.0	0.0	0.0	0.0
33	http://www.target.com/c/shoes/-/N-55b0t	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
34	https://secure-www.zappos.com/	0.0	0	0	0.0	0.0	0	0.0	0	0	0.0	17	0.0	0.0	0.0	0.0
35	http://www.aldoshoes.com/us/en_US	0.0	0.0	0	0.0	0.0	0	0	0	0	0	13	0.0	0.0	0.0	0.0
36	http://etnies.com/us	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	5	0.0	0.0	0.0	0.0
37	http://www.famousfootwear.com/	0.0	0	0	0	0	0	0	0	0	0.0	9	0.0	0.0	0.0	0.0
39	http://www.vans.com/	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	15	0.0	0.0	0.0	0.0
40	http://www.merrell.com/US/en/Home	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	20	0.0	0.0	0.0	0.0
41	http://www.stevemadden.com/	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	17	0.0	0.0	0.0	0.0
42	http://www.sears.com/clothing-shoes-jewelry-shoes/b-1325051825	0.0	0.0	0.0	0.0	0	0	0	0	0	0	10	0.0	0.0	0.0	0.0
43	http://www.sears.com/clothing-shoes-jewelry/b-1325032343	0.0	0.0	0.0	0.0	0	0	0	0	0	0	18	0.0	0.0	0.0	0.0
44	http://www.adidas.com/us/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	14	0.0	0.0	0.0	0.0
45	http://www.striderite.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
46	http://www.asics.com/us/en-us/	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0	27	0.0	0.0	0.0	0.0
48	http://www.journeys.com/	0	0	0	0	0.0	0	0	0	0	0	7	0	0.0	0.0	0.0
49	https://www.amazon.com/best-sellers-shoes/zgbs/shoes	0.0	0.0	0.0	0	0.0	0	0	0	0	0	36	0.0	0.0	0.0	0.0
50	https://www.skechers.com/	0.0	0.0	0	0	0.0	0	0	0	0	0	9	0.0	0.0	0.0	0.0
51	http://www.ninewest.com/	0.0	0.0	0	0	0.0	0	0	0	0	0	3	0.0	0.0	0.0	0.0
52	http://www.striderite.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
53	https://www.rackroomshoes.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	14	0.0	0.0	0.0	0.0
54	http://www.roadrunnersports.com/	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
55	http://www.drmartens.com/us/	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0	0	34	0.0	0.0	0.0	0.0
56	http://www.6pm.com/	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	20	0.0	0.0	0.0	0.0
57	http://www.justfab.com/	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	14	0	0.0	0.0	0.0
58	http://www.journeys.com/	0	0	0	0	0.0	0	0	0	0	0	7	0	0.0	0.0	0.0
59	http://www.asos.com/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	15	0.0	0.0	0.0	0.0
60	http://www.kohls.com/	0.0	0.0	0	0	0.0	0	0	0	0	0	13	0.0	0.0	0.0	0.0
61	http://sceis.sc.gov/	0.0	0	0	0.0	0	0	0	0	0	0.0	2	0.0	0.0	0	0.0
62	http://www.christianlouboutin.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
63	http://www.vans.com/	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	15	0.0	0.0	0.0	0.0
64	http://www.target.com/	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
65	http://m.target.com/	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
66	https://www.toryburch.com/shoes/	0.0	0.0	0.0	0	0	0	0.0	0	0	0	45	0.0	0.0	0.0	0.0
67	http://us.shop.ecco.com/	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
68	http://bike.shimano.com/	0	0.0	0	0.0	0.0	0	0	0	0	0	61	0	0.0	0.0	0.0
69	http://www.merrell.com/US/en/Home	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	20	0.0	0.0	0.0	0.0
71	http://www.striderite.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
72	http://www.keds.com/en/home	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	10	0.0	0.0	0.0	0.0
73	http://www.rogansshoes.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	249	0.0	0.0	0.0	0.0
75	http://m.reebok.com/us/men-shoes	0.0	0.0	0	0.0	0	0	0	0	0	0.0	3	0.0	0.0	0.0	0.0
76	http://www.reebok.com/us	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	11	0.0	0.0	0.0	0.0
