index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.oxforddictionaries.com/us/	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
2	http://www.thefreedictionary.com/swamper	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0
3	http://encyclopedia2.thefreedictionary.com/swamper	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0
4	http://idioms.thefreedictionary.com/swamper	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0
5	http://www.intercotire.com/	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
6	https://en.wikipedia.org/wiki/Swamper_%28occupational_title%29	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
7	http://bulbapedia.bulbagarden.net/wiki/Swampert_(Pok%C3%A9mon)	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0
8	http://www.dictionary.com/browse/swamper	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
12	https://www.summitracing.com/search/brand/super-swamper	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
15	http://en.wikipedia.org/wiki/Swamper_(occupational_title)	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
16	http://creativecommons.org/licenses/by-sa/3.0/	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
20	http://www.ebay.com/sch/i.html?_nkw=swamper+tires	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
21	https://en.wikipedia.org/wiki/Muscle_Shoals_Rhythm_Section	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
22	http://www.urbandictionary.com/define.php?term=swamper	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0
23	https://www.amazon.com/Tires-Super-Swamper-Wheels/s?ie=UTF8&page=1&rh=n%3A353609011%2Cp_4%3ASuper%20Swamper	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
24	http://www.ebay.com/bhp/super-swamper-tsl	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
25	http://4wheelonline.com/Interco_Super_Swamper_Tires.1516	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
26	http://4wheelonline.com/Off_Road_Mud_Tires.25	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
27	http://4wheelonline.com/atv/interco-super-swamper-atv-utv-tires.105241	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
28	http://4wheelonline.com/atv/ATV_Aftermarket_Manufacturers.107371	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
29	https://www.amazon.com/super-swamper-bogger/s?ie=UTF8&page=1&rh=i%3Aaps%2Ck%3Asuper%20swamper%20bogger	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
30	https://www.summitracing.com/search/product-line/interco-super-swamper-tsl-bogger-tires	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
31	http://theswamp.org/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
33	http://swampsdiesel.com/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
34	http://www.smogon.com/dex/xy/pokemon/swampert/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	http://www.thefreedictionary.com/swamper	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0
36	http://www.ntwonline.com/Super-Swamper-TSL-Radial-C1884.aspx	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0
37	https://en.wikipedia.org/wiki/Swamper_%28occupational_title%29	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
38	http://www.thesaurus.com/browse/swamper	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
39	http://rimzoneonline.com/tires/interco-super-swampers/super-swamper-ssr.html	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
40	http://rimzoneonline.com/tires.html	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
41	http://rimzoneonline.com/tires/interco-super-swampers.html	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
42	http://www.yourdictionary.com/swamper	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
43	https://www.prolineracing.com/tires/interco-tsl-sx-super-swamper-xl-2.2-g8-rock-terrain-truck-tires/	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
44	http://www.indeed.com/q-Swamper-jobs.html	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
45	http://www.morris4x4center.com/jeep-tires/super-swamper/	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
46	http://www.morris4x4center.com/jeep-tires/index.htm	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
47	http://rimzoneonline.com/tires/interco-super-swampers/super-swamper-tsl-radial.html	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
52	http://www.theswampers.com/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
54	http://www.off-road.com/trucks-4x4.html	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
56	http://ca.indeed.com/Swamper-jobs	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
57	http://www.sears.com/search=super%20swamper%20tires%20atv%2015%20super%20swamper%20tsl	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
58	http://interco.factoryoutletstore.com/cat/40308/Super-Swamper-TSL-SX-Tires.html	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
59	http://www.smogon.com/dex/bw/pokemon/swampert/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	http://pokemon.wikia.com/wiki/Swampert	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0
61	http://www.offroaders.com/tire-reviews/	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
65	http://bignosekates.info/history6.html	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
66	http://www.tirepackage.com/	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
67	http://www.transamericanwholesale.com/Tires/Super-Swamper-Tires-Bogger.aspx?t_c=13&t_s=158&t_pt=100821&t_pl=3865	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
68	http://www.rowadventures.com/employment/swamper-guide-assistant	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
69	http://www.truckaddons.com/Catalog/Tires/tires2_main.htm	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
70	https://www.prolineracing.com/tires/interco-tsl-sx-super-swamper-xl-1.9-g8-rock-terrain-truck-tires-w/memory-foam/	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
71	https://www.prolineracing.com/tires/interco-tsl-sx-super-swamper-xl-1.9-g8-rock-terrain-truck-tires-w/memory-foam/	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
72	http://www.quadratec.com/products/92610_8XX_PG.htm	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
73	http://www.offroadunlimited.com/orustore/PC/viewCategories.asp?idCategory=964	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0
74	https://www.4wd.com/staticpage.aspx?id=1274	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
75	https://www.4wd.com/parts/all-brands.aspx	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
76	https://www.carolinaclassictrucks.com/interco-super-swamper-ssr.html	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
77	https://www.carolinaclassictrucks.com/interco-super-swamper-tires.html	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
78	http://www.gowarn.com/partlists.aspx?plID=101909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	https://www.collinsdictionary.com/dictionary/english/swamper	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
80	http://interco.factoryoutletstore.com/cat/40299/Super-Swamper-IROK-Tires.html	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
81	http://www.quadratec.com/products/92610_9XX_PG.htm	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
82	http://www.yourdictionary.com/swamper	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
83	https://www.prolineracing.com/tires/interco-tsl-sx-super-swamper-2.2-g8-rock-terrain-truck-tires-w/memory-foam/	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
84	http://www.deere.com/en_US/parts/parts_by_industry/construction/bucket_teeth/swampers/swampers.page	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
86	http://www.off-road.com/trucks-4x4.html	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
88	http://www.hatchriverexpeditions.com/blog/swamper-grand-canyon-white-water-rafting-trips	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
