index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Toileting	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
2	http://medical-dictionary.thefreedictionary.com/toileting	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0
3	http://www.oxforddictionaries.com/us/	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
4	https://www.caregiver.org/toileting-dementia	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
5	http://kidshealth.org/en/parents/toilet-teaching.html	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
6	https://www.healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/default.aspx	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
7	http://www.aota.org/About-Occupational-Therapy/Patients-Clients/ChildrenAndYouth/Toileting-Routines.aspx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	http://www.thefreedictionary.com/toileting	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0
10	http://www.autism.org.uk/about/health/toilet-training.aspx	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
11	http://kidshealth.org/en/parents/toilet-teaching.html	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
12	https://www.autismspeaks.org/science/resources-programs/autism-treatment-network/atn-air-p-toilet-training	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
13	https://hdsupplysolutions.com/shop/c/bathing-toileting-00-57-15	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
14	https://hdsupplysolutions.com/shop/home	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
15	https://hdsupplysolutions.com/shop/c/healthcare-supplies-00-57	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
16	https://www.betterhealth.vic.gov.au/health/healthyliving/toilet-training	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
17	http://www.flaghouse.com/Daily-Living/Toileting/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
18	http://www.1800wheelchair.com/category/toilet-accessories/	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
19	http://www.1800wheelchair.com/category/bathroom-safety/	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
20	http://www.caregiverslibrary.org/caregivers-resources/grp-home-care/hsgrp-personal-care-activities/toileting-and-incontinence-article.aspx	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
21	https://healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Toilet-Training-Children-with-Special-Needs.aspx	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
22	https://www.southwestmedical.com/Pediatric-Products/Toileting/467c0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
23	https://thriving.childrenshospital.org/toilet-troubles/	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0
24	http://www.rifton.com/products/bathing-and-toileting-systems/hygiene-toileting-system	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
25	http://www.alimed.com/toileting-aids/	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
26	https://sites.duke.edu/ptot/outpatient-services/patient-resources/toileting/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
27	https://sites.duke.edu/ptot/outpatient-services/patient-resources/toileting/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
28	http://www.med.umich.edu/yourchild/topics/toilet.htm	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
29	https://en.wikipedia.org/wiki/Pulmonary_hygiene	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
30	http://www.nhs.uk/conditions/pregnancy-and-baby/pages/potty-training-tips.aspx	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
32	https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fwww.aging.ks.gov%2FAdultCareHomes%2FEducation_Info%2FDocuments%2FSection_H.pptx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	http://www.do2learn.com/picturecards/printcards/selfhelp_toileting.htm	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0
34	http://www.caregiverslibrary.org/caregivers-resources/grp-home-care/hsgrp-personal-care-activities/toileting-and-incontinence-article.aspx	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
35	http://www.alimed.com/toileting-aids/	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
36	http://behavioradvisor.com/Autism&Toileting.html	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
37	http://www.easierliving.com/self-wipe-toileting-hygiene-aid.html	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
38	http://www.wrightstuff.biz/toiletingaids.html	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
39	http://www.parkinson.org/understanding-parkinsons/living-well/activities-of-daily-living/bathroom	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
40	https://quizlet.com/10456281/toileting-fim-flash-cards/	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
41	https://www.scribd.com/doc/30286521/Toileting-Schedule-Chart	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
42	https://en.wikipedia.org/wiki/Toileting	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
43	https://www.hsolc.org/policies/childcare/toileting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	http://medical-dictionary.thefreedictionary.com/toileting	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0
45	http://www.caregiverproducts.com/toileting-aids.html	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0
46	http://medical-dictionary.thefreedictionary.com/pulmonary+toilet	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0
47	https://www.enablemart.com/daily-living-aids/toileting	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
48	http://www.rifton.com/products/bathing-and-toileting-systems/hygiene-toileting-system	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
49	http://www.babycenter.com/0_developmental-milestone-toilet-training-age-2_63952.bc	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
50	http://www.rehabmart.com/category/toileting_aids.htm	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
51	http://www.rehabmart.com/index-rehabilitation.asp	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
54	http://www.macmillandictionary.com/dictionary/british/toileting	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
55	http://www.adaptivespecialties.com/toileting.aspx	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
56	http://www.colonialmedical.com/toileting-C-484.html	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0
57	http://www.aafp.org/afp/2008/1101/p1059.html	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
60	http://medical-dictionary.thefreedictionary.com/pulmonary+toileting	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
61	http://www.everydayfamily.com/toddlers-and-toileting/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
63	http://www.oneplaceforspecialneeds.com/main/library_toilet_training.html	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
65	https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fwww.aging.ks.gov%2FAdultCareHomes%2FEducation_Info%2FDocuments%2FSection_H.pptx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	https://community.tes.com/threads/toileting-in-eyfs.521102/	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0
68	https://community.tes.com/forums/early-years.12/	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0
69	http://www.oregon.gov/dhs/apd-dd-training/EQC%20Training%20Documents/Toileting.pdf	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
70	http://www.tsbvi.edu/seehear/summer00/toilet.htm	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
71	http://www.train.boy.pottytrainingexpertskidforhire.com/toileting=pp53955	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
72	https://iepgoals.net/resources-2/task-analysis/toileting/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
73	http://www.nhs.uk/conditions/pregnancy-and-baby/pages/potty-training-tips.aspx	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
