index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.oxforddictionaries.com/us/	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
2	http://en.wikipedia.org/wiki/Xenogamy	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
3	https://en.m.wikipedia.org/wiki/Xenogamy	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
4	http://www.collinsdictionary.com/dictionary/english/xenogamy	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5	http://www.dictionary.com/browse/xenogamy	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
6	https://www.merriam-webster.com/dictionary/xenogamy	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
7	http://www.thefreedictionary.com/xenogamy	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0
8	http://www.yourdictionary.com/xenogamy	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
9	http://www.thefreedictionary.com/xenogamous	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0
10	https://en.m.wiktionary.org/wiki/xenogamy	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
11	http://www.xenogamy.co.il/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	http://www.xenogamy.co.il/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	https://en.wikipedia.org/wiki/Xenogamy	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
15	http://encyclopedia2.thefreedictionary.com/xenogamy	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0
16	http://www.definitions.net/definition/xenogamy	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
17	http://www.yourarticlelibrary.com/difference/difference-between-geitonogamy-and-xenogamy-in-flowering-plant/11645/	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
18	https://bruceleeeowe.wordpress.com/weird-sciences-home-page/aliens-ufo-and-extraterrestrials/the-study-of-alien-humanoids/xenogamy/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
19	http://freedictionary.com/xenogamy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	https://en.wiktionary.org/wiki/xenogamous	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
21	http://www.merriam-webster.com/dictionary/xenogamies	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
22	http://www.babylon-software.com/definition/xenogamy/English	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
23	http://dictionary.infoplease.com/xenogamy	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
24	http://www.dictionary.com/browse/xeno-	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
