index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.dictionary.com/browse/adhere	0.8046875	2.290826612903226	0	0	1.565217391304348	0	0	0	0	1.5999999999999999	27	0.0	1.2857142857142856	89.08416810050211	1.8
2	https://www.merriam-webster.com/dictionary/adhere	1.0989010989010988	0.0	6.0	41.251970638057564	0	0.0	0.0	0.0	0	0.6390532544378699	42	0.0	0.972972972972973	0.0	1.5
3	https://en.oxforddictionaries.com/definition/adhere	0.145985401459854	0.0	0.0	0	0.0	0	0	0	0	0.14634146341463414	44	0.2777777777777778	0.8372093023255814	6.512820512820511	1.1612903225806452
4	http://www.thefreedictionary.com/adheres	0.8458781362007167	3.0263273893007403	6.0	48.0	0	0	0	0	0	0.6033519553072626	171	0.0	1.2413793103448276	84.79654875000406	1.3333333333333335
5	http://www.thefreedictionary.com/adhere	0.8613138686131389	2.7295285359801484	6.0	48.0	0	0	0	0	0	0.6136363636363636	167	0.0	1.2857142857142856	93.3679773214327	1.3846153846153848
6	http://it.dicios.com/enit/adheres	0.34285714285714286	0	5.142857142857142	5.142857142857142	0	0	0	0	0	0	1	0.0	1.3846153846153848	1.090909090909091	0.7659574468085105
7	http://www.macmillandictionary.com/dictionary/british/adhere-to	0.6585365853658537	0.0	0	0	0	0	0	0	0	0.5373134328358209	3	0.0	0.6923076923076924	22.800000000000008	0.5070422535211268
8	http://dictionary.cambridge.org/dictionary/english/adhere	1.2432432432432434	1.5	0.7999999999999999	2.619047619047619	0	0	0	0	0	0.6857142857142857	28	1.44	0.72	22.220000000000006	0.72
9	http://www.thesaurus.com/browse/adhere	0.2926829268292683	2.7714285714285714	6.0	0.0	0	0	0	0	0	2.618181818181818	14	0.7982062780269057	1.3333333333333335	24.109523809523804	1.5
10	http://www.thesaurus.com/browse/adheres	0.2903225806451613	2.7714285714285714	6.0	0.0	0	0	0	0	0	2.4406779661016946	14	0.7982062780269057	1.2857142857142856	23.454978354978348	1.44
12	http://www.wordreference.com/es/translation.asp?tranword=adhere	0.5217391304347826	0.0	0.0	0	6.0	0	0	0	0	0	5	0.631578947368421	0.6923076923076924	0.6923076923076924	0.6545454545454545
13	http://www.thesaurus.com/browse/adhering	0.0	2.7384615384615385	6.0	0.0	0	0	0	0	0	0.0	14	0.7982062780269057	0.0	16.9095238095238	0.0
14	http://sentence.yourdictionary.com/adhere	1.0799999999999998	0.0	0	2.4230769230769225	0.0	1.0285714285714287	0	0	0	1.0799999999999998	92	0.0	1.0588235294117647	6.0	1.411764705882353
15	http://www.ldoceonline.com/dictionary/adhere	1.0823529411764705	0.0	0	0.0	0	0	0	0	0	0.7142857142857143	4	0	1.090909090909091	129.4285714285716	0.9
16	https://it.wiktionary.org/wiki/adheres	0	0.0	5.142857142857142	0.0	0.0	0	0	0	0	0	22	0.0	1.2	0.0	1.6363636363636362
17	https://en.wiktionary.org/wiki/adhere	0	1.2321296978629328	6.0	0.0	0.0	0	0	0	0	0	97	0.0	1.2413793103448276	2.5	1.8947368421052633
18	http://www.wordwebonline.com/en/ADHERE	0	0.0	0	0	0	0	0	0	0	0	105	0.0	1.3333333333333335	15.350649350649352	1.6615384615384614
19	https://www.vocabulary.com/dictionary/adhere	0.4651162790697674	4.549743589743589	6.0	0.0	0.0	0	0	0	0	0	5	0.0	1.125	6.0	0.7659574468085105
20	https://www.collinsdictionary.com/dictionary/english/adhere	0.49999999999999994	8.733742682406312	1.6363636363636362	9.043407755581669	0	0	0	0	0	0	1	0.0	0.7659574468085105	67.10874200426434	1.2857142857142856
21	https://www.dict.cc/?s=adheres	0.5714285714285714	3.6	1.2857142857142856	0	0	0	0	0	0	0.2748091603053435	4	0	1.9999999999999998	0.0	1.714285714285714
22	http://ejje.weblio.jp/content/adhere	0.46153846153846156	0.0	0	83.33571428571432	0	0	0	0	0	1.0285714285714287	104	6.0	1.2413793103448276	18.0	1.44
23	https://www.ncbi.nlm.nih.gov/pubmed/12556127	0.0	0.0	0.6428571428571428	0.0	0.0	0.0	0	0	0	0.0	18	0.0	0.0	0.0	0.4931506849315068
24	https://sputniknews.com/politics/201701161049650749-iran-nuclear-deal-obama/	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	12	0.0	0.0	5.142857142857142	0.75
