index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://de.wikipedia.org/wiki/Gastroenteritis	0	0.0	1.0	0.0	0.0	0	0	0	0	0	71	0.08386113750581198	0.40540540540540543	0.0	0.5555555555555556
2	http://www.netdoktor.at/krankheit/magen-darm-grippe-7757	0.1079136690647482	0.0	0	0.0	0.3409090909090909	0.0	0	0	0	0	11	0.1048951048951049	0.0	1.0	0.3
3	http://flexikon.doccheck.com/de/Gastroenteritis	0	0.0	1.0	0.0	0.0	0	0	0	0	0.18072289156626506	53	1.4873961423109823	0.375	0.0	0.42857142857142855
4	http://www.netdoktor.de/krankheiten/magen-darm-grippe/	0.10869565217391304	0.0	0.0	0.0	0.0	0	0	0	0	0.14563106796116504	6	0.4981857133614768	0.0	0.0	0.0
5	http://www.hausmed.de/krankheiten/gastroenteritis/entstehung-der-krankheit	0.0	0	1.0	0.0	0	0.0	0.6521739130434783	0	0	0.0	3	0.873521848711857	0.23809523809523808	0.0	0.39473684210526316
6	http://www.msdmanuals.com/de-de/profi/gastrointestinale-erkrankungen/gastroenteritis/%C3%BCbersicht-zur-gastroenteritis	0.0	1.0344827586206897	0.0	0.0	0.24193548387096775	0.0	0	0	0	0	8	0.8454781319324385	0.2777777777777778	1.0375	0.16853932584269662
7	http://www.webmd.com/digestive-disorders/gastroenteritis	0	0	1.0	1.5694444444444444	0.0	0.0	0	0	0	0.35135135135135137	6	3.944471056532023	0.3333333333333333	0.0	0.4406779661016949
8	https://medlineplus.gov/gastroenteritis.html	0	0.0	1.0	0.0	0.0	0	0	0	0	0.9285714285714286	38	0.9307269006893538	0.4166666666666667	2.700268817204301	0.6046511627906976
9	http://emedicine.medscape.com/article/176400-overview	0.056179775280898875	0.22058823529411764	0.6	0.0	0.0	0.0	0.0	0.0	0	0.4411764705882353	178	3.0575543995912895	0.0	1.579746835443038	0.22058823529411764
10	http://www.spiegel.de/gesundheit/diagnose/lebensmittelvergiftung-und-gastroenteritis-gefahr-fuer-aeltere-a-1070010.html	0.0	0.0	0.2459016393442623	0	0	0.0	0.0	0	0	0	51	0.046153846153846156	0.1388888888888889	0.0	0.19230769230769232
12	http://www.mayoclinic.org/diseases-conditions/viral-gastroenteritis/basics/treatment/con-20019350	0	0.0	0	0.0	0.0	0	0	0	0	0	41	0.05639097744360902	0.1744186046511628	0.0	0.37142857142857144
14	http://www.nhs.uk/conditions/gastroenteritis/Pages/Introduction.aspx	0.10273972602739725	0.0	0.375	0.0	0.0	0.0	0	0	0	0.22058823529411764	14	1.5081837423296491	0.2631578947368421	2.0	0.2777777777777778
15	http://patient.info/health/gastroenteritis-in-adults	0	0.0	0.6	2.455230755582746	0.0	0.4090909090909091	0.0	0	0	0.3543307086614173	17	1.390216660393706	0.3333333333333333	1.4097928436911489	0.0
16	http://patient.info/health/gastroenteritis-in-children-leaflet	0	0.5555555555555556	0.5555555555555556	1.9139029175816211	0.0	0.37815126050420167	0.0	0	0	0.32085561497326204	20	1.6113438304974959	0.2727272727272727	1.1555555555555554	0.20833333333333334
17	http://www.medicalnewstoday.com/articles/154555.php	0.10135135135135136	0.0	0.22058823529411764	0.8409090909090908	0.9285714285714286	0	0	0	0	0	23	3.2190771363159056	0.0	1.232508677865245	0.16853932584269662
18	http://www.healthline.com/health/viral-gastroenteritis	0.16399999999999998	0.0	0.7142857142857143	0.0	0.0	0.0	0	0	0	0	23	0.8509583498031084	0.3488372093023256	0.7142857142857143	0.36585365853658536
19	https://www.niddk.nih.gov/health-information/digestive-diseases/viral-gastroenteritis	0.16666666666666666	0.0	0.7142857142857143	3.0534986030796873	0.0	0	0	0	0	0.08928571428571429	15	2.061154300840637	0.2054794520547945	0.7142857142857143	0.5172413793103449
