index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Mason	0	0.0	5.0	0.0	0.0	0	0	0	0	0	36	0	0.9259259259259258	0.0	1.4705882352941178
2	https://www2.gmu.edu/	0	0	0	1.9230769230769231	2.3033840262416474	0	0	0	0	0	37	3.355833999613129	0.0	3.0828631176018226	3.083333333333333
3	http://www.imaginemason.org/	0	0.0	0	2.2727272727272725	0	0	0	0	0	1.6666666666666665	7	3.675495533221663	1.4705882352941178	0	1.0
4	http://www.masonhq.com/	0	0	0	1.0	0	0	0	0	0	0	10	0.0	2.0833333333333335	2.0833333333333335	1.5625
5	http://www.wbmason.com/	0.16891891891891891	0	0	0	0	0	0	0	0	0	38	1.7799576310214613	2.0833333333333335	2.239532619279455	0.3968253968253968
6	https://www.co.mason.wa.us/	0.3472222222222222	0.0	0.0	0	0	0	0	0	0	0.32679738562091504	11	0	1.6666666666666665	0	0.5208333333333334
8	http://www.dictionary.com/browse/mason	0.11013215859030838	0.0	0	0	1.1363636363636362	0	0	0	0	1.1627906976744187	26	0.0	0.9259259259259258	59.700854700854705	1.3157894736842104
9	https://soundcloud.com/musicofmason	0.07961783439490445	0	0	1.7857142857142858	0	0	0	0	0	0.0	4	0.02042483660130719	0.9259259259259258	0	0.6944444444444444
10	https://www.facebook.com/musicofmason/	0.39370078740157477	1.5040106951871655	0	0	0	0	0	0	0	0	0	0.7352941176470589	0.9615384615384616	33.804590017825305	1.5625
11	http://masonjennings.com/	0.0	1.3157894736842104	0	0	0	0	0	0	0	0.4807692307692308	12	0	1.3888888888888888	0.0	1.7857142857142858
12	http://www.mason.mi.us/	0.0	0.0	0	0	18.333333333333325	0.0	0	0	0	0.0	105	0.0	2.0833333333333335	0.14064697609001406	0.0
13	http://www.masonk12.net/	0	0.0	1.25	2.7777777777777777	0.0	0	0	0	0	0	21	1.8398709714499184	1.9230769230769231	0.0	1.5625
14	https://www.tacomaschools.org/mason	0	0.0	1.3157894736842104	0	1.403061224489796	0	0	0	0	0	17	0.8620689655172414	1.0869565217391304	1.3157894736842104	1.3157894736842104
17	http://masontxcoc.com/	0.3968253968253968	7.468158961372753	0	1.0	0.0	0	0.0	0	0	0	16	0.0	1.6666666666666665	4.586254963250824	0.9433962264150944
18	http://www.michellemason.net/	0.14619883040935672	0	0	0	0	0	0	0	0	0	4	0	1.3888888888888888	0	0.8928571428571429
19	http://www.masonbates.com/	0	0	0	0	0.7575757575757576	0.0	0.0	0	0	0	70	0.11961722488038277	1.6666666666666665	0.0	2.2727272727272725
20	https://www.cincinnatichildrens.org/patients/visit/directions/locations/mason	0	0.0	0.0	3.775340513145392	0.0	0	0.0	0	0	0.641025641025641	10	0.49573300701034556	0.38461538461538464	3.273809523809524	2.0833333333333335
21	http://www.masoncounty.net/	0	0	0	5.208333333333334	0	0	0	0	0	0	66	0.5878332194121668	1.5625	0.0	1.1363636363636362
22	https://www.beatport.com/artist/mason/3753	0.8928571428571429	0.08269018743109152	5.0	0.0	0.0	0.0	5.0	0.0	0	0	8	20.0	0.8333333333333333	0.0	2.0833333333333335
23	http://www.masonchamber.org/	0	0.0	0	1.3541666666666667	0.0	0.0	0.0	0	0	0	90	1.254839698764776	1.4705882352941178	0	0.8333333333333333
25	http://www.davemasonmusic.com/	0.24271844660194175	0	0.0	0.0	0	0	0	0	0	0	3	0	1.3157894736842104	4.231354642313545	0.6756756756756757
26	http://wiki.teamliquid.net/dota2/Mason	0	2.2727272727272725	0	0.0	0	0.0	0	0	0	0	33	3.9285714285714297	0.8064516129032258	7.272727272727271	0.8333333333333333
27	http://www.mason-industries.com/	0.0625782227784731	0	0	0	0.0	0.0	0	0	0	0.0	107	0.048638132295719845	1.1904761904761905	0	0.28735632183908044
28	http://www.masoncellars.com/	1.0869565217391304	0.0	0.8928571428571429	0	0	0.0	0	0	0	0.8064516129032258	3	0.8775252525252526	1.4705882352941178	0	1.0
29	https://www.leggmason.com/	0.2631578947368421	0.0	0	0.0	0.0	0.3731343283582089	0	0.0	0	0.08517887563884156	96	3.640150344306494	1.7857142857142858	1.3631650669510607	2.5
30	http://www.espn.com/nhl/player/_/id/3657/steve-mason	0.2136752136752137	0.1126126126126126	2.2727272727272725	0	0	1.1904761904761905	0.0	0.0	0	1.33587786259542	21	0.3048780487804878	0.6097560975609756	0.0	0.28735632183908044
31	http://www.masoncountyil.org/	0	0	2.0833333333333335	0.0	0.0	0	0	0	0	0	37	0	1.3888888888888888	1.0869565217391304	2.0833333333333335
32	https://hilarymason.com/	0.0	0	0.0	0.0	0	0	0	0	0	0	10	0.0	1.5625	0.0	1.6666666666666665
33	http://variety.com/2017/tv/news/barbara-hale-dead-perry-mason-secretary-della-street-1201971817/	0.1984126984126984	0.0	2.2727272727272725	0.0	0.0	0.0	0	0	0	0	47	6.698837693770975	0.2808988764044944	0.0	2.2727272727272725
34	http://sports.yahoo.com/news/steve-mason-replaces-young-goalies-stolen-equipment-170157303.html	0.18796992481203006	0.0	0.7575757575757576	0.0	0	0	0	0	0	0	41	1.0165612117726008	0.28409090909090906	0.0	0.7575757575757576
35	https://www.masoneasypay.com/	0	0.0	0	0	0.0	0.0	0	0	0	0	18	0.5813953488372093	1.4705882352941178	0.0	0.9615384615384616
36	http://www.providencejournal.com/sports/20170128/shaq-masons-rapid-rise-eye-opening-for-patriots	0.05091649694501019	0.0	0.4807692307692308	0.0	0.0	0.0	0	0	0	0	21	4.878469108989844	0.29411764705882354	0.0	2.5
37	http://www.usatoday.com/story/life/tv/2017/01/28/perry-mason-actress-barbara-hale-dies-at-94/97172794/	0	0.0	2.2727272727272725	0	0	0.5555555555555556	0	0.0	0	0	13	2.5505050505050506	0.27472527472527475	0.2777777777777778	0.5555555555555556
38	http://www.co.mason.tx.us/	0	2.0833333333333335	0	0	0	0	0	0	0	0	40	0	1.6666666666666665	0.0	0
39	https://en.wiktionary.org/wiki/mason	0	3.7777777777777777	5.0	0.0	0.0	0	0	0	0	0	70	0.0	0.8928571428571429	0.0	1.3888888888888888
40	https://www.masoncityia.com/	0.1524390243902439	0	0	0.0	0	0.0	0	0	0	0	21	0	1.5625	0.0	0.78125
41	http://search.cpan.org/perldoc?Mason	0	0.0	0.0	0	0	0	0	0	0	0	14	2.46016673305235	0.8620689655172414	0	1.0869565217391304
43	http://www.babycenter.com/baby-names-mason-3099.htm	0	2.277432712215321	5.0	0.0	0.0	0	0	0	0	0.0	20	0.0	0.625	0.0	0.3968253968253968
44	https://www.masoncd.org/	0.21097046413502107	0	0	0	0	0	0	0	0	0.27472527472527475	1	0	2.0833333333333335	5.185999185999186	0.8771929824561403
45	http://www.cincinnati.com/story/news/2017/01/26/did-mason-do-enough-sex-offense-allegations/97054440/	0	0.0	0.5	0.0	0.0	0.5	0	0.0	0	0	31	21.99828545622431	0.2777777777777778	2.6357199055861535	0.5
46	http://www.fairfaxcounty.gov/police/stations/mason	1.1363636363636362	0.0	0.8620689655172414	0	0	0	0	0	0	0	15	0.5498546096615625	0.641025641025641	0.0	0.8620689655172414
47	http://www.masonpl.org/	0.5033557046979865	0.6756756756756757	0.0	2.1759259259259256	0.0	1.25	0	0.0	0	0	23	0.5033557046979865	2.0833333333333335	0.0	0.847457627118644
48	http://www.cadl.org/about/hours-and-locations/mason	0	0.0	6.145833333333333	0.0	0.0	0	0	0	0	0	24	0.35660282258064513	0.625	0.0	1.9230769230769231
49	https://wandpdesign.com/collections/masonshaker	0.31645569620253167	0	2.0833333333333335	0.0	0.0	0.0	0.0	8.17586212806801	0	0	7	0.2252252252252252	0.641025641025641	0.0	2.0833333333333335
50	https://www.masonbarag.com/	0	0	0	0	0	0	0	0	0	0	0	0	1.6666666666666665	0	2.7777777777777777
51	https://github.com/JornWildt/Mason	0.49019607843137253	0.0	0	0	0	0.0	0	0	0	0	11	2.750892091383143	0.9615384615384616	0.49019607843137253	0.6493506493506493
52	https://www.masondixonknitting.com/	0.17482517482517484	0.0	0	0	0	0.0	0.0	0.0	0	0	24	0.0	1.0869565217391304	0.0	0.35211267605633806
