index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.dictionary.com/browse/pervious	0.0	0.0	0	0	0.0	0	0	0	0	0.0	6	0.0	0.0	3.352036199095023	0.0
2	http://www.thefreedictionary.com/perviousness	0.2033898305084746	0.26666666666666666	1.0	1.0	0	0	0	0	0	0.18556701030927836	81	0.0	0.35294117647058826	3.0	0.375
3	http://www.dictionary.com/browse/pervious	0.0	0.0	0	0	0.0	0	0	0	0	0.0	6	0.0	0.0	3.352036199095023	0.0
4	https://www.merriam-webster.com/dictionary/pervious	0.0	0.0	0.0	1.0	0	0.0	0.0	0.0	0	0.07741935483870968	27	0.0	0.0	0.0	0.0
5	https://en.wiktionary.org/wiki/perviousness	0	0.0	1.0	0.0	0.0	0	0	0	0	0	8	0	0.34285714285714286	0.0	0.48
6	https://www.vocabulary.com/dictionary/perviousness	0.0	0.0	1.0	0.0	0.0	0	0	0	0	0	5	0.0	0.3157894736842105	1.0	0.22641509433962265
7	https://www.oxforddictionaries.com/zh/%E8%A7%A3%E9%87%8A/%E8%8B%B1%E8%AF%AD/pervious	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	14	0.0	0.0	0.0	0.0
8	http://www.yourdictionary.com/perviousness	0.42857142857142855	0	0	1.2	0.0	0.2926829268292683	0	0	0	0.28708133971291866	6	0.0	0.3870967741935484	1.0	0.42105263157894735
9	http://www.invisiblestructures.com/porous_paving/	0	0	0.22641509433962265	0.3333333333333333	0	0.0	0	0.0	0	0	5	0.0	0.0	0.0	0.15789473684210525
10	https://www.collinsdictionary.com/dictionary/english/pervious	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0.0	0.0	2.0	0.0
11	http://www.thesaurus.com/browse/pervious	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	14	0.0	0.0	0.0	0.0
12	http://www.webster-dictionary.org/definition/Perviousness	0.16589861751152074	0.0	0	0	0	0	0	0	0	0.12244897959183673	62	0	0.2608695652173913	1.0	0.3333333333333333
13	https://definedterm.com/perviousness	0.0	0.0	0	0.0	0	0	0	0.0	0	0.0	4	0.0	0.42857142857142855	0.0	0.3076923076923077
14	http://www.perviouspavement.org/	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	73	0.0	0.0	0.0	0.0
17	http://english.stackexchange.com/questions/288647/why-dont-we-say-things-are-pervious	0	0.0	0	0.0	0.0	0.0	0	0	0	0	53	0.0	0.0	0.0	0.0
18	https://en.wikipedia.org/wiki/Pervious_concrete	0	0.0	0.0	0.0	0.0	0	0	0	0	0	33	0.0	0.0	0.0	0.0
19	http://tureng.com/en/turkish-english/perviousness	0.14906832298136646	0.0	1.0	0.0	0.0	0.0	0	0	0	0	14	0	0.2857142857142857	0.0	0.24
21	https://www.wolfpaving.com/blog/bid/91555/The-Differences-of-Pervious-Permeable-and-Porous-Asphalt	0.0	0	0	0.0	0.0	0.0	0	0	0	0	7	0.0	0.0	0.0	0.0
22	http://www.lakesuperiorstreams.org/stormwater/toolkit/paving.html	0	0.0	0	0	0	0	0	0	0	0	78	0.0	0.0	0.0	0.0
23	http://stormwater.wef.org/2013/10/pervious-permeable-porous-pavers-really/	0.0	0.0	0	0	0.0	0	0	0	0	0	11	0.0	0.0	0.0	0.0
25	http://dictionary.reverso.net/english-definition/pervious%20to%20light	0.06557377049180328	0.0	0	0.0	0	0	0	0	0	0.0	59	0	0.0	0.0	0.0
26	http://ejje.weblio.jp/content/perviousness	0.07741935483870968	0.0	0	7.611388611388611	0	0	0	0	0	0.2926829268292683	94	1.0	0.34285714285714286	1.0	0.3870967741935484
27	http://foundationsakc.com/process/pervious-concrete	0	0	0.0	0.0	0	0	0	0	0	0.0	5	0.0	0.0	0	0.0
