index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://www.youtube.com/watch?v=Qkjno6M77DQ	0.0	0.0	0.0	0	0.09090909090909091	0.0	0	0	0	0	3	0.0	0.0	15.02518055805318	0.576923076923077
2	http://www.thefreedictionary.com/brawls	0.5597014925373135	0.44779367918902796	3.0	36.0	0	0	0	0	0	0.2556818181818182	168	0.0	0.5357142857142857	36.58860378597222	0.576923076923077
3	http://www.thefreedictionary.com/brawl	0.5703422053231939	0.4052631578947368	3.0	36.0	0	0	0	0	0	0.26011560693641617	172	0.0	0.5555555555555556	40.08860378597221	0.6000000000000001
4	https://www.merriam-webster.com/dictionary/brawl	0.3846153846153846	0.0	3.0	19.81636967683479	0	0.0	0.0	0.0	0	0.3614457831325301	33	0.0	0.4166666666666667	0.0	0.6521739130434783
5	https://www.vocabulary.com/dictionary/brawl	0.3931034482758621	0.0	3.0	0.0	0.0	0	0	0	0	0	5	0.07692307692307693	0.4838709677419355	3.0	0.32608695652173914
6	https://en.wiktionary.org/wiki/brawl	0	0.0	3.0	0.0	0.0	0	0	0	0	0	109	0	0.5357142857142857	0.0	0.8333333333333334
7	http://www.dailymail.co.uk/news/article-4067534/Chaos-reigns-malls-country-break-mass-brawls.html	0.08196721311475409	0.0	0.08717948717948718	0.0	0.0	0	0	0	0	0.3409090909090909	30	0.19098337022506148	0.1744186046511628	0.09090909090909091	0.1724137931034483
8	https://en.wikipedia.org/wiki/Brawl	0	0.0	3.0	0.0	0.0	0	0	0	0	0	9	0	0.5555555555555556	0.0	0.8823529411764706
9	https://www.destructoid.com/it-s-time-heroes-of-the-storm-took-another-look-at-brawls-415093.phtml	0	0	0.2631578947368421	0	0.0	0.0	0.0	0	0	0.0	18	0.7860418829987151	0.1744186046511628	0.0	0.2631578947368421
10	http://bleacherreport.com/articles/2615512-10-of-the-best-brawls-in-mma-history	0	0.0	0.4166666666666667	0.5272727272727273	0	0	0	0	0	0	11	0.6300088141492651	0.20833333333333334	0.4444444444444444	0.2777777777777778
11	http://overwatch.wikia.com/wiki/Brawl	0.17894736842105263	0.6952380952380952	3.0	0.3333333333333333	0.0	0	0	0	0	0.3982300884955753	43	0.39473684210526316	0.5	2.1883289124668432	0.3541666666666667
12	https://www.cnet.com/news/mall-brawls-post-christmas-shopping-social-media-organized-police/	0.09554140127388536	0.0	0.2833333333333333	0.0	0.0	0.0	0	0	0	0	20	0.5763920603730597	0.1875	0.3403409090909091	0.25373134328358204
13	http://money.cnn.com/video/technology/2016/11/25/black-friday-brawls.cnnmoney/	0.234375	0.0	0	0.234375	0.0	0	0	0	0	0.0	10	0.0	0.2112676056338028	0.0	0.375
14	http://www.cnn.com/2016/12/27/us/mall-disturbances-after-christmas/	0.11724137931034483	0.3828722503609336	0.0	0.0	0.125	0.0	0	0	0	0.0	35	0.0	0.0	1.3315500289184499	0.0
15	http://hearthstone.gamepedia.com/Tavern_Brawl	0	0.0	1.25	0.0	0.0	0	0	0	0	0	83	7.681819518699283	0.39473684210526316	7.551834130781502	0.29411764705882354
16	http://www.ldoceonline.com/dictionary/brawl	0.30612244897959184	0.04878048780487805	0	0.0	0	0	0	0	0	0.0	4	0	0.53125	102.89285714285705	0.41025641025641024
17	http://www.thesaurus.com/browse/brawl	0.12295081967213115	0.0	3.0	0.0	0	0	0	0	0	1.1764705882352942	14	0.22464815519208825	0.576923076923077	11.2	0.6521739130434783
