index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.atascadero.org/	0.058823529411764705	0.0	0	0.0	0	0	0	0	0	0.1388888888888889	21	0.0	0.7142857142857143	0.07751937984496124	0.0
2	http://www.visitatascadero.com/	0.10204081632653061	0.0	0	0.5773857257417803	0	0	0	0	0	0.45454545454545453	5	1.0469523467375397	0.5263157894736842	1.7386184358800993	0.37735849056603776
3	https://en.wikipedia.org/wiki/Atascadero,_California	0	0.15384615384615385	0.45454545454545453	0.0	0.0	0	0	0	0	0	63	2.5583854989747135	0.23809523809523808	4.394627594627595	0.17543859649122806
4	https://www.tripadvisor.com/Tourism-g29115-Atascadero_San_Luis_Obispo_County_California-Vacations.html	0.2127659574468085	1.8893672179833323	0.9808612440191387	0	0.8536255411255411	0.0	0	0	0	0.22727272727272727	7	0.2857142857142857	0.11235955056179775	2.034858387799564	0.32786885245901637
5	https://www.tripadvisor.com/Tourism-g2398119-San_Luis_Obispo_County_California-Vacations.html	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	2	0.0	0.0	0.0	0.0
6	https://www.mapquest.com/us/ca/atascadero-282024515	0.08928571428571429	0.0	0.45454545454545453	0	0.0	0	0	0	0	0	2	0.03597122302158273	0.2777777777777778	0.0	0.45454545454545453
7	http://www.dsh.ca.gov/Atascadero/	0.0	0.0	0.18181818181818182	0.0	0	0	0	0	0	0.0	3	1.1702124318964633	0.5	0.0	0.2222222222222222
8	http://www.atascadero.org/index.php?option=com_content&view=article&id=445&Itemid=491	0.058823529411764705	0.0	0	0.0	0.0	0	0	0	0	0.1388888888888889	25	0.15625	0.136986301369863	0.4478897502153316	0.0
9	http://www.zillow.com/atascadero-ca/	0.06329113924050633	0.0288199397439012	0.4	0	0	0.9545454545454546	0.0	0.0	0	0	102	0.0	0.43478260869565216	34.242206228421395	0.31746031746031744
10	http://www.atas.k12.ca.us/ausd/ahs/	0.20270270270270271	0.24390243902439024	0	0.0	0	0	0	0	0	0.18518518518518517	1	0.0	0.0	0.0	0.45454545454545453
11	http://www.city-data.com/city/Atascadero-California.html	0.2564102564102564	0.0	0	0	5.605099943278949	0	0	0	0	0	34	3.7841336648054127	0.23255813953488372	0.45454545454545453	0.050505050505050504
12	http://www.atascaderochamber.org/	0	0.9488795518207283	0.5555555555555556	0	0	0	0	0	0	0	21	0.3500758165004989	0.47619047619047616	1.3846153846153846	0.2222222222222222
13	http://www.visitatascadero.com/dining-guide	0.125	0.0	0	0.0	0	0.0	0	0	0	0.0	67	0.10752688172043011	0.3225806451612903	0.43478260869565216	0.2702702702702703
14	http://www.homefinder.com/CA/Atascadero/	0.06666666666666667	9.822616407982261	0.3225806451612903	0.0	0	0.0	0.0	0.7142857142857143	0	0.36764705882352944	85	0.0	0.38461538461538464	0.0	0.3225806451612903
15	https://en.wikipedia.org/wiki/Atascadero_State_Hospital	0	0.0	0.4	0.0	0.0	0	0	0	0	0	46	0.0472816802331424	0.2222222222222222	0.0	0.16666666666666666
16	http://www.homes.com/for-sale/atascadero-ca/	0.11764705882352941	0.5263157894736842	0.3125	0.3333333333333333	0.5	0	0	0	0	0.10752688172043011	8	0.11450381679389313	0.3333333333333333	15.0	0.4782608695652174
17	http://www.century21.com/real-estate/Atascadero-CA/LCCAATASCADERO/	0.22556390977443608	4.761904761904762	0.4	1.8166666666666667	0.0	0.0	0	0	0	0.25862068965517243	27	0.0	0.39215686274509803	4.11764705882353	0.5733005733005734
18	http://www.century21.com/real-estate/california/LSCA/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	27	0.0	0.0	0.0	0.0
19	http://www.century21.com/real-estate/atascadero-ca/LCCAATASCADERO/	0.22556390977443608	4.761904761904762	0.4	1.8166666666666667	0.0	0.0	0	0	0	0.25862068965517243	27	0.0	0.39215686274509803	4.11764705882353	0.5733005733005734
20	http://atowndailynews.com/	0.0	0.6347826086956522	0	0.03968253968253968	0.0	0	0	0	0	0	10	0.7593682595078282	0.0	2.6652528148817085	0.2777777777777778
21	http://www.fandango.com/galaxyatascadero_aawhx/theaterpage	0.07194244604316546	0.0	0.20833333333333334	0.0	0.0	0.0	0.0	0.0	0	0	252	0.0	0.2222222222222222	0.0	0.2597402597402597
22	http://www.amwc.us/	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
24	http://www.realtor.com/realestateandhomes-search/Atascadero_CA	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.20408163265306123	0.0	0.0
25	http://www.realtor.com/realestateandhomes-search/California	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.0	0.0	0.0
26	http://www.realtor.com/realestateandhomes-search/San-Luis-Obispo-County_CA	0.0	0.0	0	0.0	0	0	0	0	0	0	92	0.0	0.0	0.0	0.0
27	http://www.airnow.gov/?action=airnow.local_city&zipcode=93422&submit=Go	0.2631578947368421	0.0	0	0	0.0	0	0	0	0	0.0	72	0	0.0	0.0	0.2857142857142857
28	http://www.trulia.com/for_rent/Atascadero,CA/	0.136986301369863	1.371202710333145	0.29411764705882354	0	0.0	0	0.0	0	0	0	4	0.0	0.3225806451612903	0.0	0.18181818181818182
29	http://www.amwc.us/#!	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
30	https://charlespaddockzoo.org/	0	0.0	0	0	0	0	0	0	0	0	5	0.0	0.0	0.5092592592592593	0.0
31	https://www.trulia.com/CA/Atascadero/	0.07633587786259542	22.824618859401465	0.3333333333333333	0.2127659574468085	0	0	0.0	0	0	0	4	0.0	0.45454545454545453	0.0	0.37037037037037035
32	http://pasoroblesdailynews.com/category/atascadero-news/	0.05235602094240838	0.41741739683137014	1.0	0	0.0	0	0	0	0	0	112	0	0.21739130434782608	0.0	0.6666666666666666
34	http://www.heritageoaksbank.com/locations/atascadero	0	0.0	0	0.5882352941176471	0	0	0.0	0	0	0	5	0.0	0.2564102564102564	1.0	1.0
35	http://www.greatschools.org/california/atascadero/schools/	0.14285714285714285	6.404732489567553	0.15625	0	0	0	0	0	0	0	173	0.0	0.23255813953488372	1.0	0.35714285714285715
36	http://www.greatschools.org/california/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	30	0.0	0.0	0.0	0.0
