index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.mcfarlandbooks.com/	0	0.0	0	0	0.5625	0	0	0	0	0	13	0.0	0.5	0	0.12
2	http://www.mcfarlandclinic.com/	0.0	0.7124176667166324	0	0	0	0	0	0	0	0	11	0.03829787234042553	0.47368421052631576	0.0	0.15
3	http://www.imdb.com/title/tt2097298/	0.0	0.0	0.6428571428571429	0.0	0.0	0.0	0.0	0	0	0.0	16	0.025423728813559324	0.0	0.0	0.32142857142857145
4	http://www.mjinc.com/	0.05732484076433121	0.0	0.5294117647058824	0.0	0	0	0	0	0	0.0	4	0.13800607287449393	0.0	0	0.4090909090909091
5	http://debmcfarland.com/	0.0	0.3	0	0	0	0	0	0	0	0	1	0.23196605374823195	0.5625	0.0	0.0
7	http://mcfarlandfoss.com/	0	0.3333333333333333	0	0	0	0	0	0	0	0.16216216216216217	1	0.0	0.5294117647058824	0.1699474481161486	0.3333333333333333
8	http://www.foxnews.com/archive/kt-mcfarland	0	0.6041465766634523	0	0.0	0.6	0	0	0	0	0.6428571428571429	43	0.0	0.3	0.0	0.36
9	http://mcfarlandcommunitypool.com/	0	0	0	0	0	0	0	0	0	0	0	0	0.34615384615384615	0	0.34615384615384615
11	http://www.mcfarlandusd.com/	0	0.8198757763975155	0.6923076923076923	0.6923076923076923	0	0	0	0	0	0	26	0.0	0.5625	1.391304347826087	0.6923076923076923
12	http://www.imdb.com/name/nm0568777/	0.0410958904109589	0.02459016393442623	0.0	0.0	0.0	0.0	0.0	0	0	0.0	23	0.0	0.0	0.5294117647058824	0.375
13	http://www.mcfgtl.com/	0	0.0	0	0	0.0	0	0	0	0	0	10	0.2727272727272727	0.0	0.0	0.0
14	https://www.rottentomatoes.com/m/mcfarland_usa/	0	0.10588235294117647	0.48	0.0	0.0	0	0	0	0	0	134	0.5196708896630657	0.28125	0.0	0.6923076923076923
16	http://www.eadiemcfarland.co.uk/	0.07627118644067797	0.44999999999999996	0	0.0	0	0	0	0	0	0	2	0	0.45	0.0	0.14516129032258066
18	http://illinoismushrooms.com/	0	0.0	0	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0
19	http://www.macfarlands.com/	0	0.0	0.0	0.0	0	0	0	0	0	0	9	0.0	0.0	0.0	0.0
20	http://www.greylock.com/team/	0	0.0	0.0	0.0	0	0	1.9285714285714288	0	0	0	21	0	0.0	3.0	0.0
