index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.fairmont.com/monte-carlo/	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	30	0.0	0.0	0.0	0.0
2	http://www.montecarlobay.com/	0.0	0.0	0	0.0	0	0	0	0	0	0	112	0.0	0.0	0.0	0.0
3	http://www.live365.com/index.live	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0.0
4	http://www.montecarlosbm.com/	0.0	0.0	0	0.0	0	0	0	0	0	0	40	0.0	0.0	0.0	0.0
5	http://www.hoteldeparismontecarlo.com/	0.0	0.0	0	0.0	0	0	0	0	0	0	115	0.0	0.0	0.0	0.0
6	http://www.imdb.com/title/tt0245844/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	16	0.0	0.0	0.0	0.0
7	http://amazonwatch.org/work/belo-monte-dam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	32	0.0	0.0	0.0	0.0
8	https://www.elmonterv.com/	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	26	0.0	0.0	0.0	0.0
11	http://www.solver.com/	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	13	0.0	0.0	0.0	0.0
12	http://www.thermesmarinsmontecarlo.com/	0.0	0.0	0	0.0	0	0	0	0	0	0	112	0.0	0.0	0.0	0.0
13	https://www.amazon.com/Count-Monte-Cristo-Wordsworth-Classics/dp/1853267333	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	156	0.0	0.0	0.0	0.0
14	https://www.amazon.com/Literature-Fiction-Books/b?ie=UTF8&node=17	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	214	0.0	0.0	0.0	0.0
15	https://www.amazon.com/Genre-Fiction-Literature-Books/b?ie=UTF8&node=10134	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	229	0.0	0.0	0.0	0.0
16	http://www.looklet.com/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	20	0.0	0.0	0.0	0.0
17	http://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	142	0.0	0.0	0.0	0.0
18	http://www.vincedelmontefitness.com/blog/	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	513	0.0	0.0	0.0	0.0
19	http://www.gutenberg.org/files/1184/1184-h/1184-h.htm	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	3	0.0	0.0	0.0	0.0
20	http://hotelmonteleone.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	17	0.0	0.0	0.0	0.0
21	http://www.beneteau.com/	0	0.0	0	0.0	0.0	0	0	0	0	0	9	0.0	0.0	0.0	0.0
22	http://fr.montecarlosbm.com/	0.0	0.0	0	0.0	0	0	0	0	0	0	43	0.0	0.0	0.0	0.0
