index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://novato.org/	0.05405405405405406	0.0	0.3333333333333333	0.0	0	0	0	0	0	0.3333333333333333	4	0.21288515406162464	0.6	0.0	0.15789473684210525
2	http://novatohigh.nusd.org/	0	0.26413662239089186	0.0	0.0	0	0.0	0.0	0	0	0	37	0.06978953250139691	0.3157894736842105	1.9200831485587582	0.23076923076923078
3	http://nusd.org/	0.1111111111111111	0.043795620437956206	0	0.18181818181818182	0	0.0	0.18181818181818182	0	0	0.23684210526315788	17	0.07873815967523681	0.0	0.6423395445134575	0.2
4	http://www.novatoyouthsoccer.com/	0.0	0.17647058823529413	0	0.0	0.0	0	0	0	0	0	15	0	0.2857142857142857	0.4129924926381058	0.1
5	http://www.novatochevrolet.com/	0.045454545454545456	0.12244897959183673	0.09230769230769231	0	0	0.0	0	0	0	0.1485148514851485	18	0.8086427524521779	0.3157894736842105	2.1529411764705886	0.17142857142857143
6	http://www.novatocharterschool.org/	0	0.0	0	0.0	0.0	0.0	0	0	0	0	2	0.0	0.2608695652173913	0.17142857142857143	0.2857142857142857
7	http://www.ignaciorotary.org/	0.0	0.0	0	0	0	0	0	0	0	0.0	11	0.375	0.0	0.5731765622799807	0.125
8	http://www.apartmentguide.com/apartments/California/Novato/	0.031578947368421054	0.0	0	0.6	1.6143912663118758	0.0	0.0	0	0	0	18	0.0	0.13636363636363635	2.1132075471698113	0.1276595744680851
9	http://www.apartmentguide.com/apartments/California/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	17	0.0	0.0	0.0	0.0
10	http://www.apartmentguide.com/apartments/California/Novato/	0.031578947368421054	0.0	0	0.6	1.6143912663118758	0.0	0.0	0	0	0	18	0.0	0.13636363636363635	2.1132075471698113	0.1276595744680851
11	http://www.apartmentguide.com/apartments/California/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	17	0.0	0.0	0.0	0.0
13	https://www.trulia.com/for_rent/Novato,CA/	0.08633093525179857	1.3536927509857446	0.2	0.3157894736842105	0.0	0.0	0.0	0	0	0	9	0.0	0.2222222222222222	66.00000000000006	0.11538461538461539
14	http://www.arunnovato.com/	0	0	0	0	0	0	0	0	0	0	0	0	0.42857142857142855	0	0.0
15	http://www.costco.com/warehouse-locations/novato-ca-141.html	0.2	0.0	0.375	0.0	0	0	0	0	0	0	28	0.0	0.1276595744680851	1.0	0.16666666666666666
16	http://www.yogaloka.net/	0	0.0	0	0	0	0	0	0	0	0	2	0	0.0	0.0	0.0
17	http://petfoodexpress.com/	0.0	0.0	0	0	0	0	0.0	0	0	0.0	5	0.0	0.0	0	0.0
18	http://primamedgroup.com/	0	0.0	0.0	0	0.0	0	0	0.0	0	0	3	0.0	0.0	0.0	0.0
19	http://unicycler.com/	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	2	0.0	0.0	0.0	0.0
20	http://es.thefreedictionary.com/novato	0.12857142857142856	0.15789473684210525	1.0	17.145454545454545	0	0	0	0	0	0	52	0.0	0.2	13.800386847195359	0.2857142857142857
22	http://www.marinlibrary.org/	0	0.0	0	0.0	0.0	0	0	0	0	0	29	0.0	0.0	0.0	0.0
23	http://www.allante.com/	0	0.0	0.0	0	0.0	0	0	0	0	0	4	0.0	0.0	0	0
24	http://www.jennielow.com/	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0.0
26	http://medeavodka.com/	0	0.0	0.0	0	0	0	0	0	0	0	4	0.0	0.0	0.0	0.0
