index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.cityofpaloalto.org/	0.02127659574468085	0.0	0	0	0	0	0	0	0	0	3	0	0.4444444444444444	0.1728146743230782	0.3103448275862069
2	http://www.parc.com/	0.0	0.0	0	0	0	0.0	0	0	0	0.0	3	0.125	0.0	0.0	0.0
3	http://www.paloaltonetworks.com/	0	0.9533465214007985	0	0.0	0.0	0	0.0	0	0	0	18	0.34615384615384615	0.4	0.2	0.09375
4	http://www.paloaltoonline.com/	0	0.0	0	0	0	0.0	0	0	0	0	26	0.0	0.4444444444444444	0.289390142021721	0.42857142857142855
5	http://www.paloalto.com/	0.05921052631578947	0.14516129032258066	0.0	0.0	0.0	0.0	0.0	0.0	0	0	30	0.19442215088282505	0.6666666666666666	0.0	0.11842105263157894
6	http://www.city-data.com/city/Palo-Alto-California.html	0.23684210526315788	0.0	0	0	6.42468887386109	0	0	0	0	0	34	3.1511382489027593	0.19047619047619047	0.42857142857142855	0.04568527918781726
7	http://www.cottonwoodpaloverde.com/restaurants.html	0	0.0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0
8	http://www.youtube.com/watch?v=xxhET61yB1A	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
9	http://www.paloalto.va.gov/	0.07563025210084033	0.0	0.2903225806451613	0.0	0.5	0.20454545454545456	0	0	0	0.18556701030927836	168	0.0	0.5333333333333333	0.0	0.2903225806451613
10	http://highway.org/paloalto/	0	0.0	2.5625	0.23684210526315788	0.0	0.0	0	0	0	0	22	0.8037032596571991	0.42105263157894735	0.0	0.225
12	http://www.pacc.org/about/index.php	0.13432835820895522	0.0	0	0	0	0	0	0	0	0.1956521739130435	2	0.09944751381215469	0.0	0.0	0.36
13	http://www.bradlozaresgolfshop.com/	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	2	0.39869767526848865	0.0	0.0	0.28125
14	http://cardinalbikes.com/	0.026785714285714284	0.0	0.0	0.0	0	0	0	0	0	0.0430622009569378	2	0.12162162162162163	0.0	0.3	0.10843373493975904
15	http://www.findernet.com/	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0
16	http://www.paloaltotherapy.com/therapists/	0.0	0.0	0.0	0.0	0	0.4090909090909091	0.0	0	0	0	62	0.0	0.27586206896551724	0.0	0.0
17	http://www.pbc.org/	0	0.0	0.0	0.0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0
18	http://www.traveling-up.com/palo-alto-falls-leisure-park-in-baras-rizal/	0	0.0	0.9375	0.0	0.0	0	0	0	0	0	408	1.7393732208139498	0.13559322033898305	0.5625	0.5625
19	http://www.mercurynews.com/location/peninsula/	0	0.0	0.0	0	0	0.0	0.0	0	0	0	219	0.0	0.0	0.0	0.15517241379310345
20	http://www.jazzradio.com/	0.0	0.0	0	0	0	0	0	0	0	0	7	0.0	0.0	0.0	0.0
