index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.washington.edu/pine/	0.0	0.0	0	0	0	0	0	0	0	0.0	7	0.0	0.0	0	0.0
2	http://pubmedhh.nlm.nih.gov/nlmd/pico/piconew.php	0	0	0	0	0	0	0	0	0	0	2	0.0	0.0	0	0.0
4	http://www.i-picostore.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	7	0.0	0.0	0.0	0.0
5	http://cafe-pico.com/	0.0	0.0	0	0.0	0	0	0	0	0	0.0	3	0.0	0.0	0.0	0.0
6	http://ab.rockwellautomation.com/Programmable-Controllers	0	0.0	0.0	0	0	0.0	0.0	0	0	0	95	0.0	0.0	0.0	0.0
7	http://ab.rockwellautomation.com/allenbradley/index.page?	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	100	0.0	0.0	0.0	0.0
8	http://ab.rockwellautomation.com/allenbradley/productdirectory.page?	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	104	0.0	0.0	0.0	0.0
9	http://www.killington.com/	0.0	0.0	0	0.0	0.0	0	0	0	0	0	5	0.0	0.0	0.0	0.0
10	http://www.casadepico.com/	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	26	0.0	0.0	0.0	0.0
11	http://www.villapico.com/	0.0	0.0	0	0	0	0	0	0	0	0	7	0.0	0.0	0.0	0.0
13	http://stmariana.org/	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
14	http://cwazores.com/	0.0	0.0	0	0	0.0	0	0	0	0	0.0	19	0	0.0	0.0	0.0
15	http://researchguides.uic.edu/ebm	0	0.0	0.0	0.0	0.0	0	0	0	0	0	80	0.0	0.0	0.0	0.0
16	http://www.lakadpilipinas.com/2015/02/pico-de-loro-beach-resort-rates-review.html	0	0.0	0	0.0	0.0	0.0	0	0	0	0	136	0.0	0.0	0.0	0.0
17	http://www.microvision.com/	0.0	0.0	0.0	0	0	0	0	0	0	0	5	0.0	0.0	0.0	0.0
18	http://hamilocoast.com/membership-page/pico-de-loro-beach-country-club	0.0	0.0	0	0	0	0	0	0	0	0	4	0.0	0.0	0.0	0.0
19	http://opengapps.org/	0.0	0.0	0	0	0	0.0	0	0	0	0.0	49	0.0	0.0	0.0	0.0
20	http://www.picofile.com/Panel	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
21	http://www.pico.cat/	0	0.0	0	0	0	0	0	0	0	0	2	0	0.0	0.0	0.0
22	http://www.howards.com/	0.0	0.0	0	0.0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0
