index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.calredwood.org/	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	1	0.0	0.0	0	0.0
2	https://en.wikipedia.org/wiki/Sequoia_sempervirens	0	0.0	0	0.0	0.0	0	0	0	0	0	135	0.0	0.0	0.0	0.0
3	https://www.nps.gov/redw/index.htm	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	5	0.0	0.0	0.0	0.0
4	http://redwood.berkeley.edu/	0	0.0	0	0	0	0	0	0	0	0	9	0.0	0.0	0	0.0
5	http://johnredwoodsdiary.com/	0.0	0.0	0.0	0	0.0	0	0	0	0	0	19	0.0	0.0	0.0	0.0
6	http://www.redwoodharley.com/	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	7	0.0	0.0	0.0	0.0
7	http://www.redwoodcreek.com/	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	2	0.0	0.0	0	0.0
8	http://www.redwoodsalvagesales.com/	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	1	0.0	0.0	0.0	0.0
9	http://www.redwoodhollow-lajolla.com/	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	9	0.0	0.0	0.0	0.0
10	http://www.artisanburlwood.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0
11	http://redwoodautosales.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	3	0.0	0.0	0.0	0.0
12	http://www.redwood-stanley.com/the-cabins.htm	0.0	0.0	0.0	0	0	0	0	0	0	0	10	0	0.0	0.0	0.0
13	http://www.rvre.com/contact.html	0.0	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.0	0.0
14	http://tersteegs.com/	0.0	0.0	0	0.0	0	0.0	0	0	0	0	6	0.0	0.0	0.0	0.0
15	http://www.buffalo-lumber.com/redwood-siding.htm	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	135	0.0	0.0	0.0	0.0
16	http://www.parknsell.info/	0.0	0.0	0	0	0.0	0.0	0	0	0	0	2	0.0	0.0	0.0	0.0
18	http://www.schultredwoodfallshbf.com/	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	1	0.0	0.0	0.0	0.0
19	http://www.parks.ca.gov/?page_id=450	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	19	0.0	0.0	0.0	0.0
20	http://www.redwoodprimary.com/	0.0	0.0	0	0.0	0	0	0	0	0	0.0	6	0.0	0.0	0.0	0.0
