index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.sanger.ac.uk/	0	0.0	0	0.0	0.0	0.0	0.0	0.375	0	0	6	0.11140456182472988	0.5	0.0	0.21428571428571427
2	http://www.sanger.ac.uk/science/tools	0	0.01929260450160772	0.0	0	0	0.0	0.0	0.375	0	0	6	0.0	0.25	0.0	0.13636363636363635
3	http://www.sangerboats.com/#!	0.075	0	0	0	0	0	0	0	0	0.0	0	0	0.35294117647058826	0	0.08823529411764706
4	https://en.wikipedia.org/wiki/Margaret_Sanger	0	0.0	0.4	0.0	0.0	0	0	0	0	0	172	2.743004640439301	0.17142857142857143	3.601379964151972	0.12
5	http://www.pbs.org/wgbh/amex/pill/peopleevents/p_sanger.html	0	0.0	0	0	0	0	0	0	0	0	10	0.0	0.13636363636363635	0	0.0
6	http://www.sanger.k12.ca.us/	0	0.0	0.0	0	0	0.37058823529411766	0.0	0.2	0	0	12	0.6090046783399936	0.375	0.4	0.14634146341463414
7	http://www.sanger.dk/	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0	0.6666666666666666
8	http://sangeradult.sanger.k12.ca.us/	0	0.0	0	0	0	0	0	0.0	0	0	45	0	0.42857142857142855	0.34281650071123754	0.3157894736842105
9	http://www.greatschools.org/texas/dallas/schools/	0.0	0.0	0.0	0	0	0	0	0	0	0	158	0.0	0.0	0.0	0.0
10	http://www.greatschools.org/texas/	0.0	0.0	0	0.0	0	0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
11	http://www.greatschools.org/texas/dallas/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	22	0.0	0.0	0.0	0.0
12	http://www.lifenews.com/2013/03/11/10-eye-opening-quotes-from-planned-parenthood-founder-margaret-sanger/	0.08695652173913043	0.0	0	0.08695652173913043	0	0	0	0	0	0.1	62	0.0	0.06741573033707865	0.0	0.07142857142857142
13	http://sangeradult.sanger.k12.ca.us/	0	0.0	0	0	0	0	0	0.0	0	0	45	0	0.42857142857142855	0.34281650071123754	0.3157894736842105
14	http://www.greatschools.org/texas/dallas/schools/	0.0	0.0	0.0	0	0	0	0	0	0	0	158	0.0	0.0	0.0	0.0
15	http://www.greatschools.org/texas/	0.0	0.0	0	0.0	0	0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
16	http://www.greatschools.org/texas/dallas/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	22	0.0	0.0	0.0	0.0
17	http://www.lifenews.com/2013/03/11/10-eye-opening-quotes-from-planned-parenthood-founder-margaret-sanger/	0.08695652173913043	0.0	0	0.08695652173913043	0	0	0	0	0	0.1	62	0.0	0.06741573033707865	0.0	0.07142857142857142
18	https://en.wikipedia.org/wiki/DNA_sequencing	0	0.0	0.0	0.0	0.0	0	0	0	0	0	134	0.07646211511404152	0.0	0.4	0.0
19	http://www.sangerlaw.com/Articles/THE-PART-TIME-RESIDENT-TAX-TRAP.shtml	0.043795620437956206	0.0	0.0	0	0.0	0.0	0	0.0	0	0.056074766355140186	8	0.24	0.10344827586206896	0.8571428571428571	0.14634146341463414
21	http://www.salon.com/2016/07/30/the_amazing_life_of_margaret_sanger_our_lady_of_birth_control_i_was_intrigued_that_such_a_great_do_gooder_was_also_quite_a_bad_girl_in_private/	0.0	0.0	0.08571428571428572	0.0	0.0	0	0	0	0	0.04225352112676056	148	0.4331442599689808	0.03773584905660377	0.047244094488188976	0.15384615384615385
22	http://oldwestcafe.us/	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0
23	http://mirbase.org/	0	0.0	0.0	0.0	0	0	0	0	0	0	14	0.0	0.0	0.0	0.0
24	http://semperspeedandmarine.com/new	0	0.0	0.0	0	0.0	0	0	0	0	0	116	0.0	0.0	0.0	0.0
