index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.imdb.com/title/tt1020072/	0.022123893805309734	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0.0	16	0.14802631578947367	0.0	0.38461538461538464	0.2631578947368421
2	http://www.kps-sa.com/	0.026881720430107527	1.1842105263157896	0.22727272727272727	0.0	0.0	0.0	0	0	0	0.01845018450184502	17	0.0	0.0	1.8333333333333335	0.06578947368421052
3	http://www.youtube.com/watch?v=x6t7vVTxaic	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.09375	12	0.0	0.0	4.821905688020145	0.058823529411764705
4	https://en.wikipedia.org/wiki/Selma_to_Montgomery_marches	0	0.044642857142857144	0.18518518518518517	0.0	0.0	0	0	0	0	0	143	0.6566170836666587	0.10638297872340426	0.6082949308755761	0.08064516129032258
5	http://www.selmatimesjournal.com/	0	0.0	0	0.1	0.0	0.0	0	0	0	0.07142857142857142	6	0.2909011999784822	0.23809523809523808	0.21739130434782608	0.13157894736842105
6	http://selmaanimalhospital.com/	0.18181818181818182	0.0	0	0.15625	0	0	0	0	0	0	20	0.6412848198425061	0.21739130434782608	1.2380952380952381	0.16393442622950818
7	http://www.selmausd.org/hr/	0.0	0.0	0.3125	0	0	0	0	0	0	0.16853932584269662	2	0.27212143650499815	0.35714285714285715	0.0	0.125
8	http://www.selmahomes.net/?post_type=property&search_keyword=&submit=Search&price-min=&price-max=&city=&state=&zip=&beds=&baths=&sqft=&ptype=&status=&price=high	0	0.0	0	0.0	0	0	0	0	0	0	75	0.0	0.033783783783783786	0.0	0.1724137931034483
9	http://www.selmahomes.net/?post_type=property&search_keyword&submit=Search&price-min&price-max&city&state&zip&beds&baths&sqft&ptype=residential&status&price=high&paged=5	0	0.0	0	0.0	0	0	0	0	0	0	27	0.0	0.03184713375796178	0.0	0.1724137931034483
10	http://time.com/3736357/barack-obama-selma-speech-transcript/	0.10869565217391304	0.0	0.29411764705882354	0.0	0.0	0	0	0	0	0.0	126	0.7895958101933702	0.09803921568627451	0.0	0.3125
11	http://ibelieveinselma.org/	0	0.06827332862708185	0.0	0.0	1.0804655870445343	0.32824582824582826	0	0	0	0	17	0.7514764453037789	0.2631578947368421	1.25558576502609	0.41021671826625383
13	http://www.turnerauto.com/	0.027472527472527472	0.09057567188064275	0	0	0	0.0	0	0	0	0.10869565217391304	7	0.0	0.0	0.0	0.1111111111111111
14	http://www.selmaschicagopizzeria.com/rsm-location/	0	0.0	0.0	0	0.0	0	0	0	0	0	42	0.5482456140350878	0.13513513513513514	0.30000000000000004	0.0
15	http://www.selmaschicagopizzeria.com/san-juan-capistrano-location/	0	0.0	0.0	0	0.0	0	0	0	0	0	33	0.13157894736842105	0.09433962264150944	0.30000000000000004	0.0
16	http://www.reliablegmc.com/	0.04149377593360996	0.019157088122605363	0	0	0	0.0	0	0	0	0.1044776119402985	17	0.01968503937007874	0.0	0.019762845849802372	0.04854368932038835
17	http://www.harrisfuneralsandcremations.com/obits/obituary.php?id=602380	0.006702412868632708	0.0	0	0	0	0	0	0	0	0.0	6	0.0	0.0	0.022321428571428572	0.18518518518518517
18	http://www.robinsonsflooring.com/	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	2	0.0	0.0	0.0	0.049019607843137254
19	http://www.imdb.com/name/nm0000161/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	23	0.0	0.0	0.0	0.0
20	http://shop.opry.com/	0.0	0.0	0	0.0	0	0	0	0	0	0.0	13	0.0	0.0	0.8391608391608392	0.0
