index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.wheatland.ca.gov/	0.47368421052631576	0.20454545454545456	0	0.0	0	1.0030959752321982	0	0	0	0	1	1.1590559610019433	0.5625	2.975	0.46153846153846156
2	http://www.wheatland.com/	0.055900621118012424	0.0	0.0	0	0	0	0	0	0	0.06870229007633588	9	0.06468426578671066	0.6923076923076923	0.0	0.15517241379310345
3	http://www.wheatlandradio.com/	0	0.28125	0	0	0	0	0	0	0	0	7	0	0.5	0	0.1875
4	http://www.wheatlandbank.com/	0.05056179775280899	0.0	0.6428571428571429	0.0	0.0	0	0	0	0	0.0	6	0.5161287834683771	0.5294117647058824	0.6	0.6428571428571429
5	http://www.lancasterhistory.org/	0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.07964601769911504	5	0.10595911265767725	0.0	1.0	0.0
6	http://www.waasports.org/	0	0.0	0.42857142857142855	0.3	0	0	0	0	0	0	33	0.0	0.0	0.1836734693877551	0.21428571428571427
7	http://www.wbsnet.org/	0	0.0	0	0	0.0	0.0	0	0	0	0	3	0.17613155323998697	0.0	0.0	0.375
8	http://usd292.org/	0	0.0	0	0	0	0	0	0	0	0	10	0.0	0.0	0.5571428571428572	0.3103448275862069
10	http://www.wheatlandfs.com/	0	0.0	0	0	0	0	0	0	0	0.036734693877551024	1	0.3431372549019608	0.6	0.0	0.09090909090909091
11	http://www.wheatlandhockey.com/	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.47368421052631576	0.0	0.0
13	http://book.bestwestern.com/bestwestern/US/WA/Colfax-hotels/BEST-WESTERN-Wheatland-Inn/Hotel-Overview.do?propertyCode=48170	0.0	0.3979591836734694	0.0	0	0.0	0.0	0	0.0	0	0	57	0.0	0.08181818181818182	0.0	0.14754098360655737
14	http://www.wheatlands.co.za/	0	0.140625	0.0	0	0	0	0	0	0	0	11	0.015789473684210527	0.5625	0.8181818181818182	0.9
15	http://www.bishopspumpkinfarm.com/	0.10588235294117647	0.0	0.0	0	0.0	0	0	0	0	0	8	0.0	0.0	0.0	0.10588235294117647
16	http://www.wheatlandmusic.org/2016-festival-performers/	0	0.04671877232227625	0.0	0.25	0.0	0.0	0	0	0	0	225	0.0	0.21428571428571427	0.2647058823529412	0.0
17	http://www.numberonecommercial.com/	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0
19	http://www.chbrownco.com/	0	0.0	0	0	0	0	0	0	0	0	2	0	0.0	0.0	0.0
20	http://www.alltravelcams.com/wyoming/	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	84	0.0	0.0	0.0	0.0
21	http://www.alltravelcams.com/wyoming	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	84	0.0	0.0	0.0	0.0
