index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Yoruba_language	0	0.0	0.0	0.0	0.0	0	0	0	0	0	92	0.0	0.0	0.0	0.0
2	https://en.wikipedia.org/wiki/Yoruba_religion	0	0.0	0.0	0.0	0.0	0	0	0	0	0	46	0.0	0.0	0.0	0.0
4	http://www.pylusd.org/	0	0.0	0.0	0	0	0	0	0	0	0	42	0.08527131782945736	0.0	0.4782608695652174	0.24444444444444444
5	http://www.byms.org/	0	0.15942028985507245	0	0.0	0	0	0	0	0	0	35	0.0	0.0	0.0	0.0
6	http://www.yorubaorganization.com/?page_id=124	0.0	0.0	0	0	0.0	0	0	0	0	0	12	0.0	0.0	0.0	0.0
7	http://www.orishanet.org/	0	0.0	0.0	0	0	0	0	0	0	0	3	0	0.0	0.0	0.0
8	http://www.ebfloral.com/	0.09401709401709402	0.0	0	0	0.0	0	0	0	0	0.41422594142259417	21	0.0	0.0	3.559515929301345	0.275
9	http://www.sisiyemmie.com/2014/10/our-yoruba-traditional-wedding-photos.html	0	0.0	0	0.0	0.0	0.0	0	0	0	0	709	0.0	0.0	0.0	0.0
10	http://www.egofelix.com/yoruba-medicine/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	126	0.0	0.0	0.0	0.0
11	http://www.rockwaterdesigns.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.05612244897959184
13	http://www.orangecountyshopping.com/YL-SC-Savi-Ranch-Center.html	0.21019108280254778	0.0	0	0	0	0	0.0	0	0	0.2887139107611549	6	0	0.0	0	0.41509433962264153
14	http://africastyles.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	23	0.0	0.0	0.0	0.0
15	http://www.yolindavet.com/	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	2	0.10377358490566038	0.0	0.0	0.18333333333333332
17	http://wapbase.org/movies/	0	0.0	0.0	0	0.0	0	0	0	0	0	72	0.0	0.0	0.0	0.0
20	http://naijabasemp3.com/2015/08/mixtape-nigerian-gospel-praise-worship-songs-english-igbo-yoruba-mix/	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	200	0.0	0.0	0.0	0.0
21	http://naijabasemp3.com/category/genre/	0.0	0.0	0	0	0	0.0	0	0	0	0	217	0.0	0.0	0.0	0.0
22	http://naijabasemp3.com/category/genre/gospel-genre/	0.0	0.0	0	0	0	0.0	0	0	0	0	217	0.0	0.0	0.0	0.0
