index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Bateau	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
2	http://www.dictionary.com/browse/bateaux	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
3	http://www.thefreedictionary.com/bateaux	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0
4	https://www.bateauxnewyork.com/new-york-metro	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
5	https://en.wikipedia.org/wiki/Sausalito	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
6	https://www.bateauxnewyork.com/new-york-metro/pricing-schedules	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
7	https://www.merriam-webster.com/dictionary/bateau	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
8	http://bateau.com/	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0
9	http://www.bateauxtheme.com/	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
10	https://www.yelp.com/biz/bateaux-new-york-new-york	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0
11	https://www.yelp.com/c/nyc/boatcharters	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
12	https://en.wiktionary.org/wiki/bateau	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
13	https://en.wikipedia.org/wiki/Bateau_Mouche	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
14	https://themeforest.net/item/bateaux-creative-multipurpose-wordpress-theme/16524248	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0
15	https://www.bateauxlondon.com/thames-river-cruises/	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
17	https://www.tripadvisor.com/Attraction_Review-g60763-d528123-Reviews-Bateaux_New_York-New_York_City_New_York.html	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
18	https://www.tripadvisor.com/Attractions-g60763-Activities-New_York_City_New_York.html	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	http://www.autohebdo.net/bateau	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
20	http://www.vacanals.org/batteau/	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
21	https://www.crestliner.com/	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
22	http://www.cometoparis.com/catalog/bateaux-mouches-740	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
23	http://www.jaresortshotels.com/Properties/BateauxDubai/TheRestaurant/Overview.aspx	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
24	http://www.bateauxtheme.com/docs/	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
25	http://www.bateauxparisiens.com/en/meal-cruise.html	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
26	http://www.bateaux-mouches.fr/en	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27	http://www.cometoparis.com/catalog/bateaux-mouches-cruise-9000541	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
28	http://bateau-occasion.vivastreet.com/annonces-bateau-occasion	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0
29	http://www.beneteau.com/	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
30	https://www.spiritcruises.com/new-york-metro	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
31	http://www.autohebdo.net/bateau	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
32	http://www.bateauxparisiens.com/en/meal-cruise.html	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
33	https://www.tripadvisor.com/Attraction_Review-g295424-d8078692-Reviews-Bateaux_Dubai-Dubai_Emirate_of_Dubai.html	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
34	https://www.tripadvisor.com/Tourism-g295424-Dubai_Emirate_of_Dubai-Vacations.html	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	https://www.tripadvisor.com/Attractions-g295424-Activities-Dubai_Emirate_of_Dubai.html	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	https://www.opentable.com/bateaux-new-york	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
37	http://www.cometoparis.com/catalog/bateaux-mouches-cruise-9000541	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
38	http://www.jaresortshotels.com/Properties/BateauxDubai/TheRestaurant/Overview.aspx	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
39	https://reservations.bateauxdubai.com/	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
41	http://www.batobus.com/en.html	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
42	http://www.jeanneauamerica.com/en/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
43	https://www.viator.com/tours/Paris/Seine-River-Cruise-Bateaux-Parisiens-Sightseeing-Cruise/d479-5756SIGHTSEEING	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
44	https://www.viator.com/Paris-tours/Day-Cruises/d479-g3-c7	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
45	https://www.viator.com/tours/Paris/Seine-River-Cruise-Bateaux-Parisiens-Sightseeing-Cruise/d479-5756SIGHTSEEING	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
46	https://www.viator.com/Paris-tours/Day-Cruises/d479-g3-c7	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
47	http://www.jaresortshotels.com/Properties/BateauxDubai/TheBoat/TheStory.aspx	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
48	https://webdesignledger.com/bateaux-theme/	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
49	https://www.facebook.com/BateauxDubai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	https://www.groupon.com/biz/new-york-city/bateaux-new-york	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
51	https://www.groupon.com/local/hoboken-nj/personal-services	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
52	https://www.groupon.com/local/hoboken-nj/consultants	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
53	http://en.parisinfo.com/guided-tours/74292/Bateaux-Parisiens	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0
54	http://en.parisinfo.com/what-to-see-in-paris	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0
55	https://www.bateauxverts.com/en/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
57	https://www.spiritcruises.com/new-york-metro	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
58	http://www.bateausseafood.com/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
