index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.collinsdictionary.com/dictionary/english/grassily	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2	https://en.wikipedia.org/wiki/Chuck_Grassley	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0
3	https://en.wiktionary.org/wiki/grassily	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
4	http://www.thefreedictionary.com/GRASSILY	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0
5	http://www.yourdictionary.com/grassily	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
6	http://www.definitions.net/definition/grassily	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
7	http://www.thefreedictionary.com/grassy	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
8	https://en.wikipedia.org/wiki/Karen_Grassle	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0
9	http://www.sbcountywines.com/grassini-family-vineyards.html	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
10	http://www.dictionary.com/browse/greasy	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
11	https://www.howmanysyllables.com/words/grassily	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
12	http://www.thefreedictionary.com/grass+widow	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0
13	https://www.facebook.com/dudu.grassily	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
14	http://www.morewords.com/word/grassily/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
15	http://legal-dictionary.thefreedictionary.com/Grassland	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0
16	https://www.collinsdictionary.com/dictionary/english/grassland	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
18	http://www.yourdictionary.com/grassland	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
19	http://medical-dictionary.thefreedictionary.com/grassland	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0
20	https://www.collinsdictionary.com/dictionary/english/grassland	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
21	https://www.powerthesaurus.org/crossly/antonyms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	https://www.powerthesaurus.org/crazily/antonyms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	http://www.nydailynews.com/life-style/eats/buccaneer-brew-article-1.250578	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
25	http://encyclopedia2.thefreedictionary.com/Grassland+biomes	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0
26	http://www.absp.org.uk/words/plantsgrasses.shtml	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
27	http://idioms.thefreedictionary.com/grassing	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0
28	http://financial-dictionary.thefreedictionary.com/grassland	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0
29	https://www.thewhiskyexchange.com/c/313/highland-single-malt-scotch-whisky	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
30	https://www.thewhiskyexchange.com/c/40/single-malt-scotch-whisky	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
31	http://www.collinsdictionary.com/dictionary/english/grassily	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
32	https://en.wiktionary.org/wiki/grassily	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
33	http://www.thefreedictionary.com/GRASSILY	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0
34	http://www.wordfind.com/contains/grassily/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
35	http://www.wordfind.com/ends-with/grassily/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
36	http://en.dicios.com/enit/grassily	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
37	https://www.kirkusreviews.com/book-reviews/e-e-elliott/tomorrow-come-sunrise/	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
38	http://www.nytimes.com/2006/11/05/nyregion/thecity/rocks-of-ages.html	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
40	http://heavy.com/entertainment/2014/03/todd-chrisley-knows-best-premiere-photos-pics-julie-cast/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
41	http://www.collinsdictionary.com/dictionary/english/grassily	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
42	https://en.wiktionary.org/wiki/grassily	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
43	http://www.definitions.net/definition/grassily	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
44	http://www.thefreedictionary.com/GRASSILY	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0
45	http://thesaurus.yourdictionary.com/grassland	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0
47	http://grist.org/article/bamboo/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
48	http://www.wordfind.com/contains/grassily/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
49	http://financial-dictionary.thefreedictionary.com/grassing	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0
50	https://twitter.com/massivegrass	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0
