index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.netdoctor.co.uk/medicines/depression/a7045/lustral-sertraline/	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
2	https://en.wikipedia.org/wiki/Sertraline	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0
3	http://www.thefreedictionary.com/lustral	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0
4	https://www.drugs.com/international/lustral.html	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
5	https://www.medicines.org.uk/emc/medicine/1467	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
6	http://www.dictionary.com/browse/lustral	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
7	https://www.merriam-webster.com/dictionary/lustral	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
8	https://www.discogs.com/artist/1010-Lustral	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
9	http://medical-dictionary.thefreedictionary.com/lustral	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0
10	https://treato.com/Lustral/?a=s	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
11	https://treato.com/drugs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	https://treato.com/Lustral/?a=s	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
15	https://treato.com/drugs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	http://www.last.fm/music/Lustral	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
17	https://www.drugs.com/uk/lustral-50mg-film-coated-tablets-spc-963.html	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
18	http://patient.info/medicine/sertraline-lustral	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
19	https://en.wiktionary.org/wiki/lustral	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
20	https://pointofreturn.com/lustral_withdrawal.html	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
21	http://www.lustralboy.com/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
22	http://www.youtube.com/watch?v=pizehuNg3MI	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
23	http://www.youtube.com/watch?v=wcmG1MwV_Ho	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
24	http://www.zoloft.com/	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
25	http://www.thesaurus.com/browse/lustral	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
26	https://treato.com/Cipralex,Lustral/?a=s	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
27	https://treato.com/compare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	http://www.tsglaw.com/?vcs=lustral_ve_viagra	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
29	https://pharmacycode.com/Lustral.html	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
30	https://itunes.apple.com/us/album/lustral-presents-trance-classics/id303304449	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
31	https://www.drugwatch.com/zoloft/	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
32	https://www.medicines.org.uk/emc/medicine/2362	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
33	http://www.medicinenet.com/sertraline/article.htm	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0
34	http://www.youtube.com/watch?v=pizehuNg3MI	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
35	http://www.wddty.com/magazine/2004/january/lustral.html	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
36	https://www.medicines.org.uk/emc/medicine/2362	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
38	https://pharmacycode.com/Lustral.html	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
39	http://www.yourdictionary.com/lustral	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
40	http://www.youtube.com/watch?v=wcmG1MwV_Ho	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
41	http://www.songlyrics.com/lustral/everytime-lyrics/	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
42	http://www.songlyrics.com/lustral/miscellaneous/	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
43	http://drugs.webmd.boots.com/drugs/drug-418-Sertraline.aspx	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0
44	http://www.freethesaurus.com/lustral	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0
45	http://www.listal.com/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	https://pharmacycode.com/Lustral.html	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
47	http://www.tsglaw.com/?wd=viagra.lustral	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
48	https://www.merriam-webster.com/dictionary/lustratory	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
51	https://www.emp3z.co/mp3/lustral.html	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
52	http://www.freethesaurus.com/lustral	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0
53	http://labeling.pfizer.com/ShowLabeling.aspx?id=517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	https://www.verywell.com/zoloft-side-effects-1067484	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
55	http://www.songlyrics.com/lustral/everytime-lyrics/	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
56	http://www.songlyrics.com/lustral/miscellaneous/	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
