index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Puddling_(metallurgy)	0	0.0	0.0	0.0	0.0	0	0	0	0	0	28	0.1649425287356322	0.0	0.0	0.0
2	http://www.thefreedictionary.com/puddlers	0.125	0.17073170731707318	0.0	0.0	0	0	0	0	0	0.11538461538461539	183	0.0	0.23333333333333334	11.375	0.25
3	https://www.yelp.com/biz/puddlers-hall-milwaukee	0.05714285714285714	0.0	0.5384615384615384	0.0	0.5671368861024033	0.0	0	0	0	0.0	60	2.6168278496599564	0.19444444444444445	0.5384615384615384	0.07865168539325842
4	https://www.yelp.com/c/milwaukee/nightlife	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	59	0.0	0.0	0.0	0.0
5	https://www.yelp.com/c/milwaukee/bars	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	59	0.0	0.0	0.0	0.0
6	https://www.beeradvocate.com/beer/profile/34280/126672/	0.03867403314917127	0.0	0.4375	0	0.0	0	0	0.0	0	0.06930693069306931	23	0	0.0	0.14	0.11290322580645161
7	https://www.beeradvocate.com/beer/profile/34280/	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	24	0	0.0	0.0	0.0
8	https://en.wikipedia.org/wiki/Puddle	0	0.0	0.0	0.0	0.0	0	0	0	0	0	60	0.0	0.0	0.0	0.0
9	https://www.merriam-webster.com/dictionary/puddle	0.0	0.0	0.0	1.0	0	0.0	0.0	0.0	0	0.041916167664670656	33	0.0	0.0	0.0	0.0
10	http://premeditatedleftovers.com/gardening/create-butterfly-puddler/	0.0979020979020979	0.0	0.22580645161290322	0.22580645161290322	0.0	0.0	0	0	0	0	13	1.1909339931778706	0.11475409836065574	0.0	0.22580645161290322
11	https://www.puddleducks.com/	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	5	0.0	0.0	0.0	0.0
12	http://www.puddlespityparty.com/	0	0	0.0	0	0.0	0	0	0	0	0	10	0.0	0.0	0.0	0.0
13	http://www.puddlershall.com/history	0.04861111111111111	0.12590909090909091	0	0	0	0	0	0	0	0	5	0	0.2916666666666667	0.0	0.2916666666666667
15	https://www.facebook.com/pages/Puddlers/143378442387649	0.10606060606060606	0.0	0.875	0	0	0	0	0	0	0	0	0	0.16279069767441862	0.875	0.1206896551724138
16	http://www.jacducks.com/cork-decoys/	0	0	0.875	0.12280701754385964	0.0	0	0	0	0	0.0	0	0.04093567251461988	0.0	0	0.14
17	http://www.puddlershall.com/history	0.04861111111111111	0.12590909090909091	0	0	0	0	0	0	0	0	5	0	0.2916666666666667	0.0	0.2916666666666667
18	http://encyclopedia2.thefreedictionary.com/puddlers	0.0875	0.13725490196078433	0.0	0.0	0	0	0	0	0	0.11538461538461539	170	0.0	0.1590909090909091	11.5	0.25
19	http://www.yourdictionary.com/puddlers	0.2916666666666667	0	0	1.0	0.0	0.1891891891891892	0	0	0	0.18518518518518517	6	0.0	0.25925925925925924	0.875	0.2857142857142857
21	https://sites.lafayette.edu/vast265-sp12/steelopedia/m-p/puddling/	0	0	0.0	0.0	0.0	0	0	0	0	0	2	1.8822031248618123	0.0	0.0	0.0
22	http://blackcountrymuse.com/ironworking.htm	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0
23	http://premeditatedleftovers.com/gardening/create-butterfly-puddler/	0.0979020979020979	0.0	0.22580645161290322	0.22580645161290322	0.0	0.0	0	0	0	0	13	1.1909339931778706	0.11475409836065574	0.0	0.22580645161290322
24	https://en.wikipedia.org/wiki/Puddling_(metallurgy)	0	0.0	0.0	0.0	0.0	0	0	0	0	0	28	0.1649425287356322	0.0	0.0	0.0
25	http://www.thefreedictionary.com/puddlers	0.125	0.17073170731707318	0.0	0.0	0	0	0	0	0	0.11538461538461539	183	0.0	0.23333333333333334	11.375	0.25
26	http://www.jacducks.com/cork-decoys/	0	0	0.875	0.12280701754385964	0.0	0	0	0	0	0.0	0	0.04093567251461988	0.0	0	0.14
27	https://www.facebook.com/pages/Puddlers/143378442387649	0.10606060606060606	0.0	0.875	0	0	0	0	0	0	0	0	0	0.16279069767441862	0.875	0.1206896551724138
28	https://www.starbucks.com/store-locator/store/1007014/consett-puddlers-corner-dt-puddlers-corner-durham-eng-dh-8-5-xp-gb	0	2.1777836848012284	0.25	0	0	0	0	0	0	0	3	0.25	0.12962962962962962	0.6095238095238096	0.12962962962962962
30	https://www.merriam-webster.com/dictionary/puddle	0.0	0.0	0.0	1.0	0	0.0	0.0	0.0	0	0.041916167664670656	33	0.0	0.0	0.0	0.0
31	http://www.puddlejumperpreschool.com/	0.0	0	0.0	0	0	0	0	0	0	0	14	0	0.0	0.0	0.0
32	http://www.birdsandblooms.com/blog/butterflypuddlingspot/	0	0.0	0.0	0	0.0	0	0	0	0	0	23	0.0	0.0	0.0	0.0
33	http://www.necn.com/news/new-england/_NECN__The_Butterfly_Puddler__Does_It_Work__NECN-252591571.html	0.0	0.09333333333333334	0.19444444444444445	0.0	0.0	0	0.0	0	0	0.061946902654867256	19	0.19444444444444445	0.07865168539325842	0.0	0.1590909090909091
34	http://www.freethesaurus.com/puddlers	0.08267716535433071	0.1891891891891892	0.0	0.0	0.0	0.0	0	0	0	0.17721518987341772	313	0.0	0.2692307692307692	14.0	0.25
