index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Getter	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
2	https://soundcloud.com/getterofficial	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
3	https://www.merriam-webster.com/dictionary/getter	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
4	https://www.facebook.com/getterofficial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	https://en.wikipedia.org/wiki/Getter_(musician)	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
6	http://www.gettertools.com/	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
7	https://www.merriam-webster.com/dictionary/go-getter	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
8	https://soundcloud.com/getter_dubstep	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
9	http://www.youtube.com/channel/UC8iAV2sa8UQNXU__jVQpFzQ	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
10	http://www.getter.io/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
11	https://www.facebook.com/getterofficial/?fref=ts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	https://www.instagram.com/getter/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	http://www.thefreedictionary.com/go-getter	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0
14	https://ggetter.com/	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
15	http://owsla.com/artist/getter/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
16	http://www.dictionary.com/browse/getter	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
17	http://getters.com/	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
18	http://www.gogettersinc.org/	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
20	http://stackoverflow.com/questions/2036970/how-do-getters-and-setters-work	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
22	http://www.axs.com/artists/124434/getter-tickets	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
23	http://igetter.net/	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
24	http://docs.oracle.com/javaee/6/tutorial/doc/gjbbp.html	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0
25	http://www.thefreedictionary.com/getter	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0
26	http://www.urbandictionary.com/define.php?term=Go-getter	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0
27	http://stackoverflow.com/questions/1568091/why-use-getters-and-setters	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
28	http://www.ebay.com/sch/i.html?_nkw=getter	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
29	http://www.thefreedictionary.com/getter	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0
30	http://stackoverflow.com/questions/1568091/why-use-getters-and-setters	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
31	http://getterrobo.wikia.com/wiki/Shin_Getter_Robo_(robot)	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
32	http://www.exitin.com/event/1262761-getter-nashville/	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
33	https://ggetter.com/faq/	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
34	http://www.ebay.com/sch/i.html?_nkw=getter+robo	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
35	http://kids.parks.ca.gov/?page_id=22782	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
36	http://www.gogettersinc.org/	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
37	http://www.ebay.com/sch/i.html?_nkw=getter	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
38	http://nugetter.codeplex.com/	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
39	https://www.facebook.com/getterofficial/?fref=ts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	http://firepowerrecords.com/artists/getter/	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
41	http://www.yourdictionary.com/getter	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
42	http://www.hrt.msu.edu/getter-kristin	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0
43	http://getterspine.com/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
44	http://kids.parks.ca.gov/?page_id=22782	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
45	http://www.philly.com/philly/blogs/goal-getter-nutrition	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
46	http://gett.com/	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
47	https://clickgetter.com/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
