index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.mathsisfun.com/reciprocal-fraction.html	0	0.0	1.25	2.7177419354838714	0.8108108108108109	0	0	0	0	0.0	9	4.602913172149993	0.7692307692307692	0	1.25
2	https://www.mathsisfun.com/reciprocal.html	0	0.0	3.0	0.6666666666666666	0.967741935483871	0	0	0	0	0.0	7	14.22003296135684	1.0	0.0	3.0
3	https://en.wikipedia.org/wiki/Reciprocal	0	0.0	3.0	0.0	0.0	0	0	0	0	0	10	0	0.9375	2.222222222222222	1.3636363636363635
4	http://www.icoachmath.com/math_dictionary/reciprocal.html	0.6593406593406593	0.0	3.0	1.25	3.204295704295704	0.0	0.0	0	0	1.3636363636363635	30	0.9727891156462585	0.6521739130434783	0	0.6451612903225806
6	http://www.themathpage.com/Alg/reciprocals.htm	0.234375	0	2.727272727272727	0.0	0	0	0	0	0	1.1111111111111112	16	0.0	0.8571428571428571	3.727272727272727	0.625
7	http://www.dictionary.com/browse/reciprocal	0.6000000000000001	1.4285714285714286	0	0	1.1111111111111112	0	0	0	0	1.1320754716981134	26	0.23809523809523808	0.9375	74.23157106051846	1.25
8	http://www.wikihow.com/Find-the-Reciprocal	0.502092050209205	8.480259735725346	0	0	0.0	0	0	0	0	0.2803738317757009	4	0.3813559322033898	0.967741935483871	2.184065934065934	0.7692307692307692
9	http://www.thefreedictionary.com/reciprocal	0.7291666666666666	1.016823354774864	3.0	24.0	0	0	0	0	0	0.4787234042553192	138	0.0	0.9375	51.536970029649794	1.0
10	https://en.wikipedia.org/wiki/Reciprocal_(mathematics)	0	0.0	1.0	0.0	0.0	0	0	0	0	0	47	3.39245395127748	0.6521739130434783	1.8181818181818181	0.6470588235294118
11	https://www.yext.com/pl/yahoo-claims/scan.html?name=Reciprocal+Energy+Fitness&phone=4084139630&address=&zip=95035	0	0	0	0	0	0	0	0	0	0	1	0	0.29702970297029707	0	0.0
12	http://www.re-fitness.com/	0.11320754716981132	0	0	0	0	0	0	0	0	0.3389830508474576	2	0	0.0	3.356950436704199	1.2610340479192939
13	http://www.icoachmath.com/math_dictionary/reciprocal.html	0.6593406593406593	0.0	3.0	1.25	3.204295704295704	0.0	0.0	0	0	1.3636363636363635	30	0.9727891156462585	0.6521739130434783	0	0.6451612903225806
14	https://www.ixl.com/math/grade-6/reciprocals	0.2608695652173913	0.0	2.0	0	0	0.0	0	0	0	0	4	0.0	0.9375	0.0	0.6976744186046512
15	https://www.vocabulary.com/dictionary/reciprocal	0.24193548387096775	3.804923530521418	3.0	0.0	0.0	0	0	0	0	0	5	0.0	0.8333333333333334	6.0	0.5882352941176471
17	http://www.thesaurus.com/browse/reciprocal	0.23622047244094488	0.0	3.0	0.0	0	0	0	0	0	1.6901408450704225	14	0.13636363636363635	0.967741935483871	9.428571428571427	1.0714285714285714
18	https://simple.wikipedia.org/wiki/Reciprocal	0	0.0	3.0	0.0	0.0	0	0	0	0	0	45	0.0	0.8333333333333334	0.0	0.5
19	http://www.youtube.com/watch?v=ywZGdmdZYk4	0.1875	0.0	0.0	0.0	0.0	0.0	0	0	0	0.4477611940298507	4	0.0	0.0	18.336733282216674	1.2000000000000002
