index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Typebar	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0
2	https://www.merriam-webster.com/dictionary/typebar	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
3	http://www.thetypebar.com/	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
4	http://www.thefreedictionary.com/Typebar	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0
5	http://www.dictionary.com/browse/typebar	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
6	http://www.bharatbiotech.com/products/vaccines/typbar/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
7	http://www.thefreedictionary.com/type+bar	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0
8	http://www.collinsdictionary.com/dictionary/english/typebar	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
9	http://typebar.eu/	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
10	http://www.yourdictionary.com/typebar	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
11	http://www.definitions.net/definition/typebar	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
12	https://en.wiktionary.org/wiki/typebar	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
13	http://www.yourdictionary.com/typebar	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
14	http://www.dictionary.com/browse/typebar?qsrc=2446&o=100074	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
15	https://en.wikipedia.org/wiki/QWERTY	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0
16	http://www.dadamo.com/txt/index.pl?1006	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
17	http://www.bharatbiotech.com/products/vaccines/typbar-tcv-2/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
18	http://site.xavier.edu/polt/typewriters/tw-parts.html	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
19	http://englishdictionary.education/en/typebar	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
21	http://site.xavier.edu/polt/typewriters/tw-history.html	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
22	http://englishdictionary.education/en/typebar	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
24	http://www.yourdictionary.com/typebars	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
25	http://www.selectric.org/ibmtypebar/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
26	http://www.dadamo.com/txt/index.pl?1006	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
27	https://twitter.com/typebar	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0
28	https://www.merriam-webster.com/dictionary/type	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0
31	http://www.madehow.com/Volume-7/Typewriter.html	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
32	http://www.madehow.com/Volume-7/index.html	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0
33	https://www.pond5.com/after-effects/1/typebar.html	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
34	https://www.howmanysyllables.com/words/typebar	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
35	https://www.amazon.com/Smith-Corona-Ribbon-Coronamatic-Type/dp/B000X31CNS	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0
36	https://www.amazon.com/Office-Equipment-Electronics/b?ie=UTF8&node=281418	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
37	https://www.amazon.com/Typewriters/b?ie=UTF8&node=496908	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
38	http://www.vintagetypewritershoppe.com/vintage_typewriters_22.html	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
39	http://dictionary.reverso.net/english-definition/typebar	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
41	https://www.ebth.com/items/1785045-1930s-woodstock-typewriter	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
42	http://www.searspartsdirect.com/part-number/8715121A/0003/161.html	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
43	https://www.ebth.com/items/1785045-1930s-woodstock-typewriter	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
44	https://www.howmanysyllables.com/words/typebar	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
45	https://www.chiltons.com/collections/dining/type-bar-stools	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
46	https://en.wiktionary.org/wiki/typebars	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
47	http://oztypewriter.blogspot.com/2014/02/on-this-day-in-typewriter-history-anton.html	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0
48	http://encyclopedia2.thefreedictionary.com/alphameric+typebar	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0
49	https://therustytypebar.wordpress.com/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
50	http://www.vintagetypewritershoppe.com/vintage_typewriters_22.html	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
51	http://www.girlsgogames.com/games/saras_cooking_class_games	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
52	http://www.poetrysoup.com/poems/typebar	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
53	http://www.poetrysoup.com/poems/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
