index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Getter	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
2	https://en.wikipedia.org/wiki/Getter_(musician)	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
3	https://www.facebook.com/getterofficial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	https://soundcloud.com/getterofficial	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
5	https://www.merriam-webster.com/dictionary/getter	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
6	https://www.merriam-webster.com/dictionary/go-getter	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
7	http://www.gettertools.com/	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
8	http://www.thefreedictionary.com/go-getter	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0
9	http://www.youtube.com/user/GetterDubs	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
10	https://soundcloud.com/getter_dubstep	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
11	https://en.wikipedia.org/wiki/Getter	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
12	http://owsla.com/artist/getter/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
13	http://www.thefreedictionary.com/go-getter	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0
14	http://www.getter.io/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
15	http://www.urbandictionary.com/define.php?term=Go-getter	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0
16	http://www.dictionary.com/browse/getter	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
17	http://stackoverflow.com/questions/2036970/how-do-getters-and-setters-work	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0
20	https://en.wikipedia.org/wiki/Getter_(musician)	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
21	http://owsla.com/artist/getter/	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
23	https://en.wikipedia.org/wiki/Getter	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
24	http://www.thesaurus.com/browse/go-getter	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
25	http://www.songkick.com/artists/1993972-getter	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
26	https://itunes.apple.com/us/artist/getter/id419185194	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
27	http://www.ebay.com/sch/i.html?_nkw=getter	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
28	http://firepowerrecords.com/artists/getter/	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
29	https://docs.oracle.com/javaee/6/tutorial/doc/gjbbp.html	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0
30	http://emosaustin.com/getter	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0
31	https://www.instagram.com/getter/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	https://en.wiktionary.org/wiki/getter	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
33	http://www.pandora.com/getter	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0
34	http://www.exitin.com/event/1262761-getter-nashville/	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0
36	http://encyclopedia2.thefreedictionary.com/getter	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0
37	http://mindprod.com/jgloss/getter.html	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0
38	http://mindprod.com/jgloss/jgloss.html	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0
39	http://mindprod.com/jgloss/g.html	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0
40	http://www.fgetter.com/	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
41	https://www.instagram.com/getterjaaniofficial/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	http://www.javaworld.com/article/2072302/core-java/more-on-getters-and-setters.html	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
43	http://www.javaworld.com/category/core-java/	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0
44	http://www.imdb.com/title/tt4425540/	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
45	http://www.normandale.edu/departments/stem-and-education/vacuum-and-thin-film-technology/vacuum-lab/articles/how-to-use-getters-and-getter-pumps	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
46	http://www.bandsintown.com/Getter	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
47	http://www.ebay.com/sch/i.html?_nkw=getter	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
48	http://www.igetter.net/downloads.html	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0
49	https://itunes.apple.com/us/artist/getter/id419185194	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
50	http://ggetter.com/	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
51	https://en.wiktionary.org/wiki/getter	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
52	http://getterspine.com/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
