index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.collinsdictionary.com/dictionary/english/grassily	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2	https://en.wikipedia.org/wiki/Chuck_Grassley	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0
3	https://en.wiktionary.org/wiki/grassily	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
4	http://www.thefreedictionary.com/GRASSILY	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0
5	http://www.yourdictionary.com/grassily	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
6	http://www.definitions.net/definition/grassily	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
7	http://www.thefreedictionary.com/grassy	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
8	https://en.wikipedia.org/wiki/Karen_Grassle	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0
9	http://www.sbcountywines.com/grassini-family-vineyards.html	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
10	http://www.dictionary.com/browse/greasy	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
11	http://englishdictionary.education/en/grassily	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
12	https://www.howmanysyllables.com/words/grassily	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
13	http://www.morewords.com/word/grassily/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
14	http://legal-dictionary.thefreedictionary.com/Grassland	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0
15	http://www.anagrammer.com/scrabble/grassily	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
16	https://www.collinsdictionary.com/dictionary/english/grassland	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
17	http://www.yourdictionary.com/grassland	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
18	https://www.facebook.com/dudu.grassily	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
19	http://medical-dictionary.thefreedictionary.com/grassland	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0
20	http://idioms.thefreedictionary.com/grasshopper	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0
22	http://encyclopedia2.thefreedictionary.com/Grassland+ecosystem	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0
23	http://idioms.thefreedictionary.com/grassing	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0
24	http://legal-dictionary.thefreedictionary.com/grassing	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0
25	http://www.freethesaurus.com/grassland	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0
26	http://medical-dictionary.thefreedictionary.com/grasshopper	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0
27	http://www.wordfind.com/contains/grassily/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
28	http://encyclopedia2.thefreedictionary.com/grasshopper+fuse	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0
29	http://www.mmsonline.com/suppliers/grizzly	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
30	https://www.powerthesaurus.org/crazily/antonyms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
