index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://www.merriam-webster.com/dictionary/powder	0.0	0.0	0.0	1.0	0	0.0	0.0	0.0	0	0.039603960396039604	37	0.0	0.0	0.0	0.0
2	http://www.dictionary.com/browse/powder	0.0	0.0	0	0	0.0	0	0	0	0	0.0	26	0.0	0.0	1.7777777777777777	0.0
3	http://www.thefreedictionary.com/powderize	0.0	0.0	0.0	0	0	0	0	0	0	0.0	102	0.0	0.0	0.0	0.0
4	http://www.evergladesammo.com/reloading/powder-primers/powder.html	0.0	0.0	0.0	0	0	0	0	0	0	0.0	4	0.0	0.0	0.0	0.0
5	http://www.youtube.com/watch?v=p6xNft9MutQ	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	3	0.0	0.0	0.0	0.0
6	http://www.tablespoon.com/recipes/powdered-sugar-icing/7b63e81d-a088-473a-8bca-74bb1641fc8d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	6	0.0	0.0	0.0	0.0
7	https://en.wikipedia.org/wiki/Powdered_milk	0	0.0	0.0	0.0	0.0	0	0	0	0	0	54	0.0	0.0	0.0	0.0
8	https://www.atf.gov/explosives/qa/may-i-sell-black-powder-without-license	0	0.0	0.0	0.0	0	0	0	0	0	0	11	0.0	0.0	0.0	0.0
9	http://www.usatoday.com/story/news/nation-now/2015/03/12/palcohol-powdered-alcohol/70198862/	0	0.0	0.0	0	0	0.0	0	0.0	0	0	14	0.0	0.0	0.0	0.0
10	https://www.thebalance.com/how-to-make-powdered-sugar-confectioner-s-sugar-1387979	0	0.0	0.0	0.0	0.0	0	0	0	0	0	4	0.0	0.0	0.0	0.0
11	https://www.thebalance.com/how-to-make-powdered-sugar-confectioner-s-sugar-1387979	0	0.0	0.0	0.0	0.0	0	0	0	0	0	4	0.0	0.0	0.0	0.0
12	http://www.thefreedictionary.com/powdered	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	111	0.0	0.0	0.0	0.0
16	http://medical-dictionary.thefreedictionary.com/powderer	0.23255813953488372	0.14285714285714285	0.0	0.0	0	0	0	0	0	0.13186813186813187	165	0.0	0.16326530612244897	1.0	0.2909090909090909
18	http://encyclopedia2.thefreedictionary.com/powderer	0.0995850622406639	0.1568627450980392	0.0	0.0	0.0	0	0	0	0	0.13186813186813187	165	0.0	0.18181818181818182	1.0	0.2857142857142857
19	http://www.prevention.com/food/healthy-eating-tips/best-protein-powders-for-smoothies	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	38	0.0	0.0	0.0	0.0
20	http://fallout.wikia.com/wiki/Powder_Gangers	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	54	0.0	0.0	0.0	0.0
22	https://en.wikipedia.org/wiki/Powdered_sugar	0	0.0	0.0	0.0	0.0	0	0	0	0	0	42	0.0	0.0	0.0	0.0
23	http://www.parimix.com/en/powderer/	0	0.0	0	1.0	0.0	0.07246671823474332	0	0	0	0	0	0.05063291139240506	0.3333333333333333	1.2809523809523808	0.4444444444444444
24	http://www.znaturalfoods.com/Fruit-Powders	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
25	http://www.freethesaurus.com/powderer	0.1807909604519774	0.21621621621621623	1.0	0.32	0.0	0.0	0	0	0	0.20253164556962025	154	0.0	0.3076923076923077	1.0	0.2857142857142857
26	http://www.thesaurus.com/browse/powdered	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	14	0.0	0.0	0.0	0.0
27	http://fallout.wikia.com/wiki/Powder_Gangers	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	54	0.0	0.0	0.0	0.0
29	http://www.yourdictionary.com/powderer	0.3333333333333333	0	0	1.1428571428571428	0.0	0.21621621621621623	0	0	0	0.21164021164021163	6	0.0	0.2962962962962963	1.0	0.32653061224489793
32	http://cookieandkate.com/2014/how-to-make-powdered-sugar/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	31	0.0	0.0	0.0	0.0
33	http://www.alliantpowder.com/products/powder/unique.aspx	0	0	0.0	0.0	0.0	0.0	0	0	0	0	10	0.0	0.0	0.0	0.0
34	http://www.znaturalfoods.com/Fruit-Powders	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
35	http://www.charcoal.uk.com/c/287415/1/powder.html	0.0	0.0	0	0.0	0	0	0	0	0	0.0	4	0	0.0	0.0	0.0
36	http://www.quickanddirtytips.com/health-fitness/healthy-eating/is-powdered-milk-bad-for-you	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	9	0.0	0.0	0.0	0.0
37	http://www.definitions.net/definition/powderer	0.14953271028037382	0	0.0	0.0	0.0	0.0	0.0	0	0	0.37209302325581395	83	2.269078575466365	0.22857142857142856	0.32	0.3333333333333333
38	http://encyclopedia2.thefreedictionary.com/powderer	0.0995850622406639	0.1568627450980392	0.0	0.0	0.0	0	0	0	0	0.13186813186813187	165	0.0	0.18181818181818182	1.0	0.2857142857142857
39	http://www.cabelas.com/category/Powder-Caps/104511780.uts	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	16	0.0	0.0	0.0	0.0
40	http://www.imdb.com/title/tt0114168/fullcredits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	2	0.0	0.0	0.0	0.0
42	http://www.republicoftea.com/matcha-tea/c/matcha/	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
43	http://www.palcohol.com/	0	0	0	0	0	0	0	0	0	0	9	0	0.0	0.0	0.0
44	https://www.woodturnerscatalog.com/p/47/5180/Turners-Select-Crushed-Stone-Powder	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	4	0.0	0.0	0.0	0.0
45	http://www.hungry-girl.com/ask-hg-q-and-a/powdered-peanut-butter-how-to-use-recipes	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	14	0.0	0.0	0.0	0.0
46	http://www.insidejobs.com/careers/powderer	0.14285714285714285	0.04678362573099415	0	1.0	1.3584080975385322	0.0	0	0	0	0	4	0.0	0.25806451612903225	0	0.36363636363636365
47	http://shop.honeyville.com/powdered-peanut-butter.html	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	22	0.0	0.0	0.0	0.0
48	http://www.parimix.com/en/powderer/	0	0.0	0	1.0	0.0	0.07246671823474332	0	0	0	0	0	0.05063291139240506	0.3333333333333333	1.2809523809523808	0.4444444444444444
49	http://danball.wikia.com/wiki/Powder_Game_2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	41	0.0	0.0	0.0	0.0
50	http://www.growingajeweledrose.com/2013/08/homemade-powder-paint-recipe.html	0	0.0	0	0	0.0	0.0	0	0	0	0.0	24	0.0	0.0	0.0	0.0
51	http://www.definitions.net/definition/powderer	0.14953271028037382	0	0.0	0.0	0.0	0.0	0.0	0	0	0.37209302325581395	83	2.269078575466365	0.22857142857142856	0.32	0.3333333333333333
52	http://culinaryarts.about.com/od/glossary/g/Confectioners-Sugar.htm	0	0.0	0.0	0	0.0	0	0.0	0	0	0	41	0.0	0.0	0.0	0.0
53	http://culinaryarts.about.com/od/culinaryreference/	0	0.0	0.0	0	0	0	0.0	0	0	0	44	0	0.0	0.0	0.0
